Energy,Value,Error
0.01,2.92623e-11,0.2099
0.02,0.0,0.0
0.05,3.67185e-09,0.0215
0.1,2.31378e-09,0.0272
0.2,7.55807e-09,0.0163
0.3,4.12304e-08,0.0086
0.4,6.63074e-08,0.0055
0.6,2.29393e-07,0.003
0.8,1.70146e-07,0.0029
1.0,1.37453e-07,0.0032
1.22,1.37268e-07,0.0032
1.44,1.2365e-07,0.0032
1.66,1.1702e-07,0.0033
2.0,1.69918e-07,0.0027
2.5,1.88782e-07,0.0028
3.0,1.28693e-07,0.0032
4.0,1.36879e-07,0.003
5.0,4.94416e-08,0.0052
6.5,1.78714e-08,0.0088
8.0,3.54607e-09,0.0188
10.0,3.01532e-11,0.3937
12.0,3.34842e-12,0.4605
14.0,4.89433e-12,0.417
20.0,8.90948e-12,0.3468
