Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,2.7819547297730363e-12,0.5857
3.727e-05,4.975470642861657e-13,1.0
4.785e-05,9.338872841129077e-13,0.7184
6.144e-05,0.0,0.0
7.889e-05,5.2064176937625974e-11,0.1253
0.0001013,7.158685573911914e-11,0.1523
0.0001301,3.761119735257185e-12,0.4536
0.000167,7.822086029736099e-12,0.2733
0.0002145,1.119313519246442e-11,0.2322
0.0002754,2.4873312056387367e-12,0.6494
0.0003536,0.0,0.0
0.000454,2.488448132773294e-12,0.5924
0.0005829,4.143951806638401e-12,0.681
0.0007485,8.78648733294281e-12,0.3202
0.0009611,5.629436566883129e-12,0.4812
0.001234,1.6956862758301755e-11,0.2707
0.001585,2.7431425727064337e-11,0.1662
0.002035,5.5995042052502344e-11,0.1345
0.002249,9.875101919681918e-11,0.1565
0.002485,1.3285800539243826e-10,0.1917
0.002613,1.7492280496182056e-10,0.1538
0.002747,2.431553236359146e-10,0.1955
0.003035,2.6944389593115084e-10,0.1009
0.003355,3.2104238774467935e-10,0.0829
0.003707,4.257152333687412e-10,0.0863
0.004307,6.340630299715887e-10,0.0743
0.005531,1.0632077843775144e-09,0.0349
0.007102,2.175124105603474e-09,0.0263
0.009119,4.220234915713869e-09,0.018
0.01059,6.956736381335749e-09,0.0162
0.01171,9.144358921302205e-09,0.0176
0.01503,1.442635212706096e-08,0.0092
0.0193,2.864092222588954e-08,0.0062
0.02187,4.799619663605864e-08,0.0067
0.02358,6.481697174293033e-08,0.007
0.02418,7.588147364185193e-08,0.0119
0.02479,8.187400628354205e-08,0.0109
0.02606,9.163426117903221e-08,0.0083
0.027,1.0151065682627852e-07,0.0084
0.0285,1.1506971976420686e-07,0.0066
0.03183,1.4436611705187787e-07,0.004
0.03431,1.779971267567295e-07,0.0044
0.04087,2.4579182367360907e-07,0.0025
0.04631,3.4998265050728744e-07,0.0024
0.05248,4.6261330339148264e-07,0.0021
0.05656,5.627149624773416e-07,0.0025
0.06738,7.144798818232605e-07,0.0014
0.07202,8.659908833366378e-07,0.0022
0.0795,9.71205623415776e-07,0.0016
0.0825,1.0526339467088338e-06,0.0026
0.08652,1.104373124315347e-06,0.0022
0.09804,1.2320644181621339e-06,0.0013
0.1111,1.4028691889500734e-06,0.0012
0.1168,1.5016097452739578e-06,0.0019
0.1228,1.5673710565247175e-06,0.0023
0.1291,1.6295610680864677e-06,0.0018
0.1357,1.6991243898903604e-06,0.0018
0.1426,1.7673307665019752e-06,0.0017
0.15,1.860479876794081e-06,0.0017
0.1576,1.9505215492601043e-06,0.0017
0.1657,2.0312558887844906e-06,0.0016
0.1742,2.1187347007905505e-06,0.0016
0.1832,2.219500917726246e-06,0.0016
0.1925,2.3149499382200047e-06,0.0015
0.2024,2.427807082152427e-06,0.0015
0.2128,2.555500426120559e-06,0.0015
0.2237,2.6861990622203514e-06,0.0014
0.2352,2.810752507155642e-06,0.0014
0.2472,2.9530454622881148e-06,0.0014
0.2732,3.1551980006554907e-06,0.0009
0.2872,3.35551725569751e-06,0.0013
0.2945,3.4460250296371807e-06,0.0019
0.2972,3.494128609117375e-06,0.0033
0.2985,3.486855680029868e-06,0.0042
0.302,3.4780651931604865e-06,0.0027
0.3337,3.4996214076126993e-06,0.0009
0.3688,3.4797487442229926e-06,0.001
0.3877,3.4421390828586353e-06,0.0013
0.4076,3.430703506110296e-06,0.0014
0.4505,3.410062403845241e-06,0.0009
0.4979,3.351260065056616e-06,0.001
0.5234,3.2435752868250534e-06,0.0014
0.5502,3.137865354438e-06,0.0014
0.5784,3.0451452656376024e-06,0.0015
0.6081,2.908913931657112e-06,0.0015
0.6393,2.7945725471738467e-06,0.0015
0.6721,2.6667033780359214e-06,0.0016
0.7065,2.5248786072059927e-06,0.0016
0.7427,2.3611642736315506e-06,0.0017
0.7808,2.1838476920559494e-06,0.0018
0.8209,2.0100329227680882e-06,0.0018
0.8629,1.8432903707018128e-06,0.002
0.9072,1.6626556953063111e-06,0.0021
0.9617,1.4558579885706645e-06,0.0021
1.003,1.2426062224685508e-06,0.0027
1.108,1.0707095654346074e-06,0.0019
1.165,9.140029541806129e-07,0.0029
1.225,8.023296492021578e-07,0.0031
1.287,7.24548613425418e-07,0.0033
1.353,6.52412029834662e-07,0.0035
1.423,5.76562007484183e-07,0.0038
1.496,5.202592284874225e-07,0.0041
1.572,4.0352090389061125e-07,0.0045
1.653,2.909233860137542e-07,0.0054
1.738,2.4002851989375506e-07,0.0057
1.827,2.1169497315297163e-07,0.0068
1.921,2.0292758514311406e-07,0.0064
2.019,2.0093854939289766e-07,0.007
2.122,1.8536839943929123e-07,0.0076
2.231,1.662865732929923e-07,0.007
2.307,1.5533405274397864e-07,0.0097
2.346,1.4872429324526867e-07,0.0131
2.365,1.416416456953134e-07,0.0199
2.385,1.370901273558211e-07,0.0177
2.466,1.3258976051218926e-07,0.0097
2.592,1.236974989629661e-07,0.008
2.725,1.1835491253984457e-07,0.0083
2.865,1.1020416347803859e-07,0.0085
3.012,1.0555308670359385e-07,0.0093
3.166,1.0030251585887998e-07,0.0098
3.329,9.361851419844109e-08,0.009
3.679,9.002309137750474e-08,0.0069
4.066,8.410743903675446e-08,0.0066
4.493,8.44966222268416e-08,0.0064
4.724,8.552701820337103e-08,0.0089
4.966,8.634736965927407e-08,0.0092
5.22,8.937264174791609e-08,0.0085
5.488,9.08469943395789e-08,0.0088
5.77,9.434385857687143e-08,0.0084
6.065,9.708405517637478e-08,0.0083
6.376,1.0279064466436553e-07,0.0082
6.592,1.039832357156153e-07,0.0094
6.703,1.0449567303774109e-07,0.0133
7.047,1.0604312885096673e-07,0.0075
7.408,1.1167408279052055e-07,0.0075
7.788,1.1497435471755709e-07,0.0073
8.187,1.1659004391436203e-07,0.0072
8.607,1.229368293769558e-07,0.0069
9.048,1.2930237812933113e-07,0.0069
9.512,1.3465553623862104e-07,0.0068
10.0,1.57229726353238e-07,0.0062
10.51,3.093818416913916e-07,0.0045
11.05,3.2531626696565526e-07,0.0042
11.62,3.420519983271276e-07,0.0041
12.21,3.61287905530261e-07,0.0039
12.52,3.758870792200652e-07,0.0053
12.84,3.835714342104375e-07,0.0053
13.5,3.9897345631698146e-07,0.0036
13.84,4.026652754523128e-07,0.0051
14.19,1.3318322856625552e-07,0.0085
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
