Energy,Value,Error
0.01,5.1339600513396e-09,0.1273
0.02,8.85297e-11,0.7096
0.05,4.107233333333333e-09,0.1127
0.1,1.913812e-07,0.017
0.2,1.33471e-07,0.0124
0.3,4.879390000000001e-07,0.0068
0.4,7.778169999999997e-07,0.0049
0.6,1.6201750000000003e-06,0.0024
0.8,8.536049999999998e-07,0.0028
1.0,9.627200000000002e-07,0.0025
1.22,1.081068181818182e-06,0.0024
1.44,8.614772727272728e-07,0.0026
1.66,8.388681818181819e-07,0.0026
2.0,7.738529411764703e-07,0.0022
2.5,6.33074e-07,0.0021
3.0,4.73834e-07,0.0024
4.0,2.84523e-07,0.0023
5.0,1.16197e-07,0.0034
6.5,2.6819533333333334e-08,0.0062
8.0,4.2797933333333335e-09,0.0138
10.0,6.8279e-12,0.2194
12.0,2.734085e-12,0.3634
14.0,2.81339e-12,0.4408
20.0,6.021483333333333e-13,0.4584
