Energy,Value,Error
0.01,1.55342e-12,0.718
0.02,4.18706e-12,1.0
0.05,0.0,0.0
0.1,1.96638e-10,0.1149
0.2,8.00876e-11,0.1749
0.3,5.55515e-10,0.1161
0.4,9.14501e-10,0.0456
0.6,3.67338e-09,0.0282
0.8,2.81002e-09,0.027
1.0,2.93565e-09,0.0379
1.22,3.28027e-09,0.0281
1.44,3.05739e-09,0.0269
1.66,2.81035e-09,0.0299
2.0,3.53991e-09,0.024
2.5,4.13923e-09,0.0306
3.0,2.64611e-09,0.0281
4.0,2.69643e-09,0.0504
5.0,9.38182e-10,0.0566
6.5,2.56635e-10,0.1029
8.0,5.35328e-12,0.8178
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
