Energy,Value,Error
0.01,0.0,0.0
0.02,0.0,0.0
0.05,0.0,0.0
0.1,4.54356e-13,0.2649
0.2,6.25341e-10,0.0076
0.3,6.73304e-10,0.0075
0.4,3.32353e-11,0.0353
0.6,2.78868e-10,0.012
0.8,2.33748e-11,0.0401
1.0,1.09515e-11,0.0556
1.22,9.67786e-12,0.0601
1.44,7.03226e-12,0.0744
1.66,6.01017e-12,0.0792
2.0,1.37915e-10,0.0166
2.5,5.02486e-11,0.0262
3.0,1.12822e-09,0.0058
4.0,4.6608e-09,0.0028
5.0,4.64067e-10,0.0088
6.5,6.20963e-09,0.0024
8.0,3.78529e-09,0.0031
10.0,1.25194e-10,0.0171
12.0,9.34516e-11,0.0197
14.0,3.36846e-12,0.1016
20.0,0.0,0.0
