Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,1.5127832387958615e-11,0.7077
2.382e-06,1.6596977222765748e-11,0.7099
3.059e-06,5.5350922091843534e-11,0.6631
3.928e-06,2.1346945934434347e-11,0.5791
5.043e-06,6.887920983448804e-11,0.551
6.476e-06,8.734640015054613e-11,0.3463
8.315e-06,1.754162160157285e-10,0.2632
1.068e-05,1.7209022353139838e-10,0.2522
1.371e-05,2.5792237804042725e-10,0.2396
1.76e-05,4.71951761086744e-10,0.1813
2.26e-05,4.5147989045584156e-10,0.1611
2.902e-05,4.726611823884532e-10,0.1743
3.727e-05,4.62639474321869e-10,0.1873
4.785e-05,6.421580598293364e-10,0.3044
6.144e-05,3.6841957960760816e-10,0.3496
7.889e-05,7.753885066453048e-11,0.3527
0.0001013,6.273638626791423e-12,1.0
0.0001301,6.994089850014754e-10,0.153
0.000167,1.3179199702920064e-08,0.0471
0.0002145,3.122865622829095e-08,0.0342
0.0002754,4.201671124033796e-08,0.0322
0.0003536,4.434033227841815e-08,0.032
0.000454,3.938965245559366e-08,0.0273
0.0005829,3.497861044104821e-08,0.0578
0.0007485,3.0198648796257066e-08,0.0244
0.0009611,1.3699242285266234e-07,0.0175
0.001234,1.9664136949319767e-07,0.012
0.001585,2.0513377179525166e-07,0.0102
0.002035,2.171117343547935e-07,0.0094
0.002249,2.3973332314489756e-07,0.0132
0.002485,1.0503072955810129e-07,0.02
0.002613,7.718043966824019e-08,0.0318
0.002747,7.973198293837776e-08,0.0331
0.003035,8.387824256944795e-08,0.0229
0.003355,9.05073692378121e-08,0.0219
0.003707,9.50707658873805e-08,0.0231
0.004307,1.0214527821187928e-07,0.0179
0.005531,1.1337519409083516e-07,0.0129
0.007102,1.318922831098671e-07,0.0121
0.009119,1.4235607339883294e-07,0.0119
0.01059,2.2199797815516503e-07,0.0127
0.01171,2.9381690303064354e-07,0.0126
0.01503,4.4210648198790604e-07,0.0069
0.0193,7.197442088296785e-07,0.0056
0.02187,1.0010020036949475e-06,0.007
0.02358,1.144448691627359e-06,0.0087
0.02418,1.2580754887719252e-06,0.0129
0.02479,1.2450219321566874e-06,0.0121
0.02606,1.3408498116085842e-06,0.009
0.027,1.4418308355632583e-06,0.0104
0.0285,1.52642022395502e-06,0.008
0.03183,1.6981289394616117e-06,0.0053
0.03431,1.8651665646708628e-06,0.0061
0.04087,2.1328943353644976e-06,0.004
0.04631,2.4459989624518787e-06,0.0042
0.05248,2.794196825078414e-06,0.0042
0.05656,3.05218880144586e-06,0.005
0.06738,3.3913329419076204e-06,0.0032
0.07202,3.7901591588389718e-06,0.005
0.0795,4.152675470723086e-06,0.004
0.0825,4.431651305510821e-06,0.0062
0.08652,4.613838201608948e-06,0.0053
0.09804,5.085145725896273e-06,0.0032
0.1111,5.7704706229877256e-06,0.0031
0.1168,6.249333712836479e-06,0.0046
0.1228,6.5411697544268e-06,0.0047
0.1291,6.946392967175332e-06,0.0049
0.1357,7.183338369533093e-06,0.0046
0.1426,7.481892864264194e-06,0.0045
0.15,7.794130831740402e-06,0.0044
0.1576,8.110105133557003e-06,0.0044
0.1657,8.466592349685346e-06,0.0044
0.1742,8.75603746683346e-06,0.0055
0.1832,8.992168830000593e-06,0.0042
0.1925,9.229830672017788e-06,0.0042
0.2024,9.531626357512685e-06,0.0042
0.2128,9.705465233558422e-06,0.0042
0.2237,9.866352462369666e-06,0.0048
0.2352,1.0013415520723048e-05,0.0042
0.2472,1.0024213582345846e-05,0.0041
0.2732,1.0011159074273512e-05,0.003
0.2872,9.758595999846913e-06,0.0043
0.2945,9.82180758524026e-06,0.0061
0.2972,9.716720384263567e-06,0.0097
0.2985,9.753311882082126e-06,0.0143
0.302,9.775428803604395e-06,0.009
0.3337,9.811084363759156e-06,0.0031
0.3688,9.879264023695827e-06,0.0032
0.3877,9.886477982435819e-06,0.0045
0.4076,9.88599283467818e-06,0.0045
0.4505,9.871084959690065e-06,0.0031
0.4979,9.807861456144713e-06,0.0031
0.5234,9.75485156088517e-06,0.0043
0.5502,9.660092276571711e-06,0.0044
0.5784,9.51970012675816e-06,0.0044
0.6081,9.106442334464655e-06,0.0046
0.6393,8.837764479545467e-06,0.0048
0.6721,8.329570639590618e-06,0.0048
0.7065,7.837116457580377e-06,0.005
0.7427,7.143470015691225e-06,0.0053
0.7808,6.531813667081806e-06,0.0055
0.8209,5.876751068990101e-06,0.006
0.8629,5.291306102311969e-06,0.0058
0.9072,4.881899114823328e-06,0.0063
0.9617,4.321625773768554e-06,0.0061
1.003,3.6560154178587285e-06,0.008
1.108,3.103090103397957e-06,0.0055
1.165,2.6098137809037164e-06,0.0086
1.225,2.374424074768021e-06,0.009
1.287,2.1271711260106593e-06,0.0093
1.353,1.892509579252639e-06,0.0101
1.423,1.6894603972909917e-06,0.0107
1.496,1.5469213232123424e-06,0.0106
1.572,1.35378478404093e-06,0.0122
1.653,1.1496239573729483e-06,0.0123
1.738,1.0240708970112747e-06,0.0134
1.827,8.842206338838595e-07,0.0147
1.921,7.250719617941855e-07,0.0153
2.019,5.951790511614106e-07,0.0176
2.122,5.104779770449431e-07,0.0193
2.231,4.2777451760177424e-07,0.0199
2.307,3.599730448050198e-07,0.0257
2.346,3.812053973344463e-07,0.0501
2.365,3.305975914288024e-07,0.0558
2.385,3.601072469197691e-07,0.0544
2.466,3.1504316609719014e-07,0.029
2.592,2.8460414251497643e-07,0.0268
2.725,2.6570661078171347e-07,0.031
2.865,2.3789857372930232e-07,0.0398
3.012,1.922001705178551e-07,0.0311
3.166,1.6539291358524985e-07,0.0317
3.329,1.5571142055770396e-07,0.0329
3.679,1.3655330758789968e-07,0.0249
4.066,1.131228018236889e-07,0.0317
4.493,9.22563148044298e-08,0.028
4.724,8.573445700570761e-08,0.0387
4.966,8.98504569913702e-08,0.0421
5.22,8.673004299390146e-08,0.0417
5.488,9.059193351196375e-08,0.0448
5.77,9.57657818166231e-08,0.0384
6.065,9.872316397535948e-08,0.0349
6.376,1.0190855755549499e-07,0.0357
6.592,1.1250710619947216e-07,0.0396
6.703,1.208613179866232e-07,0.0548
7.047,1.1829286139392293e-07,0.0311
7.408,1.281895896706333e-07,0.0317
7.788,1.260179443153036e-07,0.0309
8.187,1.322328810544881e-07,0.0316
8.607,1.3077539349072115e-07,0.0303
9.048,1.321345956683172e-07,0.0298
9.512,1.4249830171615684e-07,0.0316
10.0,1.6006317337858457e-07,0.0273
10.51,3.100553155788759e-07,0.0199
11.05,3.278889547217612e-07,0.0184
11.62,3.6329169711248183e-07,0.0183
12.21,3.715892456332882e-07,0.0181
12.52,4.0036969334695806e-07,0.0238
12.84,4.002150320370171e-07,0.0236
13.5,4.223892039394914e-07,0.0164
13.84,4.339760023705465e-07,0.0227
14.19,1.4333236404699738e-07,0.0373
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
