Energy,Value,Error
0.01,0.0,0.0
0.02,1.58731e-10,0.1169
0.05,7.43593e-11,0.1413
0.1,8.63321e-09,0.0139
0.2,4.62322e-09,0.0224
0.3,1.01924e-08,0.0161
0.4,2.04499e-08,0.0127
0.6,7.57376e-08,0.006
0.8,6.72046e-08,0.0053
1.0,8.03763e-08,0.0049
1.22,8.17805e-08,0.0045
1.44,8.08698e-08,0.0044
1.66,7.06093e-08,0.005
2.0,8.87745e-08,0.0042
2.5,9.00535e-08,0.005
3.0,5.49632e-08,0.0053
4.0,4.87114e-08,0.0054
5.0,1.38231e-08,0.0106
6.5,3.30947e-09,0.0296
8.0,1.65959e-10,0.0999
10.0,2.44396e-11,0.2388
12.0,1.33388e-12,1.0
14.0,3.45946e-12,1.0
20.0,2.85097e-12,0.7079
