Energy,Value,Error
0.01,0.0,0.0
0.02,9.25838e-09,0.009
0.05,7.27472e-09,0.0086
0.1,4.59088e-07,0.0011
0.2,2.87018e-07,0.0014
0.3,5.26808e-07,0.0011
0.4,1.31471e-06,0.0006
0.6,5.48322e-06,0.0003
0.8,5.54647e-06,0.0002
1.0,5.7263e-06,0.0002
1.22,4.55306e-06,0.0002
1.44,4.57216e-06,0.0002
1.66,3.01284e-06,0.0003
2.0,3.56865e-06,0.0003
2.5,3.0944e-06,0.0003
3.0,1.86412e-06,0.0004
4.0,1.66007e-06,0.0004
5.0,5.43322e-07,0.0006
6.5,2.53378e-07,0.001
8.0,5.20304e-08,0.0021
10.0,1.47229e-08,0.004
12.0,1.62445e-10,0.0465
14.0,1.13271e-10,0.0536
20.0,1.24749e-10,0.0557
