Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,7.58680870104855e-12,0.6205
6.144e-05,2.826017369185902e-12,1.0
7.889e-05,2.1552409995071436e-11,0.373
0.0001013,3.036000191686582e-11,0.2796
0.0001301,7.62134545672078e-11,0.1872
0.000167,1.3140351597606234e-10,0.1676
0.0002145,3.4129510407825746e-10,0.0879
0.0002754,6.084712503545731e-10,0.0611
0.0003536,1.3337988046307977e-09,0.047
0.000454,2.201404756413374e-09,0.0333
0.0005829,3.813772098068723e-09,0.0259
0.0007485,6.6523616108693e-09,0.02
0.0009611,1.0869524437290198e-08,0.0152
0.001234,1.801096526087414e-08,0.0119
0.001585,2.8890697535310668e-08,0.0097
0.002035,4.401719765855927e-08,0.0081
0.002249,5.8434028668270225e-08,0.0112
0.002485,6.86631617550304e-08,0.0099
0.002613,7.7447630219576e-08,0.0135
0.002747,8.326744610721949e-08,0.0127
0.003035,9.523528457870046e-08,0.0087
0.003355,1.127530027669854e-07,0.0079
0.003707,1.2842188868291515e-07,0.0075
0.004307,1.5787167104463577e-07,0.0055
0.005531,2.0987256380022616e-07,0.0038
0.007102,2.968995325680679e-07,0.0032
0.009119,4.1924731072464387e-07,0.0027
0.01059,5.369742178194281e-07,0.0031
0.01171,6.346472161249683e-07,0.0035
0.01503,7.905610036765036e-07,0.002
0.0193,1.0859168794335928e-06,0.0017
0.02187,1.368186458796641e-06,0.0022
0.02358,1.54160842228888e-06,0.0026
0.02418,1.6228591163812392e-06,0.0045
0.02479,1.6922674965937196e-06,0.0045
0.02606,1.7606853886440723e-06,0.0031
0.027,1.8593157270832544e-06,0.0036
0.0285,1.960892339371729e-06,0.0028
0.03183,2.165365064854797e-06,0.002
0.03431,2.4108989551442008e-06,0.0022
0.04087,2.811091519359313e-06,0.0013
0.04631,3.352045133728622e-06,0.0014
0.05248,3.825848237541269e-06,0.0014
0.05656,4.2433086967890526e-06,0.0017
0.06738,4.841104352187403e-06,0.001
0.07202,5.457791348401821e-06,0.0016
0.0795,6.015514323287455e-06,0.0012
0.0825,6.4748047008125764e-06,0.002
0.08652,6.823399965068867e-06,0.0017
0.09804,7.368722500941249e-06,0.001
0.1111,3.257922917542801e-06,0.0016
0.1168,3.0901991733803097e-06,0.0027
0.1228,3.289199901325863e-06,0.0026
0.1291,3.5241656145009603e-06,0.0025
0.1357,3.74977419031449e-06,0.0024
0.1426,3.9927462349648185e-06,0.0024
0.15,4.245274114404521e-06,0.0023
0.1576,4.5255746688923945e-06,0.0023
0.1657,4.82941043912767e-06,0.0022
0.1742,5.1568671286634656e-06,0.0021
0.1832,5.45358488469914e-06,0.002
0.1925,5.806448832662127e-06,0.002
0.2024,6.173805293794239e-06,0.0019
0.2128,6.5548162833895295e-06,0.0019
0.2237,6.9282171395068895e-06,0.0018
0.2352,7.3510761079667e-06,0.0018
0.2472,7.776854107302944e-06,0.0017
0.2732,8.443199456821573e-06,0.0012
0.2872,9.175280952999808e-06,0.0016
0.2945,9.537546516073187e-06,0.0022
0.2972,9.783461489546456e-06,0.0036
0.2985,9.771274499720463e-06,0.0052
0.302,9.902304438300549e-06,0.0031
0.3337,1.0478145970393484e-05,0.0011
0.3688,1.1624092796031343e-05,0.001
0.3877,1.2559648768708761e-05,0.0014
0.4076,1.322068091439951e-05,0.0013
0.4505,1.419001501741627e-05,0.0009
0.4979,1.555509494081635e-05,0.0009
0.5234,1.665864597315131e-05,0.0012
0.5502,1.7474056280513482e-05,0.0012
0.5784,1.8293158804917803e-05,0.0011
0.6081,1.911377727067985e-05,0.0011
0.6393,1.9988213870399173e-05,0.0011
0.6721,2.0815532191532793e-05,0.0011
0.7065,2.17296784157361e-05,0.0011
0.7427,2.2658051367594537e-05,0.001
0.7808,2.3706474163812445e-05,0.001
0.8209,2.4717532611718286e-05,0.001
0.8629,2.5601878648907373e-05,0.001
0.9072,2.6613469046055387e-05,0.0009
0.9617,2.757302900851213e-05,0.0009
1.003,2.770199428234233e-05,0.001
1.108,2.3926618872202926e-05,0.0008
1.165,2.498181049670438e-05,0.001
1.225,2.566181275106959e-05,0.001
1.287,2.6238587482259358e-05,0.001
1.353,2.687639864962483e-05,0.001
1.423,2.7440890221589775e-05,0.001
1.496,2.7934602198890126e-05,0.001
1.572,2.8302967499732955e-05,0.001
1.653,2.8689895479701315e-05,0.001
1.738,2.900751782524332e-05,0.001
1.827,2.9283793809917786e-05,0.001
1.921,2.9516286657418763e-05,0.001
2.019,2.954611585408595e-05,0.0009
2.122,2.9691277243730294e-05,0.0009
2.231,2.964531947851979e-05,0.001
2.307,2.9536125062132708e-05,0.0011
2.346,2.9481672043273917e-05,0.0016
2.365,2.9448797221717027e-05,0.0022
2.385,2.936967018777639e-05,0.0022
2.466,2.9252074904609025e-05,0.0011
2.592,2.906162984182013e-05,0.001
2.725,2.8676833023046703e-05,0.001
2.865,2.8159325249047726e-05,0.001
3.012,2.7586360016252663e-05,0.001
3.166,2.687474912826725e-05,0.001
3.329,2.605521731116652e-05,0.001
3.679,2.4731162325009985e-05,0.0008
4.066,2.26520552124553e-05,0.0008
4.493,2.0390059538396128e-05,0.0008
4.724,1.860598402311511e-05,0.0011
4.966,1.7441415650514923e-05,0.0011
5.22,1.628556110302953e-05,0.0012
5.488,1.5157284289268273e-05,0.0012
5.77,1.3992542908669927e-05,0.0012
6.065,1.2920922388511894e-05,0.0013
6.376,1.2034239835866741e-05,0.0013
6.592,1.1247949171660312e-05,0.0016
6.703,1.0837748328944828e-05,0.0023
7.047,1.0308729592257554e-05,0.0014
7.408,9.655553530291417e-06,0.0014
7.788,9.044132948035041e-06,0.0015
8.187,8.559998577157638e-06,0.0015
8.607,8.16076178034645e-06,0.0015
9.048,7.888102087524337e-06,0.0015
9.512,7.699955240830467e-06,0.0015
10.0,7.743049591161539e-06,0.0014
10.51,1.576117871475641e-05,0.001
11.05,1.6251522856169714e-05,0.001
11.62,1.6813359873363463e-05,0.0009
12.21,1.7510905201553647e-05,0.0009
12.52,1.803053612571163e-05,0.0013
12.84,1.8425281006843704e-05,0.0012
13.5,1.905727039655848e-05,0.0009
13.84,1.9688489026985927e-05,0.0012
14.19,8.971816545403352e-06,0.0018
14.55,8.52467635869141e-08,0.0222
14.92,6.780053526972819e-08,0.0259
15.68,4.778938311798642e-08,0.0217
16.49,2.8867068145309175e-08,0.0271
16.9,1.9719224281371522e-08,0.0451
17.33,1.5311109378335024e-08,0.0521
19.64,7.331182536719686e-09,0.0344
