Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,6.48026e-12,0.2327
1.445e-06,9.88723e-12,0.1904
1.855e-06,3.25432e-12,0.3187
2.382e-06,1.44785e-12,0.5125
3.059e-06,0.0,0.0
3.928e-06,1.04602e-11,0.2521
5.043e-06,6.51472e-11,0.0811
6.476e-06,1.24599e-10,0.0638
8.315e-06,1.58379e-10,0.0585
1.068e-05,2.42029e-10,0.0483
1.371e-05,2.91362e-10,0.0453
1.76e-05,3.25684e-10,0.0416
2.26e-05,4.49315e-10,0.0369
2.902e-05,5.91168e-10,0.0302
3.727e-05,8.22861e-10,0.0265
4.785e-05,8.20503e-10,0.0252
6.144e-05,7.57137e-10,0.026
7.889e-05,1.42049e-09,0.0205
0.0001013,2.13223e-09,0.0173
0.0001301,2.5224e-09,0.0157
0.000167,3.1331e-09,0.0138
0.0002145,4.20401e-09,0.0123
0.0002754,5.12548e-09,0.0106
0.0003536,6.62064e-09,0.0095
0.000454,8.40222e-09,0.0089
0.0005829,1.14847e-08,0.0069
0.0007485,1.46557e-08,0.0063
0.0009611,1.82908e-08,0.0056
0.001234,2.29822e-08,0.0048
0.001585,2.96992e-08,0.0042
0.002035,3.82255e-08,0.0037
0.002249,1.82282e-08,0.0054
0.002485,2.01462e-08,0.0052
0.002613,1.08536e-08,0.0069
0.002747,1.1279e-08,0.0067
0.003035,2.50107e-08,0.0046
0.003355,2.77064e-08,0.0043
0.003707,3.05328e-08,0.0042
0.004307,5.26278e-08,0.0032
0.005531,1.08737e-07,0.0023
0.007102,1.41004e-07,0.002
0.009119,1.84574e-07,0.0018
0.01059,1.36261e-07,0.002
0.01171,1.05233e-07,0.0023
0.01503,3.17795e-07,0.0014
0.0193,4.19794e-07,0.0012
0.02187,2.59445e-07,0.0015
0.02358,1.74253e-07,0.0018
0.02418,6.12348e-08,0.0033
0.02479,6.27107e-08,0.003
0.02606,1.31181e-07,0.0021
0.027,9.76304e-08,0.0025
0.0285,1.55797e-07,0.002
0.03183,3.50935e-07,0.0013
0.03431,2.64596e-07,0.0015
0.04087,7.09896e-07,0.0009
0.04631,6.07209e-07,0.001
0.05248,6.88339e-07,0.001
0.05656,4.29612e-07,0.0012
0.06738,1.10854e-06,0.0008
0.07202,4.71664e-07,0.0012
0.0795,7.57776e-07,0.0009
0.0825,3.02448e-07,0.0015
0.08652,4.04982e-07,0.0013
0.09804,1.10484e-06,0.0008
0.1111,3.61612e-07,0.0014
0.1168,1.28757e-07,0.0023
0.1228,1.36921e-07,0.0022
0.1291,1.44432e-07,0.0022
0.1357,1.53119e-07,0.0021
0.1426,1.61458e-07,0.0021
0.15,1.74672e-07,0.0021
0.1576,1.81114e-07,0.002
0.1657,1.93816e-07,0.0019
0.1742,2.0518e-07,0.0019
0.1832,2.19481e-07,0.0018
0.1925,2.28111e-07,0.0017
0.2024,2.44978e-07,0.0017
0.2128,2.58816e-07,0.0016
0.2237,2.71581e-07,0.0016
0.2352,2.87969e-07,0.0016
0.2472,3.02643e-07,0.0015
0.2732,6.60376e-07,0.001
0.2872,3.56723e-07,0.0014
0.2945,1.86247e-07,0.0019
0.2972,6.92375e-08,0.0031
0.2985,3.36117e-08,0.0045
0.302,8.95155e-08,0.0027
0.3337,8.13284e-07,0.0009
0.3688,9.02382e-07,0.0009
0.3877,4.85562e-07,0.0012
0.4076,5.1008e-07,0.0011
0.4505,1.09496e-06,0.0008
0.4979,1.18992e-06,0.0008
0.5234,6.29811e-07,0.001
0.5502,6.53974e-07,0.001
0.5784,6.78172e-07,0.001
0.6081,7.0397e-07,0.001
0.6393,7.26959e-07,0.001
0.6721,7.4973e-07,0.0009
0.7065,7.70137e-07,0.0009
0.7427,7.91345e-07,0.0009
0.7808,8.07672e-07,0.0009
0.8209,8.17932e-07,0.0009
0.8629,8.19049e-07,0.0009
0.9072,8.24421e-07,0.0009
0.9617,9.58811e-07,0.0008
1.003,6.49624e-07,0.001
1.108,1.06699e-06,0.0008
1.165,5.46357e-07,0.0011
1.225,5.52222e-07,0.0011
1.287,5.48019e-07,0.0012
1.353,5.62703e-07,0.0018
1.423,5.74463e-07,0.0011
1.496,5.7454e-07,0.0011
1.572,5.71784e-07,0.0011
1.653,5.81261e-07,0.0011
1.738,5.81436e-07,0.0011
1.827,5.78599e-07,0.0011
1.921,5.80484e-07,0.0011
2.019,5.73144e-07,0.0011
2.122,5.72111e-07,0.0011
2.231,5.74609e-07,0.0011
2.307,3.82022e-07,0.0013
2.346,1.89934e-07,0.0019
2.365,9.14315e-08,0.0027
2.385,9.51762e-08,0.0026
2.466,3.76383e-07,0.0014
2.592,5.56235e-07,0.0011
2.725,5.51205e-07,0.0011
2.865,5.44386e-07,0.0011
3.012,5.31433e-07,0.0011
3.166,5.20353e-07,0.0011
3.329,5.13126e-07,0.0011
3.679,9.81651e-07,0.0008
4.066,9.26368e-07,0.0008
4.493,8.65275e-07,0.0009
4.724,4.12059e-07,0.0012
4.966,3.95792e-07,0.0012
5.22,3.80988e-07,0.0012
5.488,3.68252e-07,0.0012
5.77,3.56814e-07,0.0013
6.065,3.45011e-07,0.0012
6.376,3.39049e-07,0.0013
6.592,2.2204e-07,0.0015
6.703,1.10102e-07,0.0022
7.047,3.25138e-07,0.0012
7.408,3.19856e-07,0.0012
7.788,3.19197e-07,0.0012
8.187,3.19551e-07,0.0012
8.607,3.22719e-07,0.0012
9.048,3.26677e-07,0.0012
9.512,3.33537e-07,0.0012
10.0,3.49708e-07,0.0011
10.51,7.60102e-07,0.0007
11.05,7.97824e-07,0.0007
11.62,8.36471e-07,0.0007
12.21,8.60519e-07,0.0007
12.52,4.47889e-07,0.001
12.84,4.60313e-07,0.001
13.5,9.43715e-07,0.0007
13.84,4.84051e-07,0.0009
14.19,2.19269e-07,0.0014
14.55,6.23947e-10,0.0317
14.92,4.83192e-10,0.0352
15.68,6.4836e-10,0.0309
16.49,4.17183e-10,0.0372
16.9,1.45066e-10,0.0637
17.33,9.54151e-11,0.0767
19.64,2.77731e-10,0.0472
