Energy,Value,Error
0.01,0.0,0.0
0.02,1.77523e-08,0.0223
0.05,7.16205e-09,0.0351
0.1,6.20542e-08,0.0128
0.2,1.24245e-06,0.0031
0.3,8.42085e-07,0.0035
0.4,1.81061e-06,0.0022
0.6,7.49689e-06,0.0011
0.8,7.23329e-06,0.001
1.0,7.2105e-06,0.0009
1.22,5.82231e-06,0.001
1.44,5.83194e-06,0.001
1.66,3.91312e-06,0.0012
2.0,4.6887e-06,0.001
2.5,4.24917e-06,0.0011
3.0,2.68889e-06,0.0013
4.0,2.58931e-06,0.0014
5.0,9.96912e-07,0.0022
6.5,4.10699e-07,0.0034
8.0,6.86769e-08,0.0082
10.0,1.10316e-08,0.0208
12.0,1.86828e-10,0.1736
14.0,1.96843e-10,0.3833
20.0,1.33933e-10,0.2466
