Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,4.851677193063689e-11,0.1921
1.445e-06,9.978496628667685e-11,0.1295
1.855e-06,1.0514247072233051e-10,0.1413
2.382e-06,1.6744864229249309e-10,0.1116
3.059e-06,1.707971652917448e-10,0.1167
3.928e-06,1.9347324472934915e-10,0.0995
5.043e-06,2.0658840405441935e-10,0.0927
6.476e-06,1.5036031751259285e-10,0.1098
8.315e-06,1.9431338493266623e-12,1.0
1.068e-05,2.172387286031791e-10,0.0912
1.371e-05,8.533042249240207e-10,0.0623
1.76e-05,6.714085419554208e-10,0.0589
2.26e-05,1.4457490427093064e-09,0.0472
2.902e-05,2.1691613571311894e-09,0.042
3.727e-05,2.098739910846323e-09,0.0355
4.785e-05,4.0182501140071194e-09,0.0316
6.144e-05,4.573823484592332e-09,0.028
7.889e-05,5.882475573417795e-09,0.0224
0.0001013,5.619602171178364e-09,0.0217
0.0001301,1.0933830560653393e-08,0.0185
0.000167,1.2281247775867107e-08,0.0155
0.0002145,1.2421622748065684e-08,0.0144
0.0002754,1.6132254779780024e-08,0.0129
0.0003536,2.5851664009663327e-08,0.0101
0.000454,2.6107939651750403e-08,0.0099
0.0005829,4.249306174493168e-08,0.0081
0.0007485,4.798013712306072e-08,0.0074
0.0009611,6.520050710681762e-08,0.0063
0.001234,8.485193063009329e-08,0.0054
0.001585,1.1279884648362962e-07,0.0047
0.002035,1.4578085799206657e-07,0.0041
0.002249,1.7413866796537762e-07,0.0059
0.002485,1.934631023874456e-07,0.0056
0.002613,2.058263189757487e-07,0.0076
0.002747,2.1837248866355766e-07,0.0075
0.003035,2.4041639904071554e-07,0.0051
0.003355,2.6516468751300835e-07,0.0048
0.003707,2.911021764291267e-07,0.0046
0.004307,3.347583071843339e-07,0.0035
0.005531,4.1387770883453243e-07,0.0024
0.007102,5.38175201381278e-07,0.0022
0.009119,7.057499741606414e-07,0.0019
0.01059,8.715345416775975e-07,0.0022
0.01171,1.007221329053464e-06,0.0025
0.01503,1.2221188198760763e-06,0.0015
0.0193,1.6157443073561474e-06,0.0013
0.02187,2.009619353153845e-06,0.0016
0.02358,2.2468666796366126e-06,0.002
0.02418,2.3770891340159414e-06,0.0034
0.02479,2.4505929435220944e-06,0.0034
0.02606,2.557323170894291e-06,0.0023
0.027,2.691511439752993e-06,0.0027
0.0285,2.8265924604491967e-06,0.0021
0.03183,3.11079608051278e-06,0.0014
0.03431,3.4666835404797618e-06,0.0016
0.04087,4.0109638963690765e-06,0.001
0.04631,4.753491401092293e-06,0.0011
0.05248,5.451147146190112e-06,0.001
0.05656,5.857789779437476e-06,0.0013
0.06738,6.345524187307643e-06,0.0008
0.07202,7.1591945275855566e-06,0.0012
0.0795,7.784782646600874e-06,0.001
0.0825,8.348849431216008e-06,0.0015
0.08652,8.70211072526008e-06,0.0013
0.09804,9.2403231361617e-06,0.0008
0.1111,3.7129542014754888e-06,0.0013
0.1168,3.4885412568514277e-06,0.0022
0.1228,3.707933140771458e-06,0.0022
0.1291,3.931139133922757e-06,0.002
0.1357,4.196451417075654e-06,0.002
0.1426,4.467533579890543e-06,0.0019
0.15,4.766742163377498e-06,0.0019
0.1576,5.062328591490466e-06,0.0018
0.1657,5.402788700060442e-06,0.0018
0.1742,5.765521097619694e-06,0.0017
0.1832,6.139409596303225e-06,0.0017
0.1925,6.54549767581188e-06,0.0016
0.2024,6.9681855896267245e-06,0.0016
0.2128,7.415377778878084e-06,0.0015
0.2237,7.900669084936136e-06,0.0015
0.2352,8.366728352770463e-06,0.0014
0.2472,8.890284959601276e-06,0.0014
0.2732,9.747475955564996e-06,0.001
0.2872,1.0634579081244663e-05,0.0013
0.2945,1.108753627023506e-05,0.0017
0.2972,1.1247919782464423e-05,0.0028
0.2985,1.1364975673579096e-05,0.0041
0.302,1.145149110968517e-05,0.0025
0.3337,1.2230781890442279e-05,0.0009
0.3688,1.363144978689733e-05,0.0008
0.3877,1.4721247843633925e-05,0.0011
0.4076,1.543508912837775e-05,0.0011
0.4505,1.6580898943746194e-05,0.0008
0.4979,1.8052566566921138e-05,0.0007
0.5234,1.9154324547266035e-05,0.0009
0.5502,1.994162175273829e-05,0.0009
0.5784,2.0645479905274804e-05,0.0009
0.6081,2.1349543036098007e-05,0.0009
0.6393,2.1887503905499696e-05,0.0009
0.6721,2.2371095837597488e-05,0.0009
0.7065,2.2810292482581754e-05,0.0009
0.7427,2.348336318388106e-05,0.0009
0.7808,2.426277553652224e-05,0.0008
0.8209,2.4969717695356027e-05,0.0008
0.8629,2.5708898016865265e-05,0.0008
0.9072,2.6427307792126902e-05,0.0008
0.9617,2.7143303882785784e-05,0.0008
1.003,2.6872470784661915e-05,0.0009
1.108,2.293265616457909e-05,0.0007
1.165,2.3764415693772893e-05,0.0009
1.225,2.4295019996005753e-05,0.0009
1.287,2.4861926483116823e-05,0.0009
1.353,2.5429900116544065e-05,0.0009
1.423,2.6115829462731908e-05,0.0009
1.496,2.6701282015940918e-05,0.0009
1.572,2.7249970862154836e-05,0.0009
1.653,2.774031282218049e-05,0.0008
1.738,2.8216583188660265e-05,0.0009
1.827,2.8601378330963433e-05,0.0008
1.921,2.8976129741852673e-05,0.0008
2.019,2.9315793981785358e-05,0.0008
2.122,2.9602444987501337e-05,0.0008
2.231,2.963653544354878e-05,0.0008
2.307,2.9696492540130827e-05,0.001
2.346,2.9681388443126778e-05,0.0013
2.365,2.960314362168435e-05,0.0019
2.385,2.961726247461158e-05,0.0018
2.466,2.947624812280818e-05,0.001
2.592,2.934497977958226e-05,0.0008
2.725,2.9084517885704046e-05,0.0008
2.865,2.86559328081259e-05,0.0008
3.012,2.8075408294970995e-05,0.0008
3.166,2.75034510051206e-05,0.0008
3.329,2.6849791385966745e-05,0.0009
3.679,2.5653348040925073e-05,0.0007
4.066,2.378504290094611e-05,0.0007
4.493,2.164971152685232e-05,0.0007
4.724,1.9900461987811416e-05,0.0009
4.966,1.8812725918697158e-05,0.001
5.22,1.7643747004899432e-05,0.001
5.488,1.6490691164034056e-05,0.001
5.77,1.5370401495602353e-05,0.001
6.065,1.4377067898947261e-05,0.001
6.376,1.3327874274153615e-05,0.0011
6.592,1.2413550490413791e-05,0.0013
6.703,1.1988457739413101e-05,0.0019
7.047,1.1300181455124064e-05,0.0011
7.408,1.0479036972155744e-05,0.0011
7.788,9.71115824328522e-06,0.0012
8.187,9.020315134069698e-06,0.0012
8.607,8.513622094767716e-06,0.0012
9.048,8.102079404700986e-06,0.0012
9.512,7.841945648397602e-06,0.0012
10.0,7.780026714446607e-06,0.0012
10.51,1.5358200085663215e-05,0.0008
11.05,1.573476987949525e-05,0.0008
11.62,1.6218417678799255e-05,0.0008
12.21,1.6781432217268517e-05,0.0008
12.52,1.7211976117686244e-05,0.0011
12.84,1.755710371371626e-05,0.0011
13.5,1.8117508283788325e-05,0.0007
13.84,1.869489207647588e-05,0.001
14.19,8.542539386413991e-06,0.0015
14.55,1.2673158201734458e-07,0.0163
14.92,1.022184919168598e-07,0.0171
15.68,7.580073974142776e-08,0.0144
16.49,4.796108969126455e-08,0.0178
16.9,3.3358598035489276e-08,0.0316
17.33,2.603918226313963e-08,0.0367
19.64,1.243099140695893e-08,0.0215
