Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,8.63471e-13,1.0
6.144e-05,2.69986e-12,0.5783
7.889e-05,6.04448e-12,0.4317
0.0001013,1.08248e-11,0.2802
0.0001301,3.42994e-11,0.1789
0.000167,4.11132e-11,0.1561
0.0002145,9.4201e-11,0.0952
0.0002754,2.06105e-10,0.0901
0.0003536,3.74538e-10,0.0527
0.000454,6.13031e-10,0.0393
0.0005829,1.13882e-09,0.0343
0.0007485,1.83621e-09,0.0236
0.0009611,2.98669e-09,0.0188
0.001234,4.75538e-09,0.0153
0.001585,7.55596e-09,0.0119
0.002035,1.13833e-08,0.0103
0.002249,5.91887e-09,0.0132
0.002485,6.91692e-09,0.0126
0.002613,3.92567e-09,0.0163
0.002747,4.21342e-09,0.0164
0.003035,9.34058e-09,0.0105
0.003355,1.13437e-08,0.0098
0.003707,1.27065e-08,0.0092
0.004307,2.33968e-08,0.0069
0.005531,5.13163e-08,0.0047
0.007102,7.25826e-08,0.0039
0.009119,1.01877e-07,0.0034
0.01059,7.8101e-08,0.004
0.01171,6.20481e-08,0.0043
0.01503,1.91174e-07,0.0025
0.0193,2.61789e-07,0.0021
0.02187,1.65474e-07,0.0027
0.02358,1.1237e-07,0.0032
0.02418,3.95932e-08,0.0054
0.02479,4.06553e-08,0.0053
0.02606,8.54307e-08,0.0037
0.027,6.39873e-08,0.0043
0.0285,1.03474e-07,0.0034
0.03183,2.34402e-07,0.0022
0.03431,1.77479e-07,0.0026
0.04087,4.87287e-07,0.0016
0.04631,4.17637e-07,0.0017
0.05248,4.88275e-07,0.0016
0.05656,3.26898e-07,0.0019
0.06738,8.96004e-07,0.0012
0.07202,3.97997e-07,0.0018
0.0795,6.58284e-07,0.0014
0.0825,2.69004e-07,0.0021
0.08652,3.66314e-07,0.0019
0.09804,1.06675e-06,0.0011
0.1111,6.6869e-07,0.0015
0.1168,2.75701e-07,0.0023
0.1228,2.94899e-07,0.0022
0.1291,3.15117e-07,0.0021
0.1357,3.36547e-07,0.0021
0.1426,3.58187e-07,0.002
0.15,3.89784e-07,0.0019
0.1576,4.09701e-07,0.0019
0.1657,4.43301e-07,0.0018
0.1742,4.75047e-07,0.0018
0.1832,5.12661e-07,0.0017
0.1925,5.40458e-07,0.0017
0.2024,5.83129e-07,0.0016
0.2128,6.2076e-07,0.0015
0.2237,6.55273e-07,0.0015
0.2352,6.95238e-07,0.0015
0.2472,7.27112e-07,0.0014
0.2732,1.59125e-06,0.001
0.2872,8.6606e-07,0.0013
0.2945,4.51075e-07,0.0018
0.2972,1.67977e-07,0.0029
0.2985,8.07616e-08,0.0041
0.302,2.16879e-07,0.0027
0.3337,1.96228e-06,0.0009
0.3688,2.15967e-06,0.0009
0.3877,1.15577e-06,0.0012
0.4076,1.2092e-06,0.0011
0.4505,2.56934e-06,0.0008
0.4979,2.77637e-06,0.0008
0.5234,1.46625e-06,0.001
0.5502,1.52289e-06,0.001
0.5784,1.57436e-06,0.001
0.6081,1.63562e-06,0.001
0.6393,1.69308e-06,0.001
0.6721,1.74506e-06,0.001
0.7065,1.79773e-06,0.0009
0.7427,1.85732e-06,0.0009
0.7808,1.91948e-06,0.0009
0.8209,1.9845e-06,0.0009
0.8629,2.0371e-06,0.0009
0.9072,2.10611e-06,0.0009
0.9617,2.52954e-06,0.0008
1.003,1.84819e-06,0.0009
1.108,4.05763e-06,0.0007
1.165,2.12135e-06,0.0009
1.225,2.17241e-06,0.0009
1.287,2.18381e-06,0.0009
1.353,2.25781e-06,0.0009
1.423,2.32406e-06,0.0009
1.496,2.35006e-06,0.0009
1.572,2.36214e-06,0.0009
1.653,2.43671e-06,0.0009
1.738,2.46795e-06,0.0009
1.827,2.4881e-06,0.0009
1.921,2.52955e-06,0.0008
2.019,2.53515e-06,0.0008
2.122,2.5511e-06,0.0008
2.231,2.58331e-06,0.0008
2.307,1.73574e-06,0.001
2.346,8.67428e-07,0.0013
2.365,4.17671e-07,0.0018
2.385,4.37106e-07,0.0018
2.466,1.72908e-06,0.001
2.592,2.56912e-06,0.0008
2.725,2.56428e-06,0.0008
2.865,2.54459e-06,0.0008
3.012,2.50363e-06,0.0009
3.166,2.44964e-06,0.0008
3.329,2.40563e-06,0.0009
3.679,4.59006e-06,0.0007
4.066,4.25604e-06,0.0007
4.493,3.85589e-06,0.0007
4.724,1.76767e-06,0.0009
4.966,1.65106e-06,0.001
5.22,1.53603e-06,0.001
5.488,1.42715e-06,0.001
5.77,1.31433e-06,0.0011
6.065,1.19546e-06,0.0011
6.376,1.0948e-06,0.0011
6.592,6.71581e-07,0.0016
6.703,3.2194e-07,0.002
7.047,9.02818e-07,0.0012
7.408,8.15639e-07,0.0012
7.788,7.40552e-07,0.0013
8.187,6.70056e-07,0.0013
8.607,6.12456e-07,0.0014
9.048,5.64482e-07,0.0014
9.512,5.25469e-07,0.0014
10.0,5.00101e-07,0.0015
10.51,8.75651e-07,0.001
11.05,8.86706e-07,0.001
11.62,9.03606e-07,0.001
12.21,9.12085e-07,0.001
12.52,4.70539e-07,0.0014
12.84,4.81936e-07,0.0014
13.5,9.82488e-07,0.0009
13.84,5.00679e-07,0.0013
14.19,2.32633e-07,0.0019
14.55,7.82533e-09,0.0131
14.92,6.38003e-09,0.0141
15.68,9.4413e-09,0.0119
16.49,6.09907e-09,0.0147
16.9,2.1229e-09,0.0265
17.33,1.71682e-09,0.027
19.64,4.23593e-09,0.0178
