Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,4.788411707766916e-12,0.7185
3.059e-06,4.6397008276106666e-11,0.3299
3.928e-06,2.8254256517815814e-11,0.3162
5.043e-06,2.8273657186451476e-12,1.0
6.476e-06,3.441169479515986e-11,0.291
8.315e-06,8.071393513625711e-11,0.193
1.068e-05,2.6744932184050446e-12,1.0
1.371e-05,1.482258487006652e-10,0.136
1.76e-05,3.614187777354402e-11,0.2945
2.26e-05,1.3297926997671657e-10,0.153
2.902e-05,1.264937182520499e-10,0.17
3.727e-05,3.922631510876897e-10,0.0876
4.785e-05,6.008346220127686e-10,0.073
6.144e-05,1.8306974406945784e-10,0.1366
7.889e-05,1.230888553223003e-09,0.0501
0.0001013,1.2146808408107793e-09,0.0524
0.0001301,1.393506579742917e-09,0.0472
0.000167,2.246413717048393e-09,0.0378
0.0002145,2.6437870362619614e-09,0.0344
0.0002754,3.3306464458040515e-09,0.0309
0.0003536,4.600231955822459e-09,0.0279
0.000454,5.617793493426491e-09,0.0246
0.0005829,7.678264741786022e-09,0.0212
0.0007485,1.1792859211188817e-08,0.017
0.0009611,1.631688629014425e-08,0.0152
0.001234,2.3214501094570116e-08,0.0123
0.001585,3.851160877479702e-08,0.0135
0.002035,5.206484937403275e-08,0.0089
0.002249,6.312890500654458e-08,0.0138
0.002485,7.540692688033965e-08,0.0111
0.002613,8.202291998835177e-08,0.0147
0.002747,9.164070102465895e-08,0.014
0.003035,1.0288558113140407e-07,0.0095
0.003355,1.2141817637643149e-07,0.0086
0.003707,1.3701555496637635e-07,0.0083
0.004307,1.6649526367714022e-07,0.0061
0.005531,2.1896754264363798e-07,0.0044
0.007102,3.096303351883695e-07,0.0036
0.009119,4.3415228166839674e-07,0.0031
0.01059,5.573520164335122e-07,0.0034
0.01171,6.577958298479284e-07,0.0039
0.01503,8.242622481168604e-07,0.0022
0.0193,1.143751718041275e-06,0.0019
0.02187,1.4592026395762817e-06,0.0024
0.02358,1.6444868116202206e-06,0.0029
0.02418,1.7360443613567341e-06,0.0048
0.02479,1.8021392542232357e-06,0.0047
0.02606,1.8922233946587953e-06,0.0033
0.027,1.979619511298815e-06,0.0038
0.0285,2.095687504145745e-06,0.003
0.03183,2.3213396902281495e-06,0.002
0.03431,2.6013888153138176e-06,0.0023
0.04087,3.0591032861147763e-06,0.0014
0.04631,3.7149325462129355e-06,0.0015
0.05248,4.378624003080757e-06,0.0014
0.05656,4.956506075674669e-06,0.0017
0.06738,5.7428833409330125e-06,0.001
0.07202,6.619969877836312e-06,0.0016
0.0795,7.389551903645368e-06,0.0012
0.0825,8.067487600824826e-06,0.0019
0.08652,8.55649508771192e-06,0.0016
0.09804,9.505043226007585e-06,0.001
0.1111,5.98859840597514e-06,0.0013
0.1168,6.1569535266948074e-06,0.002
0.1228,6.610000428035134e-06,0.0019
0.1291,7.092404536321063e-06,0.0019
0.1357,7.608214233738045e-06,0.0018
0.1426,8.16278162926087e-06,0.0017
0.15,8.742446826948365e-06,0.0017
0.1576,9.358221382840048e-06,0.0016
0.1657,1.0015254370036075e-05,0.0016
0.1742,1.071897050465617e-05,0.0015
0.1832,1.150231347826393e-05,0.0015
0.1925,1.2341041317324674e-05,0.0015
0.2024,1.3164503443137688e-05,0.0014
0.2128,1.4001108017659816e-05,0.0014
0.2237,1.4871546230118752e-05,0.0013
0.2352,1.5790215688246495e-05,0.0013
0.2472,1.673650995276737e-05,0.0013
0.2732,1.8284529403747894e-05,0.0009
0.2872,1.9910350863556197e-05,0.0012
0.2945,2.0814643286251755e-05,0.0016
0.2972,2.1197505372683e-05,0.0025
0.2985,2.133388479032546e-05,0.0036
0.302,2.1518073330570663e-05,0.0022
0.3337,2.277354716850876e-05,0.0008
0.3688,2.5205048695680846e-05,0.0008
0.3877,2.7098273895188892e-05,0.001
0.4076,2.845460913384873e-05,0.001
0.4505,3.0574155186150194e-05,0.0007
0.4979,3.3499805919001563e-05,0.0007
0.5234,3.575629014044993e-05,0.0009
0.5502,3.718370044495237e-05,0.0009
0.5784,3.8618695191533424e-05,0.0009
0.6081,4.006257078139983e-05,0.0009
0.6393,4.151616576357162e-05,0.0008
0.6721,4.306091178431791e-05,0.0008
0.7065,4.465276024196526e-05,0.0008
0.7427,4.623006953077117e-05,0.0008
0.7808,4.774636934439813e-05,0.0008
0.8209,4.92994882861523e-05,0.0008
0.8629,5.072838287684824e-05,0.0008
0.9072,5.216070550255041e-05,0.0008
0.9617,5.3623422080914515e-05,0.0007
1.003,5.4392531157679265e-05,0.0008
1.108,5.1215394946810895e-05,0.0007
1.165,5.294561032647771e-05,0.0008
1.225,5.404844952024721e-05,0.0008
1.287,5.510330215517372e-05,0.0008
1.353,5.604212017805001e-05,0.0008
1.423,5.706682228700531e-05,0.0008
1.496,5.791587625405529e-05,0.0008
1.572,5.8799711627889006e-05,0.0008
1.653,5.9505454925515085e-05,0.0008
1.738,6.020356734535866e-05,0.0008
1.827,6.0871340579157684e-05,0.0008
1.921,6.145072228149724e-05,0.0008
2.019,6.197668154347567e-05,0.0008
2.122,6.250374213279025e-05,0.0008
2.231,6.282461593560302e-05,0.0007
2.307,6.304931581466413e-05,0.0009
2.346,6.295361571706088e-05,0.0011
2.365,6.313784337362067e-05,0.0016
2.385,6.307202727122127e-05,0.0015
2.466,6.308228970625117e-05,0.0009
2.592,6.295786782851656e-05,0.0007
2.725,6.265596740688979e-05,0.0008
2.865,6.207155366037485e-05,0.0007
3.012,6.132409599109608e-05,0.0008
3.166,6.02176072307454e-05,0.0008
3.329,5.88002742568694e-05,0.0008
3.679,5.636646372285427e-05,0.0006
4.066,5.2232012199611036e-05,0.0006
4.493,4.735506384649229e-05,0.0006
4.724,4.319095271073098e-05,0.0008
4.966,4.04243187334136e-05,0.0009
5.22,3.749956286818902e-05,0.0009
5.488,3.464433098786304e-05,0.0009
5.77,3.184669007060961e-05,0.0009
6.065,2.905532429591425e-05,0.0009
6.376,2.6505807738007724e-05,0.001
6.592,2.4428702033957267e-05,0.0012
6.703,2.3260499310341585e-05,0.0017
7.047,2.1817575708175164e-05,0.001
7.408,1.9713541056661645e-05,0.0011
7.788,1.7747286771153778e-05,0.0011
8.187,1.5968695388879716e-05,0.0011
8.607,1.4418020763320059e-05,0.0012
9.048,1.311047347684004e-05,0.0012
9.512,1.1951069259809889e-05,0.0013
10.0,1.120638692094358e-05,0.0013
10.51,1.865022086247884e-05,0.0009
11.05,1.8515667710633737e-05,0.0009
11.62,1.859289790526641e-05,0.0009
12.21,1.891154017400955e-05,0.0009
12.52,1.924595195792707e-05,0.0012
12.84,1.9577514847569646e-05,0.0012
13.5,2.0135109010389717e-05,0.0008
13.84,2.072992851092266e-05,0.0012
14.19,9.667244742150598e-06,0.0017
14.55,4.3768730634896044e-07,0.0099
14.92,3.6809958639429654e-07,0.011
15.68,2.7333665757944987e-07,0.0089
16.49,1.791589542060107e-07,0.011
16.9,1.230864554364275e-07,0.0193
17.33,1.0115228915343804e-07,0.0213
19.64,5.0183570583099813e-08,0.013
