Energy,Value,Error
0.01,0.0,0.0
0.02,6.57455e-07,0.03
0.05,1.3872633333333331e-09,0.3236
0.1,3.21654e-07,0.0192
0.2,4.66165e-06,0.0035
0.3,2.4928100000000004e-06,0.005
0.4,5.464559999999998e-06,0.003
0.6,1.1817650000000002e-05,0.0015
0.8,1.1890099999999996e-05,0.0012
1.0,1.2355200000000003e-05,0.0012
1.22,9.826727272727273e-06,0.0012
1.44,9.656454545454546e-06,0.0012
1.66,6.818772727272728e-06,0.0014
2.0,5.194823529411763e-06,0.0013
2.5,3.12832e-06,0.0013
3.0,1.846368e-06,0.0017
4.0,8.30927e-07,0.0018
5.0,2.99133e-07,0.003
6.5,8.061666666666667e-08,0.0048
8.0,1.3457266666666668e-08,0.012
10.0,1.6476e-09,0.0292
12.0,8.15015e-11,0.4125
14.0,6.2683e-11,0.2016
20.0,1.63069e-11,0.2488
