Energy,Value,Error
0.01,1.7962900179629e-08,0.1375
0.02,5.42065e-06,0.0126
0.05,7.564033333333332e-08,0.0543
0.1,1.9401859999999997e-06,0.0092
0.2,3.86254e-05,0.0018
0.3,2.0124300000000003e-05,0.0021
0.4,3.995299999999998e-05,0.0015
0.6,8.049900000000003e-05,0.0008
0.8,7.948799999999997e-05,0.0007
1.0,8.049950000000002e-05,0.0007
1.22,5.952181818181819e-05,0.0008
1.44,5.949772727272728e-05,0.0007
1.66,3.978963636363637e-05,0.0008
2.0,3.0472647058823523e-05,0.0008
2.5,1.845754e-05,0.0008
3.0,1.156074e-05,0.001
4.0,5.54499e-06,0.001
5.0,2.14987e-06,0.0015
6.5,6.022993333333334e-07,0.0022
8.0,1.01808e-07,0.0052
10.0,1.26107e-08,0.0124
12.0,1.12799e-10,0.1307
14.0,7.1648e-11,0.1647
20.0,2.1864666666666665e-11,0.2266
