Energy,Value,Error
0.01,2.1191200211912e-10,0.5096
0.02,0.0,0.0
0.05,1.839633333333333e-07,0.0103
0.1,6.54598e-06,0.0011
0.2,8.198919999999998e-06,0.0007
0.3,5.072820000000001e-06,0.0009
0.4,3.7889499999999987e-06,0.001
0.6,3.0557250000000007e-06,0.0007
0.8,1.7520499999999996e-06,0.0009
1.0,1.4400600000000004e-06,0.0009
1.22,1.1484681818181821e-06,0.0009
1.44,1.1087045454545456e-06,0.0009
1.66,1.00855e-06,0.001
2.0,2.286258823529411e-06,0.0006
2.5,3.48642e-07,0.0011
3.0,3.2742e-07,0.0011
4.0,1.7406e-07,0.0011
5.0,1.55349e-07,0.0011
6.5,1.0365533333333333e-07,0.0011
8.0,1.0257466666666667e-07,0.0011
10.0,2.783635e-08,0.0018
12.0,3.69377e-09,0.0051
14.0,1.67005e-10,0.0229
20.0,1.2043250000000001e-12,0.1467
