Energy,Value,Error,Offset
5.0,7.001013915588241,0.001,on-axis
6.0,920.3135545273256,0.001,on-axis
7.0,1080.6763887559744,0.0011,on-axis
8.0,1162.2360626193229,0.0011,on-axis
9.0,1279.2589285911645,0.0011,on-axis
10.0,1425.325218488003,0.0012,on-axis
11.0,1616.773783412877,0.0012,on-axis
12.0,1746.622168939046,0.0012,on-axis
13.0,1938.8649448612973,0.0012,on-axis
14.0,2197.1860147818447,0.0012,on-axis
15.0,2448.267427627598,0.0012,on-axis
16.0,2606.5983080307533,0.0012,on-axis
17.0,2757.4440052784275,0.0012,on-axis
18.0,2982.657994628377,0.0012,on-axis
19.0,3108.204861498753,0.0012,on-axis
20.0,3237.616183223879,0.0012,on-axis
21.0,3474.224833746306,0.0012,on-axis
22.0,3642.6256029221586,0.0012,on-axis
23.0,3779.467681001084,0.0012,on-axis
24.0,3875.6460144797206,0.0012,on-axis
25.0,3920.533572179792,0.0012,on-axis
26.0,3939.347033190642,0.0013,on-axis
27.0,3930.596471430272,0.0013,on-axis
28.0,3815.9744235273024,0.0013,on-axis
29.0,3764.3212256033576,0.0014,on-axis
30.0,3694.9636169561018,0.0014,on-axis
31.0,3398.066546485733,0.0015,on-axis
32.0,3021.11913533007,0.0016,on-axis
33.0,2770.0001785114137,0.0017,on-axis
34.0,2601.714932302444,0.0018,on-axis
35.0,2510.8825326639126,0.0018,on-axis
36.0,2466.259750526608,0.0018,on-axis
37.0,2215.305565210918,0.002,on-axis
38.0,2797.187973029479,0.0018,on-axis
39.0,12773.774275054502,0.0009,on-axis
40.0,36883.44585674426,0.0005,on-axis
41.0,50312.618620373905,0.0005,on-axis
42.0,31125.610315188787,0.0006,on-axis
43.0,7390.196516826036,0.0012,on-axis
44.0,380.22501883527536,0.0056,on-axis
