Energy,Value,Error
0.5,0.2511620000502324,0.001
0.6,0.21554200000000004,0.0023
0.7,0.11878600000000002,0.003
0.8,0.1258649999999999,0.0029
0.9,0.17509200000000003,0.0025
1.0,0.12172000000000004,0.003
1.1,0.15286499999999986,0.0027
1.2,0.09141980000000012,0.0035
1.3,0.08945789999999992,0.0035
1.4,0.09305890000000012,0.0034
1.5,0.1137959999999999,0.0031
1.6,0.1052849999999999,0.0032
1.7,0.09835060000000012,0.0033
1.8,0.08578029999999993,0.0035
1.9,0.05852440000000008,0.0043
2.0,0.04679709999999996,0.0048
2.1,0.047588699999999956,0.0048
2.2,0.06101599999999995,0.0042
2.3,0.15752800000000056,0.0026
2.4,0.06378769999999995,0.0041
2.5,0.05176339999999995,0.0045
2.6,0.04677089999999996,0.0048
2.7,0.04091409999999997,0.0051
2.8,0.03781370000000014,0.0053
2.9,0.031832799999999974,0.0058
3.0,0.035819799999999964,0.0055
3.1,0.08380109999999992,0.0035
3.2,0.03367769999999997,0.0057
3.3,0.058481900000000205,0.0043
3.4,0.043298799999999964,0.005
3.5,0.038353299999999965,0.0053
3.6,0.03629489999999997,0.0054
3.7,0.03228489999999997,0.0058
3.8,0.02993420000000011,0.006
3.9,0.027625299999999974,0.0062
4.0,0.030827199999999975,0.0059
4.1,0.023743300000000085,0.0068
4.2,0.02203079999999988,0.007
4.3,0.02256170000000008,0.0069
4.4,0.020748899999999886,0.0072
4.5,0.023831300000000083,0.0067
4.6,0.02524730000000009,0.0065
4.7,0.02069739999999989,0.0072
4.8,0.020314700000000074,0.0073
4.9,0.021527399999999888,0.007
5.0,0.019435400000000068,0.0074
5.5,0.01697976,0.0036
6.0,0.0141664,0.0039
6.5,0.01295044,0.0041
7.0,0.01334094,0.004
7.5,0.01072016,0.0044
8.0,0.00843324,0.005
8.5,0.00643906,0.0057
9.0,0.00501286,0.0065
9.5,0.00318756,0.0081
10.0,0.001852882,0.0107
10.5,0.001031112,0.0143
