Energy,Value,Error
0.2,0.2140250001070125,0.0018
0.3,0.49810600000000005,0.0016
0.4,0.38851299999999983,0.0018
0.5,0.3018930000000001,0.0021
0.6,0.2796580000000001,0.0022
0.7,0.18930400000000006,0.0026
0.8,0.16529099999999985,0.0028
0.9,0.17036800000000005,0.0027
1.0,0.13401500000000002,0.0031
1.1,0.13624499999999987,0.003
1.2,0.1488670000000002,0.0029
1.3,0.1004679999999999,0.0035
1.4,0.08703280000000012,0.0038
1.5,0.14394199999999988,0.0029
1.6,0.06100519999999995,0.0046
1.7,0.05459100000000007,0.0048
1.8,0.06989709999999993,0.0042
1.9,0.04814310000000006,0.0052
2.0,0.04258079999999996,0.0055
2.1,0.04897299999999996,0.005
2.2,0.04822219999999996,0.005
2.3,0.03892570000000014,0.0057
2.4,0.037657399999999966,0.0058
2.5,0.032582799999999974,0.0063
2.6,0.03525259999999997,0.0059
2.7,0.026503899999999976,0.007
2.8,0.0276815000000001,0.0068
2.9,0.02595079999999998,0.007
3.0,0.02244079999999998,0.0076
3.1,0.02089299999999998,0.0079
3.2,0.020110399999999983,0.008
3.3,0.018829700000000067,0.0083
3.4,0.017293799999999984,0.0087
3.5,0.016172199999999984,0.0089
3.6,0.015678099999999986,0.0091
3.7,0.014802599999999987,0.0094
3.8,0.01397850000000005,0.0096
3.9,0.012501099999999989,0.0102
4.0,0.011767999999999989,0.0105
4.2,0.010568449999999991,0.0078
4.4,0.009500849999999991,0.0083
4.6,0.008398250000000029,0.0088
4.8,0.007210899999999993,0.0095
5.0,0.006424399999999994,0.0101
5.2,0.005654699999999995,0.0107
5.4,0.005027899999999996,0.0114
5.6,0.004608555000000016,0.0118
5.8,0.004078529999999997,0.0126
6.0,0.003534984999999997,0.0135
6.5,0.00272648,0.0097
7.0,0.00212228,0.0109
7.5,0.001415924,0.0134
8.0,0.000914026,0.0167
8.5,0.000654198,0.0198
9.0,0.000483168,0.0232
9.5,0.000357396,0.027
10.0,0.000257716,0.0318
10.5,0.0001785002,0.0383
