Energy,Value,Error
0.01,1.1849400118494002e-09,0.3774
0.02,0.0,0.0
0.05,1.2505833333333332e-08,0.0912
0.1,2.0087e-06,0.0046
0.2,6.70671e-06,0.0017
0.3,5.485840000000001e-06,0.0018
0.4,4.185319999999998e-06,0.002
0.6,3.635370000000001e-06,0.0015
0.8,2.0303749999999996e-06,0.0018
1.0,1.4426700000000004e-06,0.0021
1.22,1.2495e-06,0.0021
1.44,1.2625272727272729e-06,0.0021
1.66,1.0569136363636364e-06,0.0022
2.0,9.724999999999998e-07,0.0019
2.5,8.78344e-07,0.0016
3.0,1.22981e-06,0.0014
4.0,6.6879e-07,0.0013
5.0,2.94646e-07,0.002
6.5,1.4386733333333332e-07,0.0023
8.0,2.7252133333333333e-08,0.0053
10.0,4.849435e-10,0.0327
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
