Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,2.34495e-12,0.5463
5.316e-07,2.33727e-12,0.6849
6.826e-07,1.08573e-11,0.2403
8.764e-07,2.35768e-11,0.1677
1.125e-06,4.40632e-11,0.1355
1.445e-06,5.50826e-11,0.1263
1.855e-06,5.79399e-11,0.1214
2.382e-06,7.91352e-11,0.1004
3.059e-06,1.14353e-10,0.0998
3.928e-06,1.54133e-10,0.0915
5.043e-06,2.05339e-10,0.0695
6.476e-06,2.43418e-10,0.0655
8.315e-06,3.20914e-10,0.0565
1.068e-05,4.2665e-10,0.0492
1.371e-05,5.54897e-10,0.0439
1.76e-05,6.80151e-10,0.0387
2.26e-05,9.11158e-10,0.0355
2.902e-05,1.18673e-09,0.0303
3.727e-05,1.55281e-09,0.0276
4.785e-05,1.87455e-09,0.0247
6.144e-05,2.50267e-09,0.0206
7.889e-05,3.25176e-09,0.0218
0.0001013,4.21364e-09,0.0163
0.0001301,5.39205e-09,0.0147
0.000167,6.99195e-09,0.0139
0.0002145,8.7393e-09,0.0116
0.0002754,1.13733e-08,0.0102
0.0003536,1.46319e-08,0.0091
0.000454,1.89453e-08,0.0081
0.0005829,2.32531e-08,0.0073
0.0007485,2.91942e-08,0.0064
0.0009611,3.67412e-08,0.006
0.001234,4.42781e-08,0.0052
0.001585,5.4454e-08,0.0048
0.002035,6.78023e-08,0.0041
0.002249,3.12184e-08,0.0063
0.002485,3.46509e-08,0.0058
0.002613,1.88751e-08,0.0081
0.002747,1.92908e-08,0.0079
0.003035,4.08087e-08,0.0054
0.003355,4.46789e-08,0.0052
0.003707,4.89331e-08,0.0052
0.004307,8.20689e-08,0.0037
0.005531,1.6377e-07,0.0026
0.007102,2.07699e-07,0.0023
0.009119,2.65858e-07,0.0021
0.01059,1.93684e-07,0.0023
0.01171,1.40555e-07,0.0027
0.01503,4.13461e-07,0.0016
0.0193,4.93381e-07,0.0014
0.02187,2.55871e-07,0.002
0.02358,1.83296e-07,0.0024
0.02418,6.43663e-08,0.004
0.02479,6.48039e-08,0.0039
0.02606,1.35031e-07,0.0027
0.027,9.94398e-08,0.0031
0.0285,1.59548e-07,0.0025
0.03183,3.61725e-07,0.0017
0.03431,2.76376e-07,0.0019
0.04087,7.30287e-07,0.0011
0.04631,7.10423e-07,0.0012
0.05248,6.98986e-07,0.0012
0.05656,3.24247e-07,0.0018
0.06738,1.16912e-06,0.0009
0.07202,5.37697e-07,0.0013
0.0795,8.81601e-07,0.001
0.0825,2.74714e-07,0.0019
0.08652,2.72264e-07,0.0018
0.09804,5.42615e-07,0.0012
0.1111,1.77426e-07,0.0023
0.1168,1.07689e-07,0.0029
0.1228,1.40853e-07,0.0025
0.1291,1.71216e-07,0.0023
0.1357,8.58781e-08,0.0031
0.1426,1.39936e-08,0.0098
0.15,5.00891e-08,0.0047
0.1576,8.18364e-08,0.0034
0.1657,9.6654e-08,0.0029
0.1742,2.41181e-08,0.0064
0.1832,6.2403e-08,0.0038
0.1925,1.71328e-07,0.0022
0.2024,3.10096e-07,0.0016
0.2128,2.81403e-07,0.0017
0.2237,5.08974e-08,0.005
0.2352,3.53604e-07,0.0015
0.2472,6.62096e-08,0.0037
0.2732,7.97419e-08,0.004
0.2872,1.58573e-07,0.0024
0.2945,1.04768e-07,0.0029
0.2972,1.85076e-08,0.0077
0.2985,1.55063e-08,0.008
0.302,4.46175e-08,0.0047
0.3337,6.59179e-07,0.0011
0.3688,2.46553e-07,0.002
0.3877,1.8009e-07,0.0023
0.4076,2.55637e-07,0.0019
0.4505,6.21801e-07,0.0012
0.4979,7.88095e-07,0.001
0.5234,2.8868e-07,0.0018
0.5502,6.16613e-07,0.0012
0.5784,7.33629e-07,0.0011
0.6081,2.25343e-07,0.0022
0.6393,2.5604e-07,0.0021
0.6721,4.01184e-07,0.0016
0.7065,4.75187e-07,0.0014
0.7427,7.29439e-07,0.0011
0.7808,4.61966e-07,0.0014
0.8209,5.74404e-07,0.0012
0.8629,6.24553e-07,0.0012
0.9072,2.93193e-07,0.0018
0.9617,3.11353e-07,0.0017
1.003,2.41772e-07,0.0018
1.108,3.52117e-07,0.0016
1.165,1.91716e-07,0.0022
1.225,2.48752e-07,0.0019
1.287,2.07862e-07,0.0021
1.353,2.40834e-07,0.0019
1.423,2.90037e-07,0.0017
1.496,2.49764e-07,0.0019
1.572,2.83906e-07,0.0018
1.653,2.28388e-07,0.002
1.738,2.34931e-07,0.0021
1.827,2.4446e-07,0.002
1.921,2.30501e-07,0.002
2.019,2.00303e-07,0.0023
2.122,1.95484e-07,0.0022
2.231,2.3222e-07,0.002
2.307,1.14718e-07,0.0029
2.346,6.17875e-08,0.004
2.365,3.32938e-08,0.0052
2.385,2.97866e-08,0.0055
2.466,9.23916e-08,0.0032
2.592,1.71174e-07,0.0024
2.725,1.62194e-07,0.0024
2.865,1.60105e-07,0.0024
3.012,1.05067e-07,0.0031
3.166,1.22829e-07,0.0028
3.329,1.43161e-07,0.0025
3.679,2.2013e-07,0.0021
4.066,1.86155e-07,0.0022
4.493,1.57849e-07,0.0024
4.724,7.91149e-08,0.0033
4.966,7.93539e-08,0.0034
5.22,8.08691e-08,0.0032
5.488,7.98962e-08,0.0032
5.77,7.96681e-08,0.0032
6.065,8.05233e-08,0.0032
6.376,8.47342e-08,0.003
6.592,5.68494e-08,0.0037
6.703,2.83167e-08,0.0052
7.047,8.79619e-08,0.0029
7.408,8.80222e-08,0.0029
7.788,9.08488e-08,0.0028
8.187,9.48266e-08,0.0028
8.607,9.97611e-08,0.0027
9.048,1.04755e-07,0.0026
9.512,1.13729e-07,0.0025
10.0,1.37405e-07,0.0023
10.51,2.47069e-07,0.0017
11.05,2.65634e-07,0.0016
11.62,2.81931e-07,0.0016
12.21,2.93957e-07,0.0015
12.52,1.54826e-07,0.0021
12.84,1.6036e-07,0.0021
13.5,3.14008e-07,0.0015
13.84,1.44728e-07,0.0021
14.19,5.55331e-08,0.0033
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
