Energy,Value,Error
1e-07,1.3258e-11,0.1072
4.14e-07,3.47238e-10,0.0286
5.316e-07,1.90468e-10,0.0304
6.826e-07,2.60416e-10,0.0272
8.764e-07,3.37113e-10,0.0259
1.125e-06,4.30763e-10,0.02
1.445e-06,5.59431e-10,0.0228
1.855e-06,6.33261e-10,0.0195
2.382e-06,7.85721e-10,0.0171
3.059e-06,8.78485e-10,0.0147
3.928e-06,9.99929e-10,0.0145
5.043e-06,1.13087e-09,0.0161
6.476e-06,1.24833e-09,0.0139
8.315e-06,1.36052e-09,0.0132
1.068e-05,1.50789e-09,0.0145
1.371e-05,1.60153e-09,0.0132
1.76e-05,1.70792e-09,0.0136
2.26e-05,1.77706e-09,0.0127
2.902e-05,1.92201e-09,0.0131
3.727e-05,1.95826e-09,0.0161
4.785e-05,2.11618e-09,0.0143
6.144e-05,2.12773e-09,0.0134
7.889e-05,2.23518e-09,0.0121
0.0001013,2.29745e-09,0.0126
0.0001301,2.41011e-09,0.0142
0.000167,2.4567e-09,0.012
0.0002145,2.57432e-09,0.014
0.0002754,2.67096e-09,0.0115
0.0003536,2.78177e-09,0.0123
0.000454,2.88717e-09,0.0117
0.0005829,3.01289e-09,0.0122
0.0007485,3.19952e-09,0.0117
0.0009611,3.41661e-09,0.015
0.001234,3.69636e-09,0.0145
0.001585,4.00616e-09,0.01
0.002035,4.48891e-09,0.0103
0.002249,1.9607e-09,0.0153
0.002485,2.07268e-09,0.0134
0.002613,1.07717e-09,0.0211
0.002747,1.09484e-09,0.0186
0.003035,2.34883e-09,0.0134
0.003355,2.55274e-09,0.0121
0.003707,2.7505e-09,0.0144
0.004307,4.67633e-09,0.0098
0.005531,9.5721e-09,0.0069
0.007102,1.39108e-08,0.0062
0.009119,2.51216e-08,0.0042
0.01059,3.34293e-08,0.0035
0.01171,6.41911e-08,0.0025
0.01503,3.68845e-06,0.0002
0.0193,1.48086e-09,0.0186
0.02187,2.62629e-09,0.0133
0.02358,2.39543e-09,0.0144
0.02418,9.57997e-10,0.0254
0.02479,1.06955e-09,0.0253
0.02606,2.30734e-09,0.0137
0.027,1.87117e-09,0.0198
0.0285,3.19284e-09,0.012
0.03183,8.425e-09,0.0077
0.03431,7.07627e-09,0.0082
0.04087,2.66985e-08,0.0043
0.04631,3.03021e-08,0.0042
