Energy,Value,Error
1e-07,3.14666e-05,0.0003
4.14e-07,3.99852e-06,0.0009
5.316e-07,8.28495e-08,0.0069
6.826e-07,7.93415e-08,0.0076
8.764e-07,7.57785e-08,0.0073
1.125e-06,7.27401e-08,0.0076
1.445e-06,7.23035e-08,0.0086
1.855e-06,7.02543e-08,0.0078
2.382e-06,6.71206e-08,0.0074
3.059e-06,6.74642e-08,0.0078
3.928e-06,6.49139e-08,0.0077
5.043e-06,6.49418e-08,0.0078
6.476e-06,6.33791e-08,0.008
8.315e-06,6.27032e-08,0.0084
1.068e-05,6.21974e-08,0.0081
1.371e-05,6.01863e-08,0.0082
1.76e-05,5.96725e-08,0.0086
2.26e-05,5.87899e-08,0.008
2.902e-05,5.79573e-08,0.0083
3.727e-05,5.59972e-08,0.0084
4.785e-05,5.61849e-08,0.0087
6.144e-05,5.4663e-08,0.009
7.889e-05,5.41957e-08,0.0087
0.0001013,5.30766e-08,0.0087
0.0001301,5.36053e-08,0.0088
0.000167,5.28754e-08,0.0097
0.0002145,5.08249e-08,0.0089
0.0002754,5.03435e-08,0.0093
0.0003536,4.92103e-08,0.0093
0.000454,4.81845e-08,0.0092
0.0005829,4.69879e-08,0.0093
0.0007485,4.76453e-08,0.0091
0.0009611,4.74511e-08,0.0095
0.001234,4.61074e-08,0.0094
0.001585,4.6303e-08,0.0109
0.002035,4.48081e-08,0.0097
0.002249,1.73477e-08,0.0154
0.002485,1.78206e-08,0.0146
0.002613,8.76913e-09,0.0211
0.002747,8.85801e-09,0.0228
0.003035,1.7575e-08,0.0148
0.003355,1.75103e-08,0.0165
0.003707,1.75977e-08,0.0157
0.004307,2.58676e-08,0.0128
0.005531,4.30498e-08,0.0097
0.007102,4.21298e-08,0.0096
0.009119,4.11261e-08,0.0107
0.01059,2.43686e-08,0.0127
0.01171,1.62995e-08,0.0148
0.01503,4.1548e-08,0.015
0.0193,3.9883e-08,0.0102
0.02187,1.70642e-08,0.0153
0.02358,1.14268e-08,0.018
0.02418,3.71761e-09,0.0322
0.02479,3.45789e-09,0.0305
0.02606,7.40244e-09,0.0224
0.027,5.22652e-09,0.028
0.0285,8.32769e-09,0.0227
0.03183,1.6867e-08,0.0155
0.03431,1.13359e-08,0.0183
0.04087,2.71194e-08,0.0117
0.04631,2.01443e-08,0.0152
0.05248,2.01336e-08,0.0144
0.05656,1.24167e-08,0.0175
0.06738,2.87797e-08,0.0124
0.07202,1.07474e-08,0.0198
0.0795,1.67104e-08,0.0178
0.0825,6.43482e-09,0.0237
0.08652,8.01832e-09,0.0217
0.09804,2.12818e-08,0.0132
0.1111,2.17133e-08,0.0137
0.1168,8.61959e-09,0.0208
0.1228,9.20943e-09,0.021
0.1291,9.17457e-09,0.0207
0.1357,9.32931e-09,0.0203
0.1426,9.45654e-09,0.0214
0.15,9.74118e-09,0.0227
0.1576,9.52957e-09,0.0208
0.1657,9.73466e-09,0.0209
0.1742,1.05283e-08,0.0195
0.1832,1.06134e-08,0.0196
0.1925,1.02278e-08,0.0192
0.2024,1.07449e-08,0.0226
0.2128,1.06704e-08,0.0192
0.2237,1.01499e-08,0.0239
0.2352,1.05832e-08,0.0185
0.2472,1.04491e-08,0.0183
0.2732,2.20967e-08,0.0145
0.2872,1.17591e-08,0.0199
0.2945,5.89845e-09,0.024
0.2972,2.21072e-09,0.0377
0.2985,1.10161e-09,0.0742
0.302,2.87469e-09,0.0351
0.3337,2.45521e-08,0.0128
0.3688,2.40382e-08,0.0123
0.3877,1.2804e-08,0.0175
0.4076,1.13996e-08,0.0182
0.4505,1.58586e-08,0.0163
0.4979,3.11879e-08,0.0111
0.5234,2.01835e-08,0.0132
0.5502,2.07965e-08,0.013
0.5784,2.30378e-08,0.014
0.6081,2.39048e-08,0.0124
0.6393,2.57337e-08,0.0125
0.6721,2.64428e-08,0.0118
0.7065,2.83464e-08,0.0113
0.7427,3.09079e-08,0.0109
0.7808,3.31465e-08,0.0101
0.8209,3.61229e-08,0.0093
0.8629,3.73919e-08,0.0093
0.9072,3.76719e-08,0.0092
0.9617,4.06918e-08,0.0083
1.003,2.45155e-08,0.0109
1.108,4.4504e-08,0.0083
1.165,1.31288e-08,0.0163
1.225,8.67013e-09,0.021
1.287,5.31369e-09,0.0269
1.353,6.57694e-09,0.0232
1.423,9.94101e-09,0.0209
1.496,1.20971e-08,0.018
1.572,1.38367e-08,0.0168
1.653,1.5725e-08,0.033
1.738,1.51282e-08,0.0149
1.827,1.31761e-08,0.017
1.921,1.58143e-08,0.0188
2.019,1.66204e-08,0.0144
2.122,1.72957e-08,0.0134
2.231,1.81097e-08,0.0134
2.307,1.23548e-08,0.0171
2.346,5.34328e-09,0.0239
2.365,2.33733e-09,0.0384
2.385,2.03474e-09,0.0378
2.466,7.13318e-09,0.0221
2.592,1.13588e-08,0.0174
2.725,1.42937e-08,0.0153
2.865,1.51731e-08,0.0153
3.012,1.58007e-08,0.0144
3.166,1.84256e-08,0.0129
3.329,2.12826e-08,0.0115
3.679,3.99747e-08,0.0088
4.066,3.95963e-08,0.0083
4.493,3.64256e-08,0.0082
4.724,9.40637e-09,0.0197
4.966,7.74329e-09,0.0193
5.22,7.46651e-09,0.0199
5.488,7.82616e-09,0.0185
5.77,8.62812e-09,0.0168
6.065,7.92723e-09,0.0192
6.376,8.55213e-09,0.0169
6.592,6.63013e-09,0.0245
6.703,3.24618e-09,0.0267
7.047,1.0205e-08,0.0153
7.408,1.0375e-08,0.0148
7.788,9.57489e-09,0.0156
8.187,8.51977e-09,0.0169
8.607,1.02637e-08,0.0146
9.048,8.77818e-09,0.016
9.512,8.85547e-09,0.0153
10.0,8.65674e-09,0.0155
10.51,1.00949e-08,0.0134
11.05,9.06617e-09,0.0136
11.62,9.63375e-09,0.0137
12.21,8.22052e-09,0.0138
12.52,3.56554e-09,0.0202
12.84,3.22441e-09,0.021
13.5,4.20021e-09,0.018
13.84,8.64211e-10,0.0394
14.19,1.53048e-10,0.0941
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
