Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,3.01177e-13,0.5775
2.26e-05,7.48205e-13,0.5109
2.902e-05,4.02524e-13,0.5788
3.727e-05,5.84311e-13,0.631
4.785e-05,4.3474e-13,0.6549
6.144e-05,1.1114e-13,1.0
7.889e-05,3.13705e-13,1.0
0.0001013,2.34396e-12,0.8977
0.0001301,3.7006e-13,0.7978
0.000167,6.17905e-13,0.613
0.0002145,1.77605e-12,0.523
0.0002754,4.27362e-13,0.5804
0.0003536,9.6986e-13,0.4786
0.000454,2.72378e-12,0.3504
0.0005829,7.5794e-12,0.2085
0.0007485,1.00148e-11,0.1437
0.0009611,9.87946e-12,0.6058
0.001234,9.14031e-12,0.1506
0.001585,2.5732e-11,0.0911
0.002035,5.22965e-11,0.0746
0.002249,2.3776e-11,0.1053
0.002485,4.82634e-11,0.078
0.002613,1.65424e-11,0.1069
0.002747,2.00133e-11,0.121
0.003035,5.38968e-11,0.0724
0.003355,5.85183e-11,0.0679
0.003707,6.01436e-11,0.0813
0.004307,1.12793e-10,0.0566
0.005531,1.2066e-10,0.0528
0.007102,1.7125e-10,0.0399
0.009119,3.72365e-10,0.0276
0.01059,4.21439e-10,0.0382
0.01171,3.76993e-10,0.0261
0.01503,1.66466e-09,0.0144
0.0193,3.58139e-09,0.0104
0.02187,2.84495e-09,0.0109
0.02358,2.16859e-09,0.0124
0.02418,7.78044e-10,0.0195
0.02479,8.66699e-10,0.0197
0.02606,1.87535e-09,0.0143
0.027,1.46768e-09,0.0148
0.0285,2.47069e-09,0.0117
0.03183,6.0043e-09,0.0075
0.03431,5.00296e-09,0.008
0.04087,1.53214e-08,0.0047
0.04631,1.446e-08,0.0054
0.05248,1.74393e-08,0.0045
0.05656,1.19769e-08,0.0058
0.06738,3.17441e-08,0.0035
0.07202,1.33054e-08,0.0052
0.0795,2.05127e-08,0.0043
0.0825,7.74919e-09,0.0064
0.08652,1.02611e-08,0.0061
0.09804,2.76366e-08,0.0036
0.1111,2.94246e-08,0.0036
0.1168,1.23748e-08,0.0057
0.1228,1.27179e-08,0.0055
0.1291,1.28764e-08,0.0053
0.1357,1.31751e-08,0.0058
0.1426,1.34799e-08,0.0055
0.15,1.39592e-08,0.0054
0.1576,1.38234e-08,0.0052
0.1657,1.40658e-08,0.0052
0.1742,1.40771e-08,0.0053
0.1832,1.41105e-08,0.0053
0.1925,1.39479e-08,0.0057
0.2024,1.38242e-08,0.0053
0.2128,1.38219e-08,0.0056
0.2237,1.36087e-08,0.0083
0.2352,1.32337e-08,0.0057
0.2472,1.23564e-08,0.0058
0.2732,2.22159e-08,0.0045
0.2872,9.23857e-09,0.007
0.2945,4.30507e-09,0.0116
0.2972,1.52121e-09,0.0209
0.2985,7.14298e-10,0.0272
0.302,1.8697e-09,0.0155
0.3337,1.52071e-08,0.006
0.3688,1.35566e-08,0.0063
0.3877,6.24298e-09,0.0096
0.4076,6.07505e-09,0.0107
0.4505,1.13962e-08,0.0072
0.4979,1.0279e-08,0.0077
0.5234,4.65687e-09,0.0109
0.5502,4.42541e-09,0.0118
0.5784,3.95252e-09,0.0121
0.6081,3.76969e-09,0.0135
0.6393,3.43052e-09,0.013
0.6721,3.245e-09,0.015
0.7065,3.06565e-09,0.0145
0.7427,2.84017e-09,0.0141
0.7808,2.65039e-09,0.0151
0.8209,2.48639e-09,0.0174
0.8629,2.24166e-09,0.0154
0.9072,2.15162e-09,0.0177
0.9617,2.25575e-09,0.016
1.003,1.55219e-09,0.0203
1.108,3.09527e-09,0.0138
1.165,1.33074e-09,0.0206
1.225,1.21803e-09,0.0212
1.287,1.10304e-09,0.026
1.353,1.02152e-09,0.0264
1.423,9.50802e-10,0.0281
1.496,7.87975e-10,0.0274
1.572,7.09282e-10,0.028
1.653,6.82198e-10,0.0341
1.738,5.59276e-10,0.0327
1.827,4.66134e-10,0.0342
1.921,3.96759e-10,0.0363
2.019,3.5767e-10,0.0396
2.122,3.00459e-10,0.0449
2.231,2.67785e-10,0.0444
2.307,1.88643e-10,0.0631
2.346,9.62003e-11,0.0744
2.365,3.88939e-11,0.1163
2.385,3.94085e-11,0.1259
2.466,1.44848e-10,0.062
2.592,1.92507e-10,0.0604
2.725,1.74494e-10,0.0539
2.865,1.83792e-10,0.093
3.012,1.70853e-10,0.0598
3.166,1.60219e-10,0.0734
3.329,1.34208e-10,0.0642
3.679,2.55057e-10,0.0528
4.066,2.33422e-10,0.0512
4.493,2.16954e-10,0.0567
4.724,1.00846e-10,0.0765
4.966,1.18986e-10,0.0959
5.22,1.17505e-10,0.0716
5.488,1.27473e-10,0.0601
5.77,1.34582e-10,0.0638
6.065,1.60333e-10,0.0578
6.376,1.7238e-10,0.0531
6.592,1.24572e-10,0.0603
6.703,5.5996e-11,0.0873
7.047,2.06364e-10,0.0477
7.408,2.1262e-10,0.0447
7.788,2.16297e-10,0.0474
8.187,2.13378e-10,0.0452
8.607,2.13501e-10,0.0466
9.048,2.06633e-10,0.0462
9.512,2.25515e-10,0.0477
10.0,2.80386e-10,0.0377
10.51,4.05676e-10,0.0337
11.05,4.16251e-10,0.0301
11.62,4.79936e-10,0.0361
12.21,4.97334e-10,0.0291
12.52,2.54722e-10,0.0386
12.84,2.72133e-10,0.0369
13.5,5.57045e-10,0.0274
13.84,2.6733e-10,0.0366
14.19,7.39552e-11,0.0666
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
