Energy,Value,Error
0.413,1.1931670705068202e-05,0.0032
0.433,1.5410649999999988e-05,0.0048
0.453,1.4903049999999986e-05,0.006
0.473,1.512645000000003e-05,0.0045
0.495,1.5124409090909078e-05,0.005
0.517,0.00010473045454545445,0.003
0.538,1.2480619047619038e-05,0.0055
0.562,1.1404499999999989e-05,0.0045
0.585,1.105443478260874e-05,0.0093
0.609,1.1962291666666655e-05,0.0058
0.632,1.126499999999999e-05,0.005
0.657,1.015839999999999e-05,0.0081
0.683,1.019399999999999e-05,0.0071
0.709,9.502153846153878e-06,0.0066
0.735,1.1037653846153836e-05,0.0053
0.761,1.1287230769230758e-05,0.0067
0.789,1.071132142857142e-05,0.0047
0.817,1.3196607142857183e-05,0.0045
0.874,1.1318438596491219e-05,0.0053
0.903,1.423562068965516e-05,0.0066
0.933,1.428413333333332e-05,0.0041
0.964,1.0399290322580673e-05,0.009
0.993,9.22289655172413e-06,0.0078
1.03,1.0675864864864856e-05,0.0047
1.06,9.822766666666658e-06,0.0077
1.09,9.247599999999993e-06,0.0069
1.12,9.436333333333325e-06,0.0068
1.16,9.627300000000046e-06,0.0086
1.19,8.68456666666666e-06,0.0077
1.23,8.654699999999992e-06,0.0134
1.26,8.473333333333326e-06,0.0062
1.3,8.526599999999992e-06,0.0056
1.34,9.196199999999992e-06,0.0259
1.37,8.30816666666666e-06,0.0083
1.41,8.360750000000038e-06,0.0057
1.45,8.650274999999992e-06,0.0083
1.49,8.392424999999993e-06,0.0094
1.53,7.995049999999992e-06,0.0071
1.57,7.835649999999993e-06,0.0098
1.61,8.026024999999992e-06,0.0071
1.65,7.898375000000036e-06,0.0138
1.69,7.829924999999993e-06,0.0057
1.73,8.013474999999994e-06,0.0065
1.78,7.966039999999994e-06,0.0098
1.82,7.832149999999994e-06,0.0066
1.86,7.730274999999993e-06,0.0074
1.91,7.667080000000027e-06,0.0057
1.96,7.478959999999993e-06,0.0067
2.0,7.3643999999999925e-06,0.009
2.05,7.132400000000026e-06,0.0055
2.1,6.989279999999963e-06,0.0071
2.14,6.978949999999994e-06,0.0068
2.19,6.755200000000024e-06,0.0071
2.24,9.020299999999952e-06,0.0057
2.29,6.4175200000000225e-06,0.0071
2.34,6.404400000000023e-06,0.0078
2.4,6.148266666666662e-06,0.0057
2.45,6.069019999999968e-06,0.0089
2.5,6.473620000000024e-06,0.0842
2.56,5.733033333333328e-06,0.0064
2.61,5.60658000000002e-06,0.0074
2.66,5.379599999999971e-06,0.0082
2.72,5.289083333333328e-06,0.0063
2.78,5.135100000000034e-06,0.0091
2.83,4.9100999999999735e-06,0.0073
2.89,4.774516666666663e-06,0.0062
2.95,4.570983333333329e-06,0.0082
3.01,4.444866666666696e-06,0.0076
3.07,4.539799999999996e-06,0.0533
3.13,4.274833333333329e-06,0.0086
3.19,4.124249999999996e-06,0.0225
3.25,3.828916666666663e-06,0.007
3.32,3.7335285714285804e-06,0.0064
3.38,3.5566499999999967e-06,0.0113
3.45,3.399257142857129e-06,0.0078
3.51,3.2575666666666877e-06,0.0083
3.58,3.0725142857142735e-06,0.007
3.65,2.9927142857142925e-06,0.0127
3.71,2.715049999999998e-06,0.0082
3.78,2.6875857142857207e-06,0.0304
3.85,2.430242857142847e-06,0.0071
3.92,2.3273000000000052e-06,0.0099
3.99,2.1921714285714195e-06,0.0085
4.06,2.0545142857143033e-06,0.0085
4.14,1.8988499999999986e-06,0.0086
4.21,1.7758571428571357e-06,0.0095
4.29,1.6420374999999987e-06,0.0096
4.36,1.7677714285714213e-06,0.0091
4.44,2.1224624999999982e-06,0.0069
4.51,1.4896571428571557e-06,0.0114
4.59,1.2821874999999989e-06,0.0092
4.67,1.9289874999999984e-06,0.0085
4.75,1.3844874999999987e-06,0.0127
4.83,7.726049999999993e-07,0.012
4.91,7.074899999999994e-07,0.0145
5.0,6.290577777777788e-07,0.0152
5.08,5.586212499999995e-07,0.0222
5.17,5.174088888888897e-07,0.0154
5.25,4.654862499999996e-07,0.0313
5.34,1.227900000000002e-06,0.0916
5.43,3.199588888888894e-07,0.0205
5.51,4.6803749999999956e-07,0.0142
5.6,1.7921888888888916e-07,0.0237
5.69,3.171366666666641e-07,0.0578
5.79,4.262120000000015e-07,0.0149
5.88,2.875433333333338e-07,0.0189
5.97,9.035444444444458e-08,0.0481
6.07,3.206879999999983e-07,0.0206
6.16,3.3306111111111166e-07,0.0144
6.26,1.8089700000000064e-07,0.0237
6.36,1.334419999999993e-07,0.0638
6.46,1.0961300000000039e-07,0.0283
6.55,1.2188666666666685e-07,0.0263
6.66,3.297754545454536e-08,0.0616
6.76,1.5762100000000057e-08,0.0685
6.86,3.955319999999979e-08,0.0377
6.97,8.811454545454592e-09,0.1017
7.07,1.7883799999999903e-08,0.1335
7.18,2.1859545454545566e-08,0.0815
7.28,4.4441399999999764e-08,0.0421
7.39,1.97340000000001e-07,0.0183
7.5,9.820909090909062e-08,0.0253
7.62,4.3131749999999965e-08,0.0575
7.73,1.7935727272727223e-08,0.0709
7.84,3.1470636363636526e-08,0.0383
7.96,2.1338833333333316e-08,0.0925
8.07,7.178890909090888e-09,0.1326
8.19,1.4902166666666764e-08,0.0776
8.31,6.085533333333283e-09,0.1069
8.43,5.718616666666703e-09,0.3941
8.55,5.1390583333332905e-08,0.0268
8.67,2.778091666666685e-08,0.076
8.79,1.2623833333333416e-08,0.0898
8.92,7.005861538461496e-09,0.1073
9.04,1.0565916666666735e-07,0.0181
9.17,4.5983615384615106e-08,0.0466
9.3,9.954846153846094e-09,0.0839
9.43,3.0834153846154083e-09,0.1378
