Energy,Value,Error,Angle
0.011927,3.347955772152109e-10,0.047,66.8 deg
0.0125385,1.1419988834391406e-08,0.124,66.8 deg
0.0131815,9.785560576708132e-09,0.106,66.8 deg
0.013857,1.4638091034642265e-08,0.1041,66.8 deg
0.0145675,1.8525213769502355e-08,0.0964,66.8 deg
0.0153145,1.777910532842189e-08,0.0991,66.8 deg
0.0160995,1.8023221024421564e-08,0.089,66.8 deg
0.016925,1.8717711130314057e-08,0.1034,66.8 deg
0.017793,2.0374979144556746e-08,0.0918,66.8 deg
0.0187055,2.1238700205708237e-08,0.0876,66.8 deg
0.0196645,2.512991609718252e-08,0.0807,66.8 deg
0.0206725,2.6588071268993943e-08,0.0744,66.8 deg
0.021732,3.000229240248842e-08,0.0725,66.8 deg
0.0228465,3.521967398451408e-08,0.0732,66.8 deg
0.024018,3.972913722843036e-08,0.0652,66.8 deg
0.025249,4.4584557199489255e-08,0.0616,66.8 deg
0.0265435,4.1299166469338526e-08,0.0609,66.8 deg
0.0279045,4.747488549596483e-08,0.0582,66.8 deg
0.0293355,5.4918754300410007e-08,0.0556,66.8 deg
0.0308395,5.785817318690363e-08,0.0536,66.8 deg
0.0324205,7.06616273371371e-08,0.0484,66.8 deg
0.034083,7.56930108307926e-08,0.0459,66.8 deg
0.0358305,8.385892576343869e-08,0.0436,66.8 deg
0.0376675,9.463206791076081e-08,0.042,66.8 deg
0.039599,1.23968198877692e-07,0.0368,66.8 deg
0.0416295,1.0543266631805275e-07,0.0396,66.8 deg
0.0437635,7.117688931850424e-08,0.0493,66.8 deg
0.046007,9.856616698832728e-08,0.0404,66.8 deg
0.048366,1.0801537691273174e-07,0.0409,66.8 deg
0.050846,1.2220872106601375e-07,0.0368,66.8 deg
0.053453,1.2871703675069528e-07,0.0351,66.8 deg
0.0561935,1.4959380023252473e-07,0.0328,66.8 deg
0.0590745,1.6117338506955864e-07,0.0318,66.8 deg
0.0621035,1.901646325675868e-07,0.0303,66.8 deg
0.0652875,2.188236776359359e-07,0.0277,66.8 deg
0.0686345,2.1885106689489818e-07,0.0268,66.8 deg
0.0721535,2.3221781563070278e-07,0.0274,66.8 deg
0.075853,2.669881897013352e-07,0.0256,66.8 deg
0.079742,1.3530085575119382e-07,0.0372,66.8 deg
0.0838305,2.417276797514884e-07,0.0264,66.8 deg
0.088129,2.727561040477336e-07,0.0246,66.8 deg
0.0926475,2.979500995331279e-07,0.0235,66.8 deg
0.0973975,3.3481154968916726e-07,0.0225,66.8 deg
0.102391,3.6648864275979257e-07,0.0217,66.8 deg
0.10764,3.8911652490595666e-07,0.0207,66.8 deg
0.11316,4.1091036155796475e-07,0.0202,66.8 deg
0.11896,3.5557583226472557e-07,0.022,66.8 deg
0.12506,4.4437183151379163e-07,0.0192,66.8 deg
0.131475,4.5623724269985723e-07,0.0192,66.8 deg
0.138215,5.485188465913606e-07,0.0175,66.8 deg
0.1453,5.859056954895336e-07,0.017,66.8 deg
0.15275,5.5093965966712e-07,0.0175,66.8 deg
0.16058,6.518587691300695e-07,0.0162,66.8 deg
0.16881,7.452268194291366e-07,0.015,66.8 deg
0.17747,7.603798609288375e-07,0.0149,66.8 deg
0.18657,8.349817837285077e-07,0.0144,66.8 deg
0.196135,9.192187813228204e-07,0.0136,66.8 deg
0.20619,1.0552841421865306e-06,0.0127,66.8 deg
