Energy,Value,Error
0.01 - 0.03,0.0163804853745,0.0005713178480665076
0.03 - 0.06,0.011753986842,0.0006685151855952544
0.06 - 0.1,0.026430291225,0.00046873604937576127
0.1 - 0.15,0.048644739,0.00035429332040429185
0.15 - 0.2,0.04314503115,0.0003781512802277725
0.2 - 0.4,0.2136572568,0.00018372366796942622
0.4 - 0.5,0.0777152025,0.0003236590823855165
0.5 - 0.7,0.1742177385,0.00022007914894169568
0.7 - 1,0.138685365,0.000257637760454067
1 - 1.2,0.054624843,0.0003750681416229025
1.2 - 1.5,0.0541725795,0.0003933046303389718
1.5 - 2,0.055496259,0.0004248264249959638
2 - 2.5,0.021233218499999998,0.0007466741191523053
2.5 - 3,0.01720788615,0.000884282928371473
3 - 4,0.01797430635,0.0009602521206274574
4 - 7,0.016623443655,0.0012180000176754205
7 - 10,0.00963956565,0.001688846305711801
10 - 20,0.11852376685227001,0.0005076967110069816
