Energy,Value,Error
0.3,0.3268846667756282,0.0012
0.4,0.3931159999999999,0.0018
0.5,0.32018700000000005,0.002
0.6,0.36476900000000007,0.0019
0.7,0.20931000000000005,0.0024
0.8,0.2331579999999998,0.0023
0.9,0.19188400000000005,0.0025
1.0,0.22656700000000005,0.0023
1.1,0.13450799999999988,0.003
1.2,0.12268400000000017,0.0032
1.3,0.13767299999999988,0.003
1.4,0.17773600000000025,0.0027
1.5,0.4495799999999996,0.0017
1.6,0.07750759999999993,0.004
1.7,0.054280400000000076,0.0048
1.8,0.06432139999999995,0.0044
1.9,0.04849100000000007,0.0051
2.0,0.048648999999999956,0.0051
2.1,0.05117359999999995,0.0049
2.2,0.04427429999999997,0.0053
2.3,0.043504300000000155,0.0054
2.4,0.04391869999999996,0.0053
2.5,0.04231709999999996,0.0054
2.6,0.042079499999999964,0.0055
2.7,0.04097829999999997,0.0055
2.8,0.03923320000000014,0.0056
2.9,0.03828129999999996,0.0057
3.0,0.03715919999999997,0.0058
3.1,0.035861299999999964,0.0059
3.2,0.03733769999999997,0.0058
3.3,0.035389400000000126,0.006
3.4,0.035314299999999965,0.006
3.5,0.03494869999999997,0.006
3.6,0.034074999999999966,0.0061
3.7,0.03271779999999997,0.0062
3.8,0.03127490000000011,0.0063
3.9,0.029964399999999974,0.0065
4.0,0.028617299999999974,0.0066
4.1,0.027347300000000095,0.0068
4.2,0.026413399999999858,0.0069
4.3,0.02561130000000009,0.007
4.4,0.02544589999999986,0.007
4.5,0.02436020000000009,0.0072
4.6,0.02258790000000008,0.0075
4.7,0.022094999999999882,0.0076
4.8,0.021642700000000074,0.0076
4.9,0.02093119999999989,0.0078
5.0,0.02046890000000007,0.0078
5.5,0.01782226,0.0038
6.0,0.01426146,0.0042
6.5,0.01109394,0.0048
7.0,0.00862702,0.0054
7.5,0.00655604,0.0062
8.0,0.00494584,0.0072
8.5,0.00384602,0.0082
9.0,0.0028036,0.0096
9.5,0.00203478,0.0113
10.0,0.001354394,0.0138
10.5,0.000854496,0.0174
