Energy,Value,Error
1e-07,1.98768e-06,0.0019
4.14e-07,3.51867e-07,0.0051
5.316e-07,1.69278e-08,0.0268
6.826e-07,1.65864e-08,0.0265
8.764e-07,1.6662e-08,0.0266
1.125e-06,1.6937e-08,0.0242
1.445e-06,1.6953e-08,0.0304
1.855e-06,1.78841e-08,0.033
2.382e-06,1.81297e-08,0.025
3.059e-06,1.71422e-08,0.0254
3.928e-06,1.6756e-08,0.024
5.043e-06,1.77578e-08,0.0243
6.476e-06,1.84482e-08,0.0257
8.315e-06,1.75733e-08,0.0262
1.068e-05,1.78291e-08,0.028
1.371e-05,1.80399e-08,0.0296
1.76e-05,1.79545e-08,0.0228
2.26e-05,1.86648e-08,0.0409
2.902e-05,1.71509e-08,0.0235
3.727e-05,1.79973e-08,0.027
4.785e-05,1.75971e-08,0.0229
6.144e-05,1.85131e-08,0.0233
7.889e-05,1.97188e-08,0.0276
0.0001013,1.91747e-08,0.0268
0.0001301,1.83788e-08,0.0235
0.000167,1.92313e-08,0.0258
0.0002145,1.99076e-08,0.0242
0.0002754,1.96113e-08,0.0283
0.0003536,1.96968e-08,0.023
0.000454,1.99538e-08,0.0225
0.0005829,2.01917e-08,0.0254
0.0007485,2.08768e-08,0.025
0.0009611,2.13982e-08,0.0315
0.001234,2.19764e-08,0.0251
0.001585,2.21582e-08,0.0226
0.002035,2.14535e-08,0.0218
0.002249,8.58836e-09,0.0351
0.002485,8.54338e-09,0.0317
0.002613,4.2476e-09,0.0463
0.002747,4.60067e-09,0.0511
0.003035,9.31628e-09,0.0377
0.003355,9.13166e-09,0.038
0.003707,9.28407e-09,0.0409
0.004307,1.50284e-08,0.0337
0.005531,2.47503e-08,0.0229
0.007102,2.49907e-08,0.0223
0.009119,2.54849e-08,0.0211
0.01059,1.56511e-08,0.0263
0.01171,1.05651e-08,0.0339
0.01503,2.69905e-08,0.0235
0.0193,2.97046e-08,0.0195
0.02187,1.48605e-08,0.0275
0.02358,9.19119e-09,0.037
0.02418,2.87193e-09,0.0608
0.02479,3.28628e-09,0.0575
0.02606,6.46529e-09,0.0449
0.027,4.59729e-09,0.0629
0.0285,7.12358e-09,0.046
0.03183,1.54865e-08,0.0744
0.03431,9.83754e-09,0.0357
0.04087,2.44169e-08,0.0215
0.04631,1.88811e-08,0.0293
0.05248,1.87381e-08,0.0232
0.05656,1.14238e-08,0.0302
0.06738,2.89271e-08,0.0189
0.07202,1.1044e-08,0.0375
0.0795,1.72468e-08,0.0257
0.0825,7.04269e-09,0.0386
0.08652,8.9806e-09,0.0328
0.09804,2.46495e-08,0.0212
0.1111,2.51331e-08,0.0238
0.1168,1.07926e-08,0.0311
0.1228,1.16433e-08,0.0316
0.1291,1.1258e-08,0.0314
0.1357,1.19022e-08,0.033
0.1426,1.0983e-08,0.0293
0.15,1.21819e-08,0.0307
0.1576,1.27769e-08,0.0298
0.1657,1.36371e-08,0.0319
0.1742,1.41775e-08,0.0291
0.1832,1.35859e-08,0.032
0.1925,1.40375e-08,0.0281
0.2024,1.49552e-08,0.0288
0.2128,1.45678e-08,0.0255
0.2237,1.58542e-08,0.0311
0.2352,1.61826e-08,0.0262
0.2472,1.59975e-08,0.0279
0.2732,3.52416e-08,0.0298
0.2872,1.843e-08,0.0258
0.2945,9.41045e-09,0.0357
0.2972,3.4928e-09,0.0602
0.2985,1.56519e-09,0.0808
0.302,4.20118e-09,0.0475
0.3337,3.94152e-08,0.0177
0.3688,4.19983e-08,0.0169
0.3877,2.12097e-08,0.0207
0.4076,2.30538e-08,0.0244
0.4505,4.83461e-08,0.0146
0.4979,5.21838e-08,0.0142
0.5234,2.86863e-08,0.0231
0.5502,2.95132e-08,0.02
0.5784,2.84957e-08,0.0191
0.6081,2.94557e-08,0.0173
0.6393,3.07655e-08,0.0174
0.6721,3.237e-08,0.0168
0.7065,3.27474e-08,0.0171
0.7427,3.39703e-08,0.0162
0.7808,3.6769e-08,0.0165
0.8209,3.70961e-08,0.0152
0.8629,3.95038e-08,0.0156
0.9072,3.93152e-08,0.0186
0.9617,4.64063e-08,0.0135
1.003,3.49037e-08,0.0156
1.108,8.80294e-08,0.0099
1.165,4.64187e-08,0.0137
1.225,4.7844e-08,0.0144
1.287,4.829e-08,0.0128
1.353,5.10439e-08,0.0126
1.423,5.22248e-08,0.0127
1.496,5.34228e-08,0.0118
1.572,5.43623e-08,0.0117
1.653,5.83266e-08,0.0119
1.738,5.94089e-08,0.0107
1.827,5.94401e-08,0.011
1.921,6.14801e-08,0.0105
2.019,6.52348e-08,0.0106
2.122,6.54121e-08,0.0101
2.231,6.92922e-08,0.01
2.307,4.60785e-08,0.0117
2.346,2.37915e-08,0.0158
2.365,1.14911e-08,0.0229
2.385,1.17842e-08,0.0232
2.466,4.76389e-08,0.0113
2.592,7.3482e-08,0.0089
2.725,7.56121e-08,0.0088
2.865,7.84768e-08,0.0085
3.012,8.01472e-08,0.0083
3.166,8.20866e-08,0.0081
3.329,8.56569e-08,0.0079
3.679,1.77341e-07,0.0054
4.066,1.87939e-07,0.0051
4.493,2.00439e-07,0.0049
4.724,1.05604e-07,0.0066
4.966,1.0903e-07,0.0065
5.22,1.1147e-07,0.0064
5.488,1.17108e-07,0.0062
5.77,1.19044e-07,0.0061
6.065,1.23807e-07,0.0059
6.376,1.27702e-07,0.0058
6.592,8.73507e-08,0.007
6.703,4.51264e-08,0.0097
7.047,1.37667e-07,0.0055
7.408,1.41152e-07,0.0054
7.788,1.48156e-07,0.0053
8.187,1.52968e-07,0.0052
8.607,1.58789e-07,0.0051
9.048,1.65183e-07,0.0049
9.512,1.72664e-07,0.0048
10.0,1.78303e-07,0.0047
10.51,2.79273e-07,0.0037
11.05,2.9606e-07,0.0036
11.62,3.11737e-07,0.0035
12.21,3.19286e-07,0.0035
12.52,1.67163e-07,0.0048
12.84,1.72889e-07,0.0047
13.5,3.56916e-07,0.0033
13.84,1.81428e-07,0.0046
14.19,8.58376e-08,0.0067
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
