Energy,Value,Error
1e-07,5.71684e-11,0.055
4.14e-07,4.58411e-10,0.0201
5.316e-07,2.05065e-10,0.0304
6.826e-07,2.50328e-10,0.0267
8.764e-07,3.5414e-10,0.0234
1.125e-06,4.67677e-10,0.0222
1.445e-06,6.29036e-10,0.0199
1.855e-06,7.8139e-10,0.0186
2.382e-06,9.8122e-10,0.0153
3.059e-06,1.25989e-09,0.0139
3.928e-06,1.65044e-09,0.0121
5.043e-06,2.11884e-09,0.0116
6.476e-06,2.70019e-09,0.01
8.315e-06,3.38e-09,0.0089
1.068e-05,4.28387e-09,0.0078
1.371e-05,5.39146e-09,0.008
1.76e-05,6.68671e-09,0.0063
2.26e-05,8.52812e-09,0.0057
2.902e-05,1.07784e-08,0.0052
3.727e-05,1.34777e-08,0.0046
4.785e-05,1.68828e-08,0.0042
6.144e-05,2.11615e-08,0.0036
7.889e-05,2.65811e-08,0.0034
0.0001013,3.31471e-08,0.0031
0.0001301,4.11921e-08,0.0026
0.000167,5.11952e-08,0.0024
0.0002145,6.4008e-08,0.0022
0.0002754,7.91729e-08,0.002
0.0003536,9.80803e-08,0.0018
0.000454,1.21516e-07,0.0015
0.0005829,1.50224e-07,0.0014
0.0007485,1.86302e-07,0.0013
0.0009611,2.3081e-07,0.0011
0.001234,2.85252e-07,0.001
0.001585,3.54634e-07,0.0009
0.002035,4.37955e-07,0.0008
0.002249,2.03401e-07,0.0012
0.002485,2.20751e-07,0.0011
0.002613,1.18542e-07,0.0016
0.002747,1.23289e-07,0.0016
0.003035,2.62241e-07,0.0011
0.003355,2.86117e-07,0.001
0.003707,3.10143e-07,0.001
0.004307,5.18123e-07,0.0008
0.005531,1.01699e-06,0.0005
0.007102,1.22672e-06,0.0005
0.009119,1.42662e-06,0.0004
0.01059,9.12852e-07,0.0005
0.01171,6.12268e-07,0.0007
0.01503,1.28542e-06,0.0005
0.0193,4.01767e-07,0.0009
0.02187,2.15017e-08,0.0049
0.02358,7.01948e-08,0.0024
0.02418,4.13037e-08,0.0029
0.02479,5.12511e-08,0.0027
0.02606,1.34705e-07,0.0016
0.027,1.21116e-07,0.0016
0.0285,2.26213e-07,0.0012
0.03183,6.07838e-07,0.0007
0.03431,5.22265e-07,0.0007
0.04087,1.58272e-06,0.0004
0.04631,1.51666e-06,0.0004
0.05248,1.96937e-06,0.0004
0.05656,1.50022e-06,0.0004
0.06738,3.75452e-06,0.0002
0.07202,2.2092e-07,0.0011
0.0795,7.43447e-08,0.0024
0.0825,5.49145e-08,0.0027
0.08652,1.25552e-07,0.0017
0.09804,5.78948e-07,0.0007
0.1111,6.3187e-07,0.0007
0.1168,3.60738e-07,0.0009
0.1228,4.16182e-07,0.0008
0.1291,4.59165e-07,0.0008
0.1357,4.97611e-07,0.0008
0.1426,5.32088e-07,0.0007
0.15,5.81319e-07,0.0007
0.1576,6.03941e-07,0.0007
0.1657,6.45676e-07,0.0006
0.1742,6.75924e-07,0.0006
0.1832,7.16556e-07,0.0006
0.1925,7.46725e-07,0.0006
0.2024,8.03008e-07,0.0006
0.2128,8.07787e-07,0.0005
0.2237,6.20737e-07,0.0006
0.2352,3.02312e-07,0.001
0.2472,3.02461e-07,0.001
0.2732,6.13692e-07,0.0007
0.2872,3.08531e-07,0.001
0.2945,1.55625e-07,0.0014
0.2972,5.68922e-08,0.0023
0.2985,2.69269e-08,0.0032
0.302,7.23964e-08,0.002
0.3337,6.21361e-07,0.0007
0.3688,6.23652e-07,0.0007
0.3877,3.11292e-07,0.001
0.4076,3.11231e-07,0.001
0.4505,6.18403e-07,0.0007
0.4979,6.10336e-07,0.0007
0.5234,3.00443e-07,0.001
0.5502,2.9642e-07,0.001
0.5784,2.92998e-07,0.001
0.6081,2.88797e-07,0.001
0.6393,2.83249e-07,0.001
0.6721,2.78498e-07,0.001
0.7065,2.71864e-07,0.001
0.7427,2.67232e-07,0.001
0.7808,2.62753e-07,0.001
0.8209,2.57639e-07,0.0014
0.8629,2.50866e-07,0.001
0.9072,2.46526e-07,0.001
0.9617,2.78978e-07,0.001
1.003,1.95599e-07,0.0012
1.108,4.47971e-07,0.0008
1.165,2.20532e-07,0.0011
1.225,2.16459e-07,0.0011
1.287,2.0895e-07,0.0011
1.353,2.0741e-07,0.0011
1.423,2.05229e-07,0.0011
1.496,1.98258e-07,0.0011
1.572,1.91078e-07,0.0011
1.653,1.87562e-07,0.0011
1.738,1.80831e-07,0.0012
1.827,1.73958e-07,0.0012
1.921,1.68903e-07,0.0012
2.019,1.62225e-07,0.0012
2.122,1.57617e-07,0.0012
2.231,1.54205e-07,0.0012
2.307,1.0093e-07,0.0015
2.346,4.98357e-08,0.0022
2.365,2.38877e-08,0.0031
2.385,2.47053e-08,0.0029
2.466,9.69247e-08,0.0015
2.592,1.4137e-07,0.0012
2.725,1.37526e-07,0.0012
2.865,1.33065e-07,0.0013
3.012,1.27929e-07,0.0013
3.166,1.22351e-07,0.0013
3.329,1.17991e-07,0.0013
3.679,2.19296e-07,0.0009
4.066,1.97341e-07,0.001
4.493,1.76204e-07,0.001
4.724,8.12976e-08,0.0015
4.966,7.66545e-08,0.0015
5.22,7.25141e-08,0.0015
5.488,6.87786e-08,0.0015
5.77,6.47188e-08,0.0015
6.065,5.97484e-08,0.0015
6.376,5.59309e-08,0.0016
6.592,3.6814e-08,0.0019
6.703,1.83384e-08,0.0027
7.047,5.49898e-08,0.0016
7.408,5.43906e-08,0.0016
7.788,5.38667e-08,0.0017
8.187,5.32051e-08,0.0016
8.607,5.28883e-08,0.0016
9.048,5.24223e-08,0.0015
9.512,5.47572e-08,0.0015
10.0,6.62792e-08,0.0014
10.51,1.13236e-07,0.001
11.05,1.19031e-07,0.001
11.62,1.24912e-07,0.001
12.21,1.29788e-07,0.001
12.52,6.7982e-08,0.0013
12.84,7.02016e-08,0.0013
13.5,1.40165e-07,0.0009
13.84,6.55684e-08,0.0013
14.19,1.98326e-08,0.0025
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
