Energy,Value,Error
0.01,0.0,0.0
0.02,0.0,0.0
0.05,4.353933333333333e-11,0.1776
0.1,1.392874e-10,0.0877
0.2,1.99366e-10,0.0508
0.3,1.6001600000000002e-10,0.0766
0.4,1.3394499999999994e-10,0.0589
0.6,3.0789500000000005e-10,0.0341
0.8,2.759024999999999e-11,0.1222
1.0,1.8426550000000007e-11,0.1127
1.22,1.4152500000000003e-11,0.1269
1.44,1.375777272727273e-11,0.1131
1.66,9.724363636363637e-12,0.134
2.0,8.409147058823528e-12,0.1067
2.5,7.33668e-12,0.1024
3.0,6.15154e-12,0.1058
4.0,4.71028e-12,0.0833
5.0,3.65818e-12,0.094
6.5,3.0421133333333335e-12,0.0879
8.0,2.45944e-12,0.0932
10.0,2.147665e-12,0.087
12.0,1.889595e-12,0.0916
14.0,1.45589e-12,0.1031
20.0,1.5287083333333334e-12,0.0581
