Energy,Value,Error
1e-07,1.4290445450543771e-12,0.0683
4.14e-07,4.606179631152521e-11,0.027
5.316e-07,1.2418380626499606e-10,0.0396
6.826e-07,1.7246378291843858e-10,0.0359
8.764e-07,2.241658975144206e-10,0.0289
1.125e-06,3.3224622120989354e-10,0.0234
1.445e-06,4.373731651986125e-10,0.0206
1.855e-06,5.646633511616317e-10,0.0181
2.382e-06,7.08233993353855e-10,0.0155
3.059e-06,9.26445048204924e-10,0.0148
3.928e-06,1.1956455756570996e-09,0.0124
5.043e-06,1.4984306730600958e-09,0.0108
6.476e-06,1.9359829497193185e-09,0.0096
8.315e-06,2.460640631426902e-09,0.0087
1.068e-05,3.1999380498889537e-09,0.0075
1.371e-05,4.081438010821859e-09,0.0069
1.76e-05,5.2039166537486946e-09,0.0059
2.26e-05,6.683516449448695e-09,0.0052
2.902e-05,8.505437631265574e-09,0.0047
3.727e-05,1.0938377646678108e-08,0.0041
4.785e-05,1.3956084696178778e-08,0.0037
6.144e-05,1.7955680314348293e-08,0.0033
7.889e-05,2.302612897041353e-08,0.0028
0.0001013,2.9366408835058486e-08,0.0025
0.0001301,3.762382639186584e-08,0.0023
0.000167,4.8127596036730687e-08,0.002
0.0002145,6.111197256771883e-08,0.0018
0.0002754,7.809900116755615e-08,0.0016
0.0003536,9.955399828415928e-08,0.0014
0.000454,1.2647297368379178e-07,0.0012
0.0005829,1.6130782054020102e-07,0.0011
0.0007485,2.044425656588438e-07,0.001
0.0009611,2.5979685760926727e-07,0.0008
0.001234,3.293492176563825e-07,0.0008
0.001585,4.16357263934588e-07,0.0007
0.002035,5.246659173293965e-07,0.0006
0.002249,6.15752473737248e-07,0.0009
0.002485,6.749607570502071e-07,0.0008
0.002613,7.231347019923566e-07,0.0011
0.002747,7.550966291839801e-07,0.0011
0.003035,8.093848259619664e-07,0.0008
0.003355,8.857860494394805e-07,0.0007
0.003707,9.673838216477993e-07,0.0007
0.004307,1.0824185224116627e-06,0.0005
0.005531,1.2922394134612247e-06,0.0004
0.007102,1.601965996179857e-06,0.0003
0.009119,1.974180602620592e-06,0.0003
0.01059,2.3160880996747772e-06,0.0004
0.01171,2.5571399836960404e-06,0.0004
0.01503,2.9324008866100472e-06,0.0002
0.0193,3.519459081680943e-06,0.0002
0.02187,3.994008873808218e-06,0.0003
0.02358,4.259550531137456e-06,0.0004
0.02418,4.4049118440146725e-06,0.0006
0.02479,4.479238842675062e-06,0.0006
0.02606,4.582553710866248e-06,0.0004
0.027,4.707538155371886e-06,0.0005
0.0285,4.843563139501883e-06,0.0004
0.03183,5.1001241073432194e-06,0.0003
0.03431,5.403557035441174e-06,0.0003
0.04087,5.804430992137798e-06,0.0002
0.04631,6.23661074345133e-06,0.0002
0.05248,6.591605949570073e-06,0.0002
0.05656,6.858980152003108e-06,0.0003
0.06738,7.1219477102081634e-06,0.0002
0.07202,7.37164093094541e-06,0.0003
0.0795,7.569679726502567e-06,0.0002
0.0825,7.744361545561727e-06,0.0004
0.08652,7.860911382599507e-06,0.0003
0.09804,8.119762755843988e-06,0.0002
0.1111,6.146144911599381e-06,0.0002
0.1168,5.975970708539717e-06,0.0004
0.1228,6.130920574228172e-06,0.0004
0.1291,6.276298804874084e-06,0.0004
0.1357,6.418024301069508e-06,0.0004
0.1426,6.5503434795921045e-06,0.0004
0.15,6.6645008188980985e-06,0.0004
0.1576,6.7608657320577e-06,0.0004
0.1657,6.845821583292541e-06,0.0004
0.1742,6.902929209142306e-06,0.0004
0.1832,6.970903571938536e-06,0.0004
0.1925,7.0091702476426345e-06,0.0004
0.2024,7.043898777619996e-06,0.0003
0.2128,7.055406821222076e-06,0.0003
0.2237,7.053674791111663e-06,0.0003
0.2352,7.045811916623637e-06,0.0003
0.2472,7.028263473094281e-06,0.0003
0.2732,6.976403362766451e-06,0.0002
0.2872,6.885582799743527e-06,0.0003
0.2945,6.830711819317861e-06,0.0005
0.2972,6.806891469647921e-06,0.0008
0.2985,6.7846227333133e-06,0.0012
0.302,6.7817042686551915e-06,0.0007
0.3337,6.62138517054402e-06,0.0002
0.3688,6.256862548905566e-06,0.0003
0.3877,5.779377711982993e-06,0.0004
0.4076,5.436159297158407e-06,0.0004
0.4505,4.873881737274529e-06,0.0003
0.4979,4.132748274784446e-06,0.0003
0.5234,3.5864004885848976e-06,0.0005
0.5502,3.2281011117650977e-06,0.0005
0.5784,2.8747101208491108e-06,0.0005
0.6081,2.531090626199053e-06,0.0006
0.6393,2.1979640357797007e-06,0.0006
0.6721,1.8702799744731296e-06,0.0007
0.7065,1.563478669533096e-06,0.0008
0.7427,1.2875004420944457e-06,0.0009
0.7808,1.0489209303574548e-06,0.001
0.8209,8.648031522533254e-07,0.0012
0.8629,7.279782073993957e-07,0.0013
0.9072,6.355549203995207e-07,0.0015
0.9617,5.772817979362644e-07,0.0015
1.003,5.462488335298712e-07,0.0018
1.108,5.520601058308846e-07,0.0012
1.165,5.970238072853481e-07,0.0016
1.225,6.529999739683259e-07,0.0015
1.287,7.268028780893074e-07,0.0014
1.353,8.206589652396231e-07,0.0014
1.423,9.336900677253701e-07,0.0012
1.496,1.0602935567640129e-06,0.0011
1.572,1.2002930683436716e-06,0.0011
1.653,1.3552958783487868e-06,0.001
1.738,1.5173500665026317e-06,0.0009
1.827,1.6890864396252282e-06,0.0009
1.921,1.8577172313698685e-06,0.0008
2.019,2.0286211888660532e-06,0.0008
2.122,2.194880249494216e-06,0.0007
2.231,2.3589126640326325e-06,0.0007
2.307,2.4939799698689853e-06,0.0008
2.346,2.5782862279451758e-06,0.0011
2.365,2.6128180094709213e-06,0.0016
2.385,2.6368756671895275e-06,0.0016
2.466,2.7060435121982695e-06,0.0008
2.592,2.8372318909657996e-06,0.0006
2.725,2.986831201871488e-06,0.0006
2.865,3.132639604482482e-06,0.0006
3.012,3.2804806933136355e-06,0.0006
3.166,3.424570207364045e-06,0.0005
3.329,3.5686315604138596e-06,0.0005
3.679,3.7917547792964728e-06,0.0004
4.066,4.105490668674793e-06,0.0003
4.493,4.442889397967629e-06,0.0003
4.724,4.718474803687069e-06,0.0004
4.966,4.9239184165723125e-06,0.0004
5.22,5.146191440965546e-06,0.0004
5.488,5.398201630283167e-06,0.0004
5.77,5.6821848774043105e-06,0.0004
6.065,6.011736860193995e-06,0.0004
6.376,6.391502003825899e-06,0.0004
6.592,6.723076027631087e-06,0.0004
6.703,6.961387702860994e-06,0.0006
7.047,7.2902153423199236e-06,0.0003
7.408,7.817448012961341e-06,0.0003
7.788,8.395039192624808e-06,0.0003
8.187,9.001421320002784e-06,0.0003
8.607,9.632229068972829e-06,0.0003
9.048,1.028121783861547e-05,0.0003
9.512,1.0922003728893816e-05,0.0002
10.0,1.154419792669543e-05,0.0002
10.51,1.378580943982159e-05,0.0002
11.05,1.3503756612891086e-05,0.0002
11.62,1.3009260831151964e-05,0.0002
12.21,1.2290738457302612e-05,0.0002
12.52,1.1586754206081301e-05,0.0003
12.84,1.1009420007390191e-05,0.0003
13.5,9.981189359537668e-06,0.0002
13.84,8.769737396158383e-06,0.0003
14.19,3.7293338069969947e-06,0.0005
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
