Energy,Value,Error
1e-07,4.3147e-10,0.0177
4.14e-07,2.74904e-09,0.0073
5.316e-07,1.05889e-09,0.0132
6.826e-07,1.33321e-09,0.0123
8.764e-07,1.67153e-09,0.0111
1.125e-06,2.09598e-09,0.0106
1.445e-06,2.56159e-09,0.01
1.855e-06,3.14394e-09,0.0091
2.382e-06,3.73791e-09,0.0082
3.059e-06,4.52749e-09,0.0073
3.928e-06,5.54142e-09,0.0071
5.043e-06,6.69591e-09,0.0064
6.476e-06,7.89641e-09,0.0058
8.315e-06,9.45081e-09,0.0053
1.068e-05,1.14144e-08,0.0051
1.371e-05,1.34413e-08,0.0045
1.76e-05,1.59145e-08,0.0043
2.26e-05,1.88236e-08,0.0055
2.902e-05,2.20918e-08,0.0036
3.727e-05,2.60105e-08,0.0034
4.785e-05,3.02564e-08,0.0031
6.144e-05,3.56506e-08,0.003
7.889e-05,4.18368e-08,0.0027
0.0001013,4.84169e-08,0.0026
0.0001301,5.62776e-08,0.0023
0.000167,6.52067e-08,0.0022
0.0002145,7.55142e-08,0.0021
0.0002754,8.65443e-08,0.0019
0.0003536,9.95641e-08,0.0018
0.000454,1.14348e-07,0.0017
0.0005829,1.30228e-07,0.0016
0.0007485,1.48052e-07,0.0015
0.0009611,1.68457e-07,0.0014
0.001234,1.90282e-07,0.0013
0.001585,2.15534e-07,0.0012
0.002035,2.42534e-07,0.0011
0.002249,1.0536e-07,0.0018
0.002485,1.0999e-07,0.0017
0.002613,5.72585e-08,0.0023
0.002747,5.84428e-08,0.0023
0.003035,1.20646e-07,0.0016
0.003355,1.27118e-07,0.0016
0.003707,1.32272e-07,0.0016
0.004307,2.10125e-07,0.0012
0.005531,3.84357e-07,0.0009
0.007102,4.29822e-07,0.0009
0.009119,4.79948e-07,0.0008
0.01059,3.12218e-07,0.001
0.01171,2.20874e-07,0.0012
0.01503,5.86567e-07,0.0007
0.0193,6.43585e-07,0.0007
0.02187,3.43678e-07,0.0009
0.02358,2.13198e-07,0.0012
0.02418,7.22756e-08,0.002
0.02479,7.18772e-08,0.002
0.02606,1.4613e-07,0.0014
0.027,1.04679e-07,0.0017
0.0285,1.61852e-07,0.0013
0.03183,3.39657e-07,0.0009
0.03431,2.39315e-07,0.0011
0.04087,6.05949e-07,0.0007
0.04631,5.30842e-07,0.0007
0.05248,1.01409e-06,0.0005
0.05656,3.42419e-06,0.0002
0.06738,2.25771e-07,0.0012
0.07202,1.56638e-07,0.0014
0.0795,1.82419e-07,0.0013
0.0825,8.48558e-08,0.0019
0.08652,1.02785e-07,0.0017
0.09804,2.87551e-07,0.001
0.1111,3.45587e-07,0.0009
0.1168,1.49676e-07,0.0014
0.1228,1.39447e-07,0.0014
0.1291,1.60923e-07,0.0013
