Energy,Value,Error
1e-07,2.6218213107672013e-11,0.0396
4.14e-07,1.5978156755541025e-09,0.0123
5.316e-07,4.091105112622884e-09,0.0223
6.826e-07,5.191832218216545e-09,0.0173
8.764e-07,6.4153378785679266e-09,0.0161
1.125e-06,7.824257529174075e-09,0.0181
1.445e-06,9.242497213617428e-09,0.013
1.855e-06,1.0760188050699e-08,0.0134
2.382e-06,1.255811829015334e-08,0.0125
3.059e-06,1.4454746251101749e-08,0.0121
3.928e-06,1.6334154606491782e-08,0.012
5.043e-06,1.842388495673967e-08,0.0109
6.476e-06,2.0414319717682694e-08,0.0111
8.315e-06,2.2592428584942112e-08,0.0106
1.068e-05,2.5421861898623027e-08,0.0161
1.371e-05,2.6753108450863772e-08,0.01
1.76e-05,2.916791681160265e-08,0.0094
2.26e-05,3.211868724382296e-08,0.0093
2.902e-05,3.429219229413971e-08,0.0094
3.727e-05,3.687283052547653e-08,0.0087
4.785e-05,4.031296250679791e-08,0.0088
6.144e-05,4.277531598476455e-08,0.009
7.889e-05,4.5195995295309095e-08,0.0082
0.0001013,4.8971744516321825e-08,0.0078
0.0001301,5.303517093132202e-08,0.0079
0.000167,5.843355783096545e-08,0.0071
0.0002145,6.334954493899868e-08,0.0068
0.0002754,7.029834419909352e-08,0.0067
0.0003536,8.178185698204033e-08,0.0077
0.000454,9.00621049539086e-08,0.006
0.0005829,9.741217701713179e-08,0.0058
0.0007485,1.0661030743351762e-07,0.0053
0.0009611,1.2448118607736481e-07,0.005
0.001234,1.3403417845849627e-07,0.0048
0.001585,1.4186963099946465e-07,0.0045
0.002035,1.527125142503774e-07,0.0042
0.002249,1.6481272176258104e-07,0.0062
0.002485,1.9711488116662755e-07,0.0057
0.002613,3.953902502964232e-07,0.0051
0.002747,1.7541904065579623e-07,0.0086
0.003035,1.9955263212491732e-07,0.006
0.003355,2.691550967275817e-07,0.0049
0.003707,4.2434910703979816e-07,0.0038
0.004307,7.46353711280532e-07,0.0024
0.005531,3.413369667683311e-06,0.0007
0.007102,6.792947964695207e-07,0.0024
0.009119,5.047888830974866e-06,0.0006
0.01059,1.4976461653789112e-06,0.0018
0.01171,5.609699293228173e-06,0.0009
0.01503,3.0408562347133405e-06,0.0009
0.0193,1.080926015197499e-05,0.0004
0.02187,2.00779550984063e-06,0.0017
0.02358,3.4299083825439295e-06,0.0016
0.02418,3.973259774560132e-06,0.0027
0.02479,4.260450594396224e-06,0.0025
0.02606,4.797000011186061e-06,0.0016
0.027,5.571563715148529e-06,0.0018
0.0285,7.303981797509261e-06,0.0013
0.03183,1.724182022917743e-05,0.0005
0.03431,6.816596743361845e-05,0.0002
0.04087,2.806530462254988e-05,0.0003
0.04631,3.1021604149548292e-06,0.0012
0.05248,3.3047096860409444e-06,0.0012
0.05656,3.4567173145516283e-06,0.0016
0.06738,3.6663117503197583e-06,0.001
0.07202,3.868002115795254e-06,0.0017
0.0795,3.994639846152154e-06,0.0013
0.0825,4.120430889012114e-06,0.0023
0.08652,4.172451309502804e-06,0.0019
0.09804,4.305401461251405e-06,0.0012
0.1111,4.486341057528382e-06,0.0011
0.1168,4.6102549752942825e-06,0.0017
0.1228,4.67619386951236e-06,0.0017
0.1291,4.75593959946671e-06,0.0017
0.1357,4.825963253829849e-06,0.0017
0.1426,4.900725617674185e-06,0.0017
0.15,4.950981557073089e-06,0.0017
0.1576,5.0309476372913026e-06,0.0017
0.1657,5.08412550608204e-06,0.0017
0.1742,5.1277617628331885e-06,0.0017
0.1832,5.205740681724236e-06,0.0017
0.1925,5.230028701226357e-06,0.0017
0.2024,5.284489394054468e-06,0.0017
0.2128,5.340350868617612e-06,0.0017
0.2237,5.373879513657035e-06,0.0017
0.2352,5.40754280321897e-06,0.0017
0.2472,5.443323612972324e-06,0.0017
0.2732,5.489728541369936e-06,0.0012
0.2872,5.517050581844748e-06,0.0017
0.2945,5.544823905031045e-06,0.0024
0.2972,5.5655134857850064e-06,0.004
0.2985,5.516379446639099e-06,0.0055
0.302,5.56582563719514e-06,0.0035
0.3337,5.5192302440754686e-06,0.0012
0.3688,5.459899028712478e-06,0.0012
0.3877,5.408169576929059e-06,0.0017
0.4076,5.33139340119841e-06,0.0017
