Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,2.2384e-13,1.0
1.76e-05,1.3335e-12,0.6573
2.26e-05,2.89622e-13,1.0
2.902e-05,0.0,0.0
3.727e-05,4.44703e-13,1.0
4.785e-05,0.0,0.0
6.144e-05,1.65241e-11,0.3373
7.889e-05,5.67085e-11,0.0943
0.0001013,9.16911e-11,0.1404
0.0001301,7.66432e-11,0.0734
0.000167,9.85168e-11,0.0682
0.0002145,1.78711e-10,0.0629
0.0002754,1.95345e-10,0.0521
0.0003536,2.38757e-10,0.0476
0.000454,1.77372e-10,0.0546
0.0005829,2.25076e-10,0.0447
0.0007485,2.91688e-10,0.0435
0.0009611,3.55276e-10,0.0383
0.001234,5.5109e-10,0.0314
0.001585,8.72318e-10,0.0246
0.002035,8.20502e-10,0.0266
0.002249,7.18748e-10,0.0263
0.002485,8.70895e-10,0.0247
0.002613,5.01551e-10,0.0308
0.002747,5.37226e-10,0.0305
0.003035,1.25994e-09,0.0222
0.003355,1.49195e-09,0.0184
0.003707,1.90896e-09,0.0168
0.004307,3.77957e-09,0.0148
0.005531,9.95185e-09,0.0074
0.007102,1.76528e-08,0.0055
0.009119,3.1681e-08,0.0042
0.01059,2.93572e-08,0.0053
0.01171,2.5698e-08,0.0045
0.01503,9.11979e-08,0.0025
0.0193,1.44059e-07,0.002
0.02187,9.53451e-08,0.0024
0.02358,6.55756e-08,0.0029
0.02418,2.3227e-08,0.0048
0.02479,2.35701e-08,0.005
0.02606,4.91136e-08,0.0035
0.027,3.63361e-08,0.004
0.0285,5.79094e-08,0.0035
0.03183,1.26673e-07,0.0021
0.03431,9.22652e-08,0.0025
0.04087,2.31626e-07,0.0016
0.04631,1.74844e-07,0.002
0.05248,1.79114e-07,0.0018
0.05656,1.07144e-07,0.0024
0.06738,2.46309e-07,0.0016
0.07202,9.0183e-08,0.0026
0.0795,1.28447e-07,0.0022
0.0825,4.66072e-08,0.0037
0.08652,5.82956e-08,0.0036
0.09804,1.43642e-07,0.0023
0.1111,1.28389e-07,0.0024
0.1168,4.70668e-08,0.004
0.1228,4.46757e-08,0.0045
0.1291,4.19871e-08,0.0045
0.1357,3.92701e-08,0.0047
0.1426,3.68735e-08,0.0051
0.15,3.46725e-08,0.0052
0.1576,3.15411e-08,0.0055
0.1657,2.94701e-08,0.0056
0.1742,2.75203e-08,0.006
0.1832,2.54025e-08,0.0066
0.1925,2.23718e-08,0.0065
0.2024,2.05041e-08,0.007
0.2128,1.84258e-08,0.0079
0.2237,1.66273e-08,0.0082
0.2352,1.49585e-08,0.0091
0.2472,1.36864e-08,0.0089
0.2732,2.43177e-08,0.0093
0.2872,1.12018e-08,0.0106
0.2945,5.41391e-09,0.0156
0.2972,1.93631e-09,0.0238
0.2985,9.4756e-10,0.0367
0.302,2.5667e-09,0.0228
0.3337,1.99008e-08,0.0078
0.3688,1.89349e-08,0.0081
0.3877,9.11729e-09,0.0113
0.4076,8.61324e-09,0.0113
0.4505,1.62023e-08,0.0091
0.4979,1.6104e-08,0.0087
0.5234,7.86082e-09,0.013
0.5502,7.68419e-09,0.0131
0.5784,7.80256e-09,0.0141
0.6081,7.34347e-09,0.0137
0.6393,7.0503e-09,0.0141
0.6721,6.72938e-09,0.0133
0.7065,6.46947e-09,0.0137
0.7427,6.089e-09,0.015
0.7808,5.57654e-09,0.0156
0.8209,4.82298e-09,0.0156
0.8629,4.24456e-09,0.0181
0.9072,3.82711e-09,0.022
0.9617,4.12907e-09,0.0182
1.003,2.7044e-09,0.0207
1.108,6.31053e-09,0.0157
1.165,2.95898e-09,0.0216
1.225,2.76864e-09,0.0229
1.287,2.6413e-09,0.0215
1.353,2.32835e-09,0.022
1.423,2.16162e-09,0.0246
1.496,1.81725e-09,0.0253
1.572,1.67669e-09,0.0258
1.653,1.68774e-09,0.0282
1.738,1.71928e-09,0.0296
1.827,1.41805e-09,0.0288
1.921,1.303e-09,0.03
2.019,1.11634e-09,0.0337
2.122,1.02184e-09,0.0335
2.231,1.04193e-09,0.0318
2.307,6.55244e-10,0.0401
2.346,3.76587e-10,0.0549
2.365,1.41996e-10,0.0826
2.385,1.58475e-10,0.0723
2.466,6.30728e-10,0.0418
2.592,9.32217e-10,0.0352
2.725,9.29353e-10,0.0322
2.865,8.76317e-10,0.0344
3.012,8.75526e-10,0.0443
3.166,9.01098e-10,0.0479
3.329,8.7887e-10,0.0392
3.679,1.68901e-09,0.0266
4.066,1.65986e-09,0.0267
4.493,1.52324e-09,0.026
4.724,7.93493e-10,0.0363
4.966,8.02083e-10,0.0332
5.22,7.96846e-10,0.0362
5.488,8.16951e-10,0.0338
5.77,8.21125e-10,0.0339
6.065,8.15299e-10,0.0321
6.376,8.42576e-10,0.0344
6.592,6.00392e-10,0.0397
6.703,3.11882e-10,0.0564
7.047,9.07383e-10,0.031
7.408,8.93174e-10,0.0311
7.788,9.07423e-10,0.0334
8.187,1.02411e-09,0.0313
8.607,1.04745e-09,0.0291
9.048,1.14577e-09,0.0298
9.512,1.15274e-09,0.0256
10.0,1.46222e-09,0.0237
10.51,2.09688e-09,0.0194
11.05,2.25321e-09,0.0211
11.62,2.38677e-09,0.0182
12.21,2.5188e-09,0.0162
12.52,1.35197e-09,0.0245
12.84,1.39953e-09,0.0225
13.5,2.78525e-09,0.0158
13.84,1.30952e-09,0.0212
14.19,2.7085e-10,0.0449
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
