Energy,Value,Error
1e-07,5.787639889566416e-12,0.1318
4.14e-07,1.2789155958335102e-10,0.059
5.316e-07,2.417466839719639e-10,0.1295
6.826e-07,2.620034400603859e-10,0.1213
8.764e-07,2.6432978277222056e-10,0.1137
1.125e-06,2.7293277159612687e-10,0.116
1.445e-06,3.2972366326056e-10,0.1173
1.855e-06,2.188862697555229e-10,0.1333
2.382e-06,2.0207251772337509e-10,0.1338
3.059e-06,1.6783931154039927e-10,0.145
3.928e-06,1.5740775066415638e-10,0.2989
5.043e-06,9.785018752838312e-11,0.208
6.476e-06,5.63090500707304e-11,0.2063
8.315e-06,3.962380462206779e-11,0.1919
1.068e-05,2.472213437735782e-11,0.2428
1.371e-05,2.1291344801300826e-09,0.0407
1.76e-05,1.0960173930324876e-08,0.0223
2.26e-05,1.2421265851393098e-08,0.0208
2.902e-05,1.3144861780410567e-08,0.0196
3.727e-05,1.4089453099363152e-08,0.0229
4.785e-05,1.401371180295377e-08,0.0236
6.144e-05,1.3859035972388104e-08,0.0191
7.889e-05,1.3683201878677792e-08,0.0188
0.0001013,1.3484477538813741e-08,0.0195
0.0001301,1.1837326419258246e-08,0.0199
0.000167,1.0738217052639046e-08,0.0189
0.0002145,9.326054629276858e-09,0.0203
0.0002754,8.902392228630124e-09,0.0198
0.0003536,9.646767910350765e-09,0.0172
0.000454,4.698099169537901e-08,0.0068
0.0005829,9.608134288312134e-08,0.005
0.0007485,1.1918471295757973e-07,0.0053
0.0009611,1.7910120035576177e-07,0.0044
0.001234,2.4860310949702394e-07,0.0037
0.001585,6.026721859549025e-07,0.0022
0.002035,3.557760705807654e-07,0.0032
0.002249,4.5275993664910016e-07,0.0044
0.002485,5.248560137901176e-07,0.0042
0.002613,5.878610236808109e-07,0.0058
0.002747,6.524240273342452e-07,0.0052
0.003035,7.440862475591848e-07,0.0035
0.003355,1.6063093012574044e-06,0.0021
0.003707,7.960166543029456e-07,0.0034
0.004307,1.0231858995992373e-06,0.0024
0.005531,1.5159217605138635e-06,0.0015
0.007102,3.91254587366234e-06,0.0008
0.009119,1.2883959290451013e-05,0.0004
0.01059,6.841323484181002e-06,0.0008
0.01171,2.32120754604784e-06,0.0021
0.01503,3.4969367942818415e-06,0.0011
0.0193,4.733202871725513e-06,0.0009
0.02187,4.5452495166018395e-06,0.0014
0.02358,5.034240078483241e-06,0.0017
0.02418,5.453188690939615e-06,0.0029
0.02479,5.172971384089744e-06,0.0029
0.02606,5.900655881975163e-06,0.002
0.027,6.329706141362708e-06,0.0023
0.0285,7.28916690632046e-06,0.0017
0.03183,1.8132638407510736e-05,0.0006
0.03431,8.238179972159144e-06,0.0013
0.04087,8.68378404658101e-06,0.0008
0.04631,8.677144027848943e-06,0.001
0.05248,8.595536029624706e-06,0.001
0.05656,8.519848381810917e-06,0.0013
0.06738,8.523920315277816e-06,0.0008
0.07202,8.601616711664163e-06,0.0014
0.0795,8.494060616867161e-06,0.0011
0.0825,8.40424709730339e-06,0.002
0.08652,8.213705619932917e-06,0.0017
0.09804,8.103122750196377e-06,0.0011
0.1111,8.014704682624315e-06,0.0011
0.1168,7.81597934899888e-06,0.0018
0.1228,7.708875744194635e-06,0.0017
0.1291,7.605773618037551e-06,0.0018
0.1357,7.413987559410214e-06,0.0018
0.1426,7.2503664891248145e-06,0.0018
0.15,7.160668318152122e-06,0.0018
0.1576,6.965904152337728e-06,0.0019
0.1657,6.80595626104792e-06,0.0019
0.1742,6.717222582381817e-06,0.002
0.1832,6.537270510682323e-06,0.002
0.1925,6.385373119102556e-06,0.002
0.2024,6.248421767186607e-06,0.0021
0.2128,6.053227877403586e-06,0.002
0.2237,5.857412961377108e-06,0.0021
0.2352,5.696808701321678e-06,0.0022
0.2472,5.579030910838451e-06,0.0022
0.2732,5.303480465182419e-06,0.0017
0.2872,4.983720818076235e-06,0.0024
0.2945,4.838493912702659e-06,0.0033
0.2972,4.7835216189776e-06,0.0056
0.2985,4.737892428634691e-06,0.0078
0.302,4.712018669942026e-06,0.0048
0.3337,4.480903163992141e-06,0.0018
0.3688,4.029562184219699e-06,0.0019
0.3877,3.6982350790075846e-06,0.0028
0.4076,3.48890012222995e-06,0.0029
0.4505,3.1086387527802246e-06,0.0023
0.4979,2.5858352409727735e-06,0.0024
0.5234,2.1809032530805414e-06,0.0036
0.5502,1.8987858234270097e-06,0.004
0.5784,1.640576813415815e-06,0.0048
0.6081,1.3806117712309418e-06,0.0046
0.6393,1.140161615788631e-06,0.0053
0.6721,9.029784140505823e-07,0.0062
0.7065,6.829464875559565e-07,0.0068
0.7427,4.891273318191588e-07,0.0079
0.7808,3.4123482225625305e-07,0.0102
0.8209,2.2256980920769794e-07,0.0118
0.8629,1.5509972291558513e-07,0.0139
0.9072,1.2197956496678953e-07,0.0162
0.9617,1.0038375508765387e-07,0.0153
1.003,8.642764416930404e-08,0.0192
1.108,6.187518295814052e-08,0.017
1.165,5.946595855131575e-08,0.0232
1.225,5.647239593740807e-08,0.0273
1.287,5.432737332072984e-08,0.0255
1.353,5.146907325358815e-08,0.0244
1.423,4.6028614170128285e-08,0.0254
1.496,4.282459470262912e-08,0.0282
1.572,4.0979489113904054e-08,0.0283
1.653,3.927542338585209e-08,0.0334
1.738,3.459850434481113e-08,0.0282
1.827,3.177376930310949e-08,0.0333
1.921,2.8018198326276787e-08,0.0322
2.019,2.465469026241768e-08,0.0343
2.122,2.33693146827844e-08,0.0355
2.231,2.1495332122691404e-08,0.0381
2.307,1.902745797261311e-08,0.0468
2.346,1.797507251124941e-08,0.0656
2.365,2.4261270506670732e-08,0.1749
2.385,1.8026974718268552e-08,0.0883
2.466,1.4619285607679978e-08,0.0498
2.592,1.3388425030193155e-08,0.0497
2.725,1.3852292281908655e-08,0.0541
2.865,1.4063894136916477e-08,0.0466
3.012,1.1166828867834807e-08,0.046
3.166,1.1454105916241683e-08,0.0466
3.329,1.201075701495963e-08,0.048
3.679,1.1972909503124941e-08,0.0304
4.066,1.2576243327259538e-08,0.0308
4.493,1.1725508437261521e-08,0.0299
4.724,1.2514962459313913e-08,0.045
4.966,1.14481358395657e-08,0.042
5.22,1.2411654064457688e-08,0.0426
5.488,1.1978351540515704e-08,0.0425
5.77,1.1474691041395952e-08,0.0412
6.065,1.2990854755844082e-08,0.0402
6.376,1.311272180976146e-08,0.0384
6.592,1.1469135176292825e-08,0.0478
6.703,1.3510699868202748e-08,0.0699
7.047,1.4753928266720704e-08,0.0394
7.408,1.5352741854884286e-08,0.0362
7.788,1.58672137958282e-08,0.0377
8.187,1.8656700703302236e-08,0.034
8.607,2.01412019838158e-08,0.0303
9.048,2.3448647866585773e-08,0.0279
9.512,2.57490336054571e-08,0.0265
10.0,3.16172392958114e-08,0.0241
10.51,4.818514679817653e-08,0.0222
11.05,5.289657589705182e-08,0.0175
11.62,5.878066260028807e-08,0.0168
12.21,5.716476507231264e-08,0.0167
12.52,5.928108658227989e-08,0.0232
12.84,6.098558170403489e-08,0.0225
13.5,6.158678785949414e-08,0.0155
13.84,6.203488025437049e-08,0.0217
14.19,1.5234794516051707e-08,0.0423
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
