Energy,Value,Error
0.01,0.0,0.0
0.02,3.56524e-08,0.2148
0.05,2.7546866666666665e-11,1.0
0.1,6.5493e-09,0.1246
0.2,2.42827e-07,0.0195
0.3,7.665970000000001e-07,0.0132
0.4,8.338029999999997e-07,0.0139
0.6,9.047800000000002e-07,0.0073
0.8,5.130999999999998e-07,0.0142
1.0,4.311195000000001e-07,0.0131
1.22,3.432154545454546e-07,0.0094
1.44,2.618477272727273e-07,0.0179
1.66,2.2287000000000004e-07,0.0119
2.0,1.9099735294117643e-07,0.0162
2.5,1.529888e-07,0.014
3.0,1.088634e-07,0.0121
4.0,6.7484e-08,0.0154
5.0,4.56162e-08,0.0124
6.5,3.848666666666667e-08,0.0105
8.0,8.179e-11,0.1746
10.0,1.14297e-12,0.7331
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
