Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,5.18246e-12,0.2227
5.316e-07,1.13693e-11,0.2081
6.826e-07,1.62898e-11,0.1375
8.764e-07,3.62325e-11,0.102
1.125e-06,4.83782e-11,0.109
1.445e-06,7.44713e-11,0.0773
1.855e-06,9.46696e-11,0.081
2.382e-06,1.10988e-10,0.0624
3.059e-06,1.45405e-10,0.0554
3.928e-06,2.27123e-10,0.135
5.043e-06,2.45249e-10,0.0494
6.476e-06,3.2371e-10,0.0398
8.315e-06,3.97905e-10,0.0377
1.068e-05,5.05899e-10,0.031
1.371e-05,6.15206e-10,0.0278
1.76e-05,6.94225e-10,0.0254
2.26e-05,8.24923e-10,0.0236
2.902e-05,8.49707e-10,0.0249
3.727e-05,7.15552e-10,0.023
4.785e-05,3.83049e-10,0.0329
6.144e-05,4.31917e-11,0.0744
7.889e-05,2.16257e-09,0.0151
0.0001013,4.87115e-09,0.0101
0.0001301,6.64968e-09,0.0099
0.000167,8.54092e-09,0.0082
0.0002145,1.07376e-08,0.007
0.0002754,1.37044e-08,0.0063
0.0003536,1.71998e-08,0.0055
0.000454,2.10727e-08,0.0049
0.0005829,2.54181e-08,0.0045
0.0007485,3.60466e-08,0.0038
0.0009611,4.46657e-08,0.0033
0.001234,6.54226e-08,0.0029
0.001585,8.38526e-08,0.0025
0.002035,1.04533e-07,0.0022
0.002249,4.7095e-08,0.0033
0.002485,3.59547e-08,0.0038
0.002613,2.8408e-08,0.0043
0.002747,3.0292e-08,0.0041
0.003035,6.50865e-08,0.0029
0.003355,7.11556e-08,0.0027
0.003707,7.26166e-08,0.0028
0.004307,1.36852e-07,0.002
0.005531,2.72902e-07,0.0014
0.007102,3.54124e-07,0.0012
0.009119,4.53218e-07,0.0011
0.01059,3.05052e-07,0.0013
0.01171,2.47877e-07,0.0015
0.01503,6.97112e-07,0.0009
0.0193,9.01259e-07,0.0008
0.02187,5.34791e-07,0.001
0.02358,3.8031e-07,0.0012
0.02418,1.22785e-07,0.0022
0.02479,9.20401e-08,0.0024
0.02606,2.30559e-07,0.0015
0.027,1.92297e-07,0.0017
0.0285,3.0705e-07,0.0013
0.03183,6.38839e-07,0.0009
0.03431,4.62391e-07,0.0011
0.04087,1.16293e-06,0.0007
0.04631,1.04529e-06,0.0007
0.05248,1.02821e-06,0.0007
0.05656,6.54755e-07,0.0009
0.06738,1.95874e-06,0.0005
0.07202,7.78695e-07,0.0008
0.0795,1.10403e-06,0.0007
0.0825,2.60979e-07,0.0014
0.08652,3.06281e-07,0.0013
0.09804,8.043e-07,0.0008
0.1111,9.03991e-07,0.0008
0.1168,4.03212e-07,0.0012
0.1228,4.29664e-07,0.0011
0.1291,4.5989e-07,0.0011
0.1357,4.92279e-07,0.0011
0.1426,5.2688e-07,0.001
0.15,5.78645e-07,0.001
0.1576,6.08945e-07,0.001
0.1657,6.67282e-07,0.0009
0.1742,7.16296e-07,0.0009
0.1832,7.71234e-07,0.0008
0.1925,8.07247e-07,0.0008
0.2024,8.12651e-07,0.0008
0.2128,6.95294e-07,0.0009
0.2237,7.22578e-07,0.0009
0.2352,7.58511e-07,0.0009
0.2472,7.83028e-07,0.0009
0.2732,1.67973e-06,0.0006
0.2872,8.95334e-07,0.0008
0.2945,4.6508e-07,0.0011
0.2972,1.71124e-07,0.0019
0.2985,8.2604e-08,0.0028
0.302,2.21584e-07,0.0016
0.3337,1.97072e-06,0.0005
0.3688,2.09992e-06,0.0005
0.3877,1.09449e-06,0.0007
0.4076,1.12605e-06,0.0007
