Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,2.222838577371705e-13,1.0
6.826e-07,2.718643415285813e-13,1.0
8.764e-07,8.911800943309286e-12,0.1982
1.125e-06,7.156297944015497e-11,0.0966
1.445e-06,1.1227107012775957e-10,0.0781
1.855e-06,1.5377496711857958e-10,0.0783
2.382e-06,2.1621536246185834e-10,0.0584
3.059e-06,2.627204958768774e-10,0.0578
3.928e-06,3.8201532431133776e-10,0.0484
5.043e-06,5.1070402866666e-10,0.0434
6.476e-06,6.527859434564835e-10,0.0377
8.315e-06,8.515347961537762e-10,0.0341
1.068e-05,1.1638368310021321e-09,0.0298
1.371e-05,1.5138657579709212e-09,0.0266
1.76e-05,1.9890708264082666e-09,0.0243
2.26e-05,2.5416934514884135e-09,0.0206
2.902e-05,3.3446151894396487e-09,0.0196
3.727e-05,4.348420976099749e-09,0.017
4.785e-05,5.4325953970917e-09,0.0147
6.144e-05,6.983360146138965e-09,0.0139
7.889e-05,9.004838150321283e-09,0.0113
0.0001013,1.0866851905387511e-08,0.0104
0.0001301,9.104138544965892e-09,0.0109
0.000167,1.121144304479184e-08,0.0103
0.0002145,2.1923575094727746e-08,0.0072
0.0002754,2.2232652625883527e-08,0.007
0.0003536,3.226183772195868e-08,0.0059
0.000454,3.602748271180692e-08,0.0054
0.0005829,3.498249170716364e-08,0.0049
0.0007485,3.321825773276235e-08,0.0046
0.0009611,7.189511274984185e-08,0.0028
0.001234,7.018027695616579e-08,0.0032
0.001585,1.0575516050180715e-07,0.0026
0.002035,1.3909368836850888e-07,0.0024
0.002249,1.6659890298705232e-07,0.0033
0.002485,1.8440981767528052e-07,0.0031
0.002613,1.989500447048954e-07,0.0043
0.002747,2.0895645107401197e-07,0.0041
0.003035,2.2698337095413937e-07,0.0028
0.003355,2.5322538314300476e-07,0.0027
0.003707,2.8204745503831865e-07,0.0026
0.004307,3.237810076966565e-07,0.0019
0.005531,3.978510519750727e-07,0.0014
0.007102,5.205517514802322e-07,0.0012
0.009119,6.829164867352679e-07,0.0018
0.01059,8.429420997173602e-07,0.0012
0.01171,9.732881987447211e-07,0.0014
0.01503,1.1906210567055954e-06,0.0008
0.0193,1.5793685853276952e-06,0.0007
0.02187,1.9650151851078546e-06,0.0009
0.02358,2.194650417730673e-06,0.0011
0.02418,2.279807132321813e-06,0.0019
0.02479,2.3711331939132854e-06,0.0018
0.02606,2.505022612490738e-06,0.0012
0.027,2.612429268862243e-06,0.0015
0.0285,2.751001373946534e-06,0.0011
0.03183,3.0551063703394444e-06,0.0008
0.03431,3.3670535583381523e-06,0.0009
0.04087,3.884660337607964e-06,0.0005
0.04631,4.608350840520965e-06,0.0006
0.05248,5.289075383291982e-06,0.0006
0.05656,5.84811966871378e-06,0.0007
0.06738,6.572664201070608e-06,0.0004
0.07202,7.09004583607636e-06,0.0007
0.0795,7.128230445034289e-06,0.0006
0.0825,6.862507372684361e-06,0.0009
0.08652,6.471194243591597e-06,0.0008
0.09804,4.962473684261435e-06,0.0006
0.1111,3.5405902318921716e-06,0.0007
0.1168,3.871313421455311e-06,0.0011
0.1228,4.107961524889035e-06,0.001
0.1291,4.372891589732448e-06,0.001
0.1357,4.620545079680154e-06,0.001
0.1426,4.87788146692674e-06,0.001
0.15,5.146863156850294e-06,0.0009
0.1576,5.418464991112437e-06,0.0009
0.1657,5.670373202874562e-06,0.0009
0.1742,5.959643492934129e-06,0.0009
0.1832,6.2307853965670205e-06,0.0009
0.1925,6.527847421988705e-06,0.0008
0.2024,6.893509295437943e-06,0.0008
0.2128,7.243784371220139e-06,0.0008
0.2237,7.639404075985458e-06,0.0008
0.2352,8.060925565520307e-06,0.0007
0.2472,8.534990271866473e-06,0.0007
0.2732,9.278685968030196e-06,0.0005
0.2872,9.960658205022109e-06,0.0007
0.2945,1.0295908036969506e-05,0.001
0.2972,1.0488510975579532e-05,0.0016
0.2985,1.0529507749877562e-05,0.0022
0.302,1.0633104662760685e-05,0.0014
0.3337,1.1184049291112805e-05,0.0005
0.3688,1.2268514782788232e-05,0.0004
0.3877,1.308062473962291e-05,0.0006
0.4076,1.366839329587615e-05,0.0006
0.4505,1.458433199364706e-05,0.0004
0.4979,1.5886358537730948e-05,0.0004
0.5234,1.6897039927327243e-05,0.0005
0.5502,1.747287476482722e-05,0.0005
0.5784,1.8039616770652686e-05,0.0005
0.6081,1.861551142834259e-05,0.0005
0.6393,1.9197659126229948e-05,0.0005
0.6721,1.9776324536680758e-05,0.0005
0.7065,2.0045250704568463e-05,0.0005
0.7427,1.8055957383674053e-05,0.0005
0.7808,1.4433991710955545e-05,0.0006
0.8209,1.126566476953702e-05,0.0007
0.8629,8.556859823877966e-06,0.0008
0.9072,6.479849792321061e-06,0.0009
0.9617,4.764738028461484e-06,0.001
1.003,3.6501887763182554e-06,0.0014
1.108,3.0231391822915936e-06,0.001
1.165,2.568091047605278e-06,0.0015
1.225,2.2884818030480974e-06,0.0017
1.287,2.1272521418116976e-06,0.0017
1.353,1.9796494183086617e-06,0.0018
1.423,1.8091777733632055e-06,0.0019
1.496,1.6083254766969724e-06,0.002
1.572,1.4159192540888993e-06,0.0021
1.653,1.2219363386620844e-06,0.0022
1.738,1.104993122802073e-06,0.0024
1.827,1.0432126275589013e-06,0.0025
1.921,9.602973427300412e-07,0.0026
2.019,8.652404904864334e-07,0.0027
2.122,7.546199677672295e-07,0.0029
2.231,6.50154341122359e-07,0.0031
2.307,6.054170819146192e-07,0.0039
2.346,5.856534294562242e-07,0.0058
2.365,5.680951700194843e-07,0.0079
2.385,5.653084092684251e-07,0.0081
2.466,5.284313978938669e-07,0.0041
2.592,4.7226327445425386e-07,0.0035
2.725,4.360809127235094e-07,0.0038
2.865,3.987970276573235e-07,0.004
3.012,3.663844979475265e-07,0.004
3.166,3.4124975269855534e-07,0.0043
3.329,3.095233529285705e-07,0.0043
3.679,2.7259745742615104e-07,0.0033
4.066,2.3677263097893422e-07,0.0034
4.493,2.219937602837359e-07,0.0035
4.724,2.1497840495996496e-07,0.0049
4.966,2.1370814359098004e-07,0.0048
5.22,2.2374483912575651e-07,0.0046
5.488,2.44948274990116e-07,0.0044
5.77,2.752783521707051e-07,0.0041
6.065,3.1017521835283677e-07,0.0039
6.376,3.2862594184794424e-07,0.0037
6.592,3.3898278508851783e-07,0.0045
6.703,3.444396949339171e-07,0.0062
7.047,3.555631433389829e-07,0.0036
7.408,3.6521510663295534e-07,0.0035
7.788,3.774719075002689e-07,0.0034
8.187,3.859501845105453e-07,0.0033
8.607,4.083689018085575e-07,0.0033
9.048,4.289232559536844e-07,0.0032
9.512,4.884322051147913e-07,0.003
10.0,5.844724032243008e-07,0.0028
10.51,1.059151273963465e-06,0.002
11.05,1.1431455627408366e-06,0.0019
11.62,1.2339503522360211e-06,0.0018
12.21,1.3319257204555079e-06,0.0017
12.52,1.3984002694233996e-06,0.0024
12.84,1.4415760827657338e-06,0.0023
13.5,1.4357502215015037e-06,0.0016
13.84,1.4101807848466624e-06,0.0022
14.19,4.586190396075322e-07,0.0037
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
