Energy,Value,Error
1e-07,4.505211713954304e-06,0.0003
4.14e-07,3.0800682577242673e-06,0.0008
5.316e-07,5.755736298953287e-07,0.0049
6.826e-07,5.520528933823059e-07,0.005
8.764e-07,5.312236519875991e-07,0.005
1.125e-06,5.109049870150871e-07,0.0053
1.445e-06,4.897847605387089e-07,0.0052
1.855e-06,4.852279783186739e-07,0.0053
2.382e-06,4.732544171785972e-07,0.0054
3.059e-06,4.6232705276809057e-07,0.0055
3.928e-06,4.549349789194682e-07,0.0056
5.043e-06,4.45798473170101e-07,0.0058
6.476e-06,4.356384464536221e-07,0.0056
8.315e-06,4.310002755921532e-07,0.0059
1.068e-05,4.209910731567601e-07,0.0057
1.371e-05,4.068465176020208e-07,0.0057
1.76e-05,4.0399416662549585e-07,0.0059
2.26e-05,3.9410399611003705e-07,0.0057
2.902e-05,3.929048571183419e-07,0.0061
3.727e-05,3.7944518317213025e-07,0.0062
4.785e-05,3.745946026965619e-07,0.006
6.144e-05,3.698372364786688e-07,0.0059
7.889e-05,3.6467884463575746e-07,0.0102
0.0001013,3.52883323887342e-07,0.0062
0.0001301,3.513854336168929e-07,0.0062
0.000167,3.431361028306403e-07,0.0061
0.0002145,3.383032848515989e-07,0.0069
0.0002754,3.3241562351844844e-07,0.0061
0.0003536,3.2616640398832137e-07,0.0065
0.000454,3.226976358639821e-07,0.0061
0.0005829,3.13324210104498e-07,0.0065
0.0007485,3.152995293357229e-07,0.0065
0.0009611,3.080370571056701e-07,0.0064
0.001234,3.0335154346973235e-07,0.0069
0.001585,3.014715177476326e-07,0.0069
0.002035,3.0006072764068925e-07,0.0071
0.002249,2.877041902294382e-07,0.011
0.002485,2.956648057398305e-07,0.0112
0.002613,2.972823396583924e-07,0.0173
0.002747,2.9439664435574843e-07,0.0156
0.003035,2.935577510239205e-07,0.0117
0.003355,2.896987209665091e-07,0.0114
0.003707,2.879609879368982e-07,0.0106
0.004307,2.8700892084714674e-07,0.0096
0.005531,2.809968255797244e-07,0.0067
0.007102,2.819120003893982e-07,0.0067
0.009119,2.813403271496547e-07,0.0068
0.01059,2.7910195268655656e-07,0.0088
0.01171,2.7424124481184605e-07,0.0104
0.01503,2.763473999802195e-07,0.0069
0.0193,2.736637227341724e-07,0.0067
0.02187,2.77310576186645e-07,0.0141
0.02358,2.7826180130001957e-07,0.0127
0.02418,2.772994724202905e-07,0.0229
0.02479,2.7796543221112015e-07,0.0214
0.02606,2.7389239999778876e-07,0.0146
0.027,2.7352192748440224e-07,0.0191
0.0285,2.724367861697003e-07,0.0146
0.03183,2.72040704949593e-07,0.0106
0.03431,2.722997371442252e-07,0.0134
0.04087,2.7847882802689586e-07,0.0084
