Energy,Value,Error
0.01,0.0,0.0
0.02,1.52487e-10,0.2102
0.05,3.84947e-07,0.0029
0.1,6.43534e-07,0.0022
0.2,5.54481e-07,0.0024
0.3,2.77112e-07,0.0033
0.4,2.06788e-07,0.0038
0.6,3.73175e-07,0.0029
0.8,1.97736e-07,0.0034
1.0,1.49186e-07,0.0035
1.22,1.30017e-07,0.0036
1.44,1.11307e-07,0.0036
1.66,9.4249e-08,0.0038
2.0,1.28163e-07,0.0037
2.5,1.62531e-07,0.0028
3.0,1.48871e-07,0.0029
4.0,5.51367e-07,0.0016
5.0,1.06074e-07,0.0034
6.5,2.93041e-07,0.0022
8.0,6.9887e-07,0.0014
10.0,1.02195e-07,0.0034
12.0,1.81106e-08,0.008
14.0,1.76455e-09,0.0249
20.0,0.0,0.0
