Energy,Value,Error
0.01,1.69856e-11,0.1737
0.02,2.85532e-12,0.5024
0.05,3.11976e-09,0.0234
0.1,1.40128e-09,0.0315
0.2,7.17047e-09,0.0187
0.3,2.06662e-08,0.009
0.4,3.47081e-08,0.0068
0.6,1.40107e-07,0.0029
0.8,8.822e-08,0.0038
1.0,8.70868e-08,0.0034
1.22,9.15133e-08,0.0033
1.44,8.86991e-08,0.0033
1.66,8.16676e-08,0.0036
2.0,1.10834e-07,0.003
2.5,1.296e-07,0.0027
3.0,9.40657e-08,0.0031
4.0,1.04634e-07,0.0036
5.0,3.86814e-08,0.0048
6.5,1.43095e-08,0.0081
8.0,1.57246e-09,0.0238
10.0,2.44286e-11,0.2269
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
