Energy,Value,Error
0.01,6.8798100687981005e-09,0.7643
0.02,0.0,0.0
0.05,4.1575999999999997e-10,0.2861
0.1,6.5177e-08,0.0593
0.2,4.08226e-08,0.1018
0.3,1.9326100000000003e-07,0.0484
0.4,2.788869999999999e-07,0.0242
0.6,5.411650000000001e-07,0.0148
0.8,4.0937199999999986e-07,0.0233
1.0,3.2919750000000005e-07,0.0193
1.22,3.219136363636364e-07,0.0227
1.44,3.034068181818182e-07,0.0219
1.66,2.7415000000000006e-07,0.0197
2.0,2.2623176470588232e-07,0.0189
2.5,1.631562e-07,0.0199
3.0,1.07627e-07,0.0199
4.0,5.30701e-08,0.0234
5.0,1.81142e-08,0.0319
6.5,6.118026666666666e-09,0.0578
8.0,5.6548733333333334e-11,0.1001
10.0,9.74265e-13,0.7072
12.0,4.39313e-13,1.0
14.0,4.354325e-13,1.0
20.0,1.3674933333333333e-13,1.0
