Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,2.5579145783933968e-12,1.0
1.371e-05,3.093252339612896e-11,0.383
1.76e-05,6.223240534379881e-12,1.0
2.26e-05,0.0,0.0
2.902e-05,0.0,0.0
3.727e-05,0.0,0.0
4.785e-05,0.0,0.0
6.144e-05,6.920077607481571e-11,0.2965
7.889e-05,1.8890819604177547e-11,0.6492
0.0001013,4.314488881900227e-12,1.0
0.0001301,0.0,0.0
0.000167,3.4519785588379075e-11,0.7425
0.0002145,5.934300801495554e-12,1.0
0.0002754,7.738235707263353e-12,0.5849
0.0003536,0.0,0.0
0.000454,2.512170692793896e-12,1.0
0.0005829,1.4337717134799514e-11,0.4676
0.0007485,2.1488824426102878e-11,0.3989
0.0009611,5.598837455232812e-11,0.2862
0.001234,2.9840391136360236e-11,0.309
0.001585,9.403153002831894e-11,0.2297
0.002035,1.5748700610941822e-10,0.1526
0.002249,1.9630491693468421e-10,0.2842
0.002485,2.1688599629683625e-10,0.223
0.002613,2.898937842485025e-10,0.283
0.002747,2.5026384213895875e-10,0.2439
0.003035,4.73518001259554e-10,0.2445
0.003355,5.893106160243221e-10,0.1506
0.003707,6.758777208528883e-10,0.1388
0.004307,7.659779338283352e-10,0.1069
0.005531,1.3006311496220763e-09,0.0659
0.007102,2.132069449512948e-09,0.0504
0.009119,3.928079884069733e-09,0.0441
0.01059,5.864760531402037e-09,0.0393
0.01171,6.802889375360213e-09,0.0415
0.01503,1.1252938465481465e-08,0.0223
0.0193,2.201243066232757e-08,0.0166
0.02187,3.529000822753438e-08,0.0177
0.02358,4.622500706746177e-08,0.022
0.02418,5.077974032138994e-08,0.0332
0.02479,5.482509995486992e-08,0.0344
0.02606,5.7401914438881796e-08,0.0219
0.027,6.598195515753242e-08,0.0253
0.0285,7.349332750311936e-08,0.0247
0.03183,8.903946686751768e-08,0.0125
0.03431,1.1326589462717699e-07,0.0133
0.04087,1.5413800987934784e-07,0.0083
0.04631,2.1507803254095428e-07,0.0076
0.05248,2.6349713720609867e-07,0.0069
0.05656,3.077272320698762e-07,0.0088
0.06738,4.0084728163237593e-07,0.0049
0.07202,4.977279268424771e-07,0.007
0.0795,5.716019812942158e-07,0.0054
0.0825,6.321408239453655e-07,0.0088
0.08652,6.669566123958159e-07,0.0074
0.09804,7.494098543493823e-07,0.0045
0.1111,8.473782181755759e-07,0.004
0.1168,8.903035507344448e-07,0.0065
0.1228,8.888818741770447e-07,0.0065
0.1291,8.720578444530911e-07,0.0064
0.1357,8.599363943768273e-07,0.0066
0.1426,8.526332275445504e-07,0.0067
0.15,8.356969232714758e-07,0.0064
0.1576,8.227333533705265e-07,0.007
0.1657,8.118139903399026e-07,0.0066
0.1742,8.045734606910916e-07,0.0068
0.1832,7.928215453737638e-07,0.007
0.1925,7.863369831409937e-07,0.0073
0.2024,7.762565885459209e-07,0.0075
0.2128,7.492433157683308e-07,0.0075
0.2237,7.235705495761768e-07,0.0079
0.2352,6.724130524112483e-07,0.008
0.2472,6.49045824497444e-07,0.0086
0.2732,5.964318157605947e-07,0.0063
0.2872,5.34586399387943e-07,0.0094
0.2945,5.164348332424802e-07,0.0142
0.2972,4.987284152853909e-07,0.0251
0.2985,4.809765810690133e-07,0.0322
0.302,4.868755973629209e-07,0.022
0.3337,4.7164580728305274e-07,0.0085
0.3688,4.1193813107835025e-07,0.0081
0.3877,3.6409691409672456e-07,0.0131
0.4076,3.535009902526607e-07,0.0173
0.4505,3.2730607377498505e-07,0.0098
0.4979,2.8929487820591993e-07,0.0101
0.5234,2.552278868769577e-07,0.0148
0.5502,2.3876229193509166e-07,0.0169
0.5784,2.2640525408069542e-07,0.017
0.6081,2.1118483485162453e-07,0.0187
0.6393,2.007595335534173e-07,0.0174
0.6721,1.8820541302472103e-07,0.0181
0.7065,1.6974836286196842e-07,0.0188
0.7427,1.6785089256092596e-07,0.0224
0.7808,1.5280177471269982e-07,0.0205
0.8209,1.462990962757662e-07,0.0216
0.8629,1.3359363981528339e-07,0.0209
0.9072,1.3099240627554612e-07,0.0308
0.9617,1.1804053828507913e-07,0.0242
1.003,1.0289920307106593e-07,0.0267
1.108,9.883560990608263e-08,0.0185
1.165,8.885666389924588e-08,0.0259
1.225,8.912946356688566e-08,0.0331
1.287,8.091189827342256e-08,0.0304
1.353,6.862209836601108e-08,0.0292
1.423,7.00898461306455e-08,0.0305
1.496,6.48104758894336e-08,0.0341
1.572,5.950016224671493e-08,0.0404
1.653,5.24750402930254e-08,0.0327
1.738,5.3505352106096165e-08,0.0363
1.827,4.842086239534797e-08,0.0377
1.921,4.218266734760107e-08,0.0422
2.019,3.766908192107816e-08,0.0377
2.122,3.709631000562155e-08,0.0502
2.231,3.4440204749739806e-08,0.0401
2.307,3.111672388148613e-08,0.0539
2.346,3.1688872315363455e-08,0.0679
2.365,3.403617058556509e-08,0.1183
2.385,3.1804743297532955e-08,0.1102
2.466,2.845194388952476e-08,0.0534
2.592,2.7515044876995225e-08,0.0469
2.725,2.5668758242302436e-08,0.0451
2.865,2.595333379288535e-08,0.045
3.012,2.307200671846365e-08,0.0476
3.166,2.177795225419134e-08,0.0532
3.329,2.2264606971871394e-08,0.0504
3.679,2.073812518346551e-08,0.0386
4.066,2.069252241094353e-08,0.037
4.493,2.0402276530413906e-08,0.0354
4.724,1.9451376926791407e-08,0.0486
4.966,2.159880227243195e-08,0.0506
5.22,2.16834629821335e-08,0.0498
5.488,2.3072918312016945e-08,0.0426
5.77,2.3494562420525748e-08,0.045
6.065,2.5557703170954838e-08,0.043
6.376,2.722571560287598e-08,0.0412
6.592,2.5867956874794425e-08,0.0525
6.703,2.55286814035753e-08,0.0688
7.047,2.7357589483107528e-08,0.041
7.408,2.7929780042210807e-08,0.0402
7.788,2.9528268464860172e-08,0.0391
8.187,3.194975982129052e-08,0.0359
8.607,3.2089640297329425e-08,0.0371
9.048,3.307422495622779e-08,0.0362
9.512,3.749658528067069e-08,0.034
10.0,4.522542029374246e-08,0.0292
10.51,7.189343800743608e-08,0.0233
11.05,7.922062039110325e-08,0.024
11.62,8.615945545186127e-08,0.0235
12.21,9.348981008594521e-08,0.0243
12.52,9.642798827669311e-08,0.0275
12.84,9.898512848090563e-08,0.0271
13.5,1.068336253268401e-07,0.0185
13.84,1.0661125618896315e-07,0.0264
14.19,2.9631615672964404e-08,0.0469
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
