Energy,Value,Error
1e-07,5.234406625552594e-07,0.0022
4.14e-07,9.198872912754329e-07,0.0038
5.316e-07,5.916280017884817e-07,0.0115
6.826e-07,5.838826386098142e-07,0.0118
8.764e-07,5.791642257633104e-07,0.0151
1.125e-06,5.700362294278662e-07,0.0119
1.445e-06,5.594538323932273e-07,0.0118
1.855e-06,5.539297069606353e-07,0.0119
2.382e-06,5.574316372833149e-07,0.0127
3.059e-06,5.526297401436063e-07,0.0125
3.928e-06,5.330537533098928e-07,0.012
5.043e-06,5.323232055560676e-07,0.0121
6.476e-06,5.352858330802459e-07,0.0127
8.315e-06,5.261642338915494e-07,0.0123
1.068e-05,5.40018659617369e-07,0.0163
1.371e-05,5.168513519663901e-07,0.0164
1.76e-05,4.960015590087846e-07,0.0121
2.26e-05,5.086242320423308e-07,0.0151
2.902e-05,4.92046441996827e-07,0.0154
3.727e-05,4.881627018822078e-07,0.0138
4.785e-05,4.837475463167451e-07,0.0136
6.144e-05,4.855634789801775e-07,0.0128
7.889e-05,4.705404443500403e-07,0.0127
0.0001013,4.6670038528397186e-07,0.0143
0.0001301,4.4620474021990765e-07,0.0133
0.000167,4.420914384713784e-07,0.0133
0.0002145,4.365403423082727e-07,0.0137
0.0002754,4.447554874078437e-07,0.0227
0.0003536,4.259312514049934e-07,0.0142
0.000454,4.10069396854684e-07,0.0134
0.0005829,4.097016495778682e-07,0.0132
0.0007485,4.1298022124442474e-07,0.0186
0.0009611,3.9885282055348496e-07,0.0144
0.001234,3.9245493283828087e-07,0.0154
0.001585,3.829568816039281e-07,0.0143
0.002035,3.851240701541388e-07,0.0143
0.002249,3.821637740207667e-07,0.0272
0.002485,3.653011404840111e-07,0.0208
0.002613,3.9049242051783824e-07,0.0336
0.002747,3.70692743371825e-07,0.0414
0.003035,3.2381591508841907e-07,0.0283
0.003355,3.542186499546424e-07,0.0231
0.003707,3.5479894409652137e-07,0.0225
0.004307,3.7063183927859774e-07,0.0178
0.005531,3.717858956747924e-07,0.0143
0.007102,3.640226373852309e-07,0.0139
0.009119,3.680303743367625e-07,0.014
0.01059,3.6998058211531917e-07,0.0194
0.01171,3.746351273507187e-07,0.0237
0.01503,3.641240779481225e-07,0.0139
0.0193,3.769622152425208e-07,0.0135
0.02187,3.9029047005880277e-07,0.0199
0.02358,3.894023414595193e-07,0.0238
0.02418,3.930421308423836e-07,0.054
0.02479,3.790796393192712e-07,0.0399
0.02606,3.8085134527023716e-07,0.0298
0.027,3.839787496013622e-07,0.0344
0.0285,3.631294440277391e-07,0.0342
0.03183,4.0854474527111766e-07,0.0224
0.03431,4.078791490961825e-07,0.0245
0.04087,3.9608437087151623e-07,0.0167
0.04631,4.09495321889371e-07,0.02
0.05248,4.560036281713216e-07,0.0184
0.05656,3.8267459713047624e-07,0.0256
0.06738,4.2796869046888695e-07,0.0157
0.07202,4.3439793630175194e-07,0.0235
0.0795,4.682230422498391e-07,0.0197
0.0825,4.812739733624609e-07,0.0406
0.08652,4.352663272022713e-07,0.0293
0.09804,4.4289855031957755e-07,0.0171
0.1111,5.067068896222385e-07,0.0157
0.1168,5.349636244428606e-07,0.0264
0.1228,5.524919194086584e-07,0.0263
0.1291,5.937344090353441e-07,0.027
0.1357,4.333797995534657e-07,0.0265
0.1426,5.499371407473307e-07,0.0241
0.15,5.764750019517843e-07,0.0246
0.1576,6.298467068442172e-07,0.0237
0.1657,6.174136794482268e-07,0.0241
0.1742,4.78915201571845e-07,0.028
0.1832,4.710032424416559e-07,0.0355
0.1925,4.32649322490755e-07,0.029
0.2024,4.5801393968234095e-07,0.0298
0.2128,4.783879714194899e-07,0.0293
0.2237,4.2130308937020944e-07,0.0282
0.2352,5.437923601978395e-07,0.0251
0.2472,4.958069041437692e-07,0.0251
0.2732,4.846889696639821e-07,0.0194
0.2872,5.893941217067048e-07,0.0277
0.2945,5.509087089467925e-07,0.035
0.2972,5.335299954017894e-07,0.0608
0.2985,5.999216441677797e-07,0.0756
0.302,5.670011207403714e-07,0.0493
0.3337,5.806220118122101e-07,0.0162
0.3688,4.867660724638044e-07,0.0197
0.3877,4.444833243263054e-07,0.0301
0.4076,4.2694899557442434e-07,0.027
0.4505,3.252175728111676e-07,0.0274
0.4979,7.220606799638992e-07,0.0163
0.5234,9.217358985609531e-07,0.0194
0.5502,1.016866468959412e-06,0.0175
0.5784,1.017149101560242e-06,0.0176
0.6081,9.997589295691726e-07,0.0195
0.6393,1.0817798824251443e-06,0.0186
0.6721,1.1197060249007318e-06,0.0171
0.7065,1.1702505429169816e-06,0.0164
0.7427,1.1597972470874733e-06,0.0157
0.7808,1.1096763163514947e-06,0.0168
0.8209,1.0592791837351083e-06,0.0195
0.8629,8.580828955727711e-07,0.0187
0.9072,6.932988655692481e-07,0.0205
0.9617,4.6832496659683425e-07,0.025
1.003,3.724555748142987e-07,0.034
1.108,6.084395669306635e-07,0.0195
1.165,1.0146358745041552e-06,0.0182
1.225,1.211694433834345e-06,0.0169
1.287,1.1589573639875626e-06,0.0173
1.353,8.302409682400699e-07,0.0213
1.423,1.3424586242374857e-06,0.0163
1.496,1.3767131434744037e-06,0.0151
1.572,1.4101860930169188e-06,0.0166
1.653,1.186829047746113e-06,0.0153
1.738,1.4586362323230006e-06,0.0143
1.827,1.7263129248636096e-06,0.0131
1.921,1.169491545373302e-06,0.0167
2.019,1.4691299691744649e-06,0.0134
2.122,1.7447800697712263e-06,0.0123
2.231,2.263026936837738e-06,0.0113
2.307,2.9400087348573984e-06,0.012
2.346,4.657913772219498e-06,0.0119
2.365,5.3377076218096815e-06,0.0153
2.385,4.058387891658606e-06,0.0184
2.466,2.9796773607090526e-06,0.0106
2.592,2.0341796381779044e-06,0.0107
2.725,1.8654180458345228e-06,0.0114
2.865,1.6443079475318454e-06,0.0129
3.012,1.4396166343116558e-06,0.0124
3.166,1.3990431672901144e-06,0.0122
3.329,8.33547843533092e-07,0.0173
3.679,7.032198748885338e-07,0.0135
4.066,9.571836325596785e-07,0.0114
4.493,1.0686463280077209e-06,0.0102
4.724,1.284854001030208e-06,0.013
4.966,1.3069672350468545e-06,0.0125
5.22,1.0819018212442122e-06,0.0139
5.488,1.3042356657812967e-06,0.0127
5.77,8.722705792384902e-07,0.0151
6.065,9.830300822669035e-07,0.014
6.376,1.095389809998778e-06,0.0126
6.592,1.207884494859575e-06,0.0149
6.703,1.0511669081481922e-06,0.0219
7.047,9.561369225728682e-07,0.0127
7.408,6.854448781359668e-07,0.0154
7.788,6.317799241333376e-07,0.0181
8.187,6.701599823194479e-07,0.0162
8.607,6.251522229433762e-07,0.0159
9.048,7.398908153642371e-07,0.0143
9.512,8.23604351387298e-07,0.0136
10.0,8.09840973974814e-07,0.0139
10.51,1.0905813956259395e-06,0.0118
11.05,1.363203174251477e-06,0.0106
11.62,9.085990437710086e-07,0.0143
12.21,9.531748022731335e-07,0.0127
12.52,1.1414490858877596e-06,0.0178
12.84,1.0692991553056032e-06,0.0166
13.5,9.43454925997494e-07,0.0122
13.84,6.767346455108632e-07,0.0208
14.19,1.638184262476995e-07,0.0438
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
