Energy,Value,Error,Angle
0.011927,1.985804044136722e-09,0.0288,24.9 deg
0.0125385,2.153515609300093e-08,0.0982,24.9 deg
0.0131815,2.153311225192172e-08,0.0824,24.9 deg
0.013857,2.0113578602352255e-08,0.086,24.9 deg
0.0145675,2.1015749246787358e-08,0.0794,24.9 deg
0.0153145,2.1961693744311326e-08,0.0797,24.9 deg
0.0160995,2.0011353262022766e-08,0.0768,24.9 deg
0.016925,2.4472236437262675e-08,0.0757,24.9 deg
0.017793,2.676287961471728e-08,0.0976,24.9 deg
0.0187055,2.5556822683984225e-08,0.0827,24.9 deg
0.0196645,3.056560077339312e-08,0.0718,24.9 deg
0.0206725,2.7483062171677516e-08,0.0759,24.9 deg
0.021732,3.312964864394123e-08,0.072,24.9 deg
0.0228465,2.865786247470206e-08,0.0735,24.9 deg
0.024018,2.8709375077642835e-08,0.0713,24.9 deg
0.025249,3.6618649067655025e-08,0.0675,24.9 deg
0.0265435,3.408912791012625e-08,0.0678,24.9 deg
0.0279045,3.36843321040838e-08,0.0651,24.9 deg
0.0293355,2.638870029156788e-08,0.073,24.9 deg
0.0308395,2.910839394815803e-08,0.0684,24.9 deg
0.0324205,2.961559675826193e-08,0.068,24.9 deg
0.034083,3.513172824132321e-08,0.0635,24.9 deg
0.0358305,3.494826896097632e-08,0.0622,24.9 deg
0.0376675,4.017887240514814e-08,0.0612,24.9 deg
0.039599,3.959328115007649e-08,0.0595,24.9 deg
0.0416295,4.555867542948044e-08,0.0591,24.9 deg
0.0437635,4.044621069513875e-08,0.0573,24.9 deg
0.046007,4.2410979426409434e-08,0.0575,24.9 deg
0.048366,4.789561981006765e-08,0.0571,24.9 deg
0.050846,4.890372665793319e-08,0.0528,24.9 deg
0.053453,5.3560800509073076e-08,0.0586,24.9 deg
0.0561935,5.358359105293373e-08,0.054,24.9 deg
0.0590745,5.0045734212547365e-08,0.0543,24.9 deg
0.0621035,6.371319142956487e-08,0.057,24.9 deg
0.0652875,6.284100483615937e-08,0.0503,24.9 deg
0.0686345,6.383212790407824e-08,0.0494,24.9 deg
0.0721535,6.907295026160069e-08,0.0486,24.9 deg
0.075853,7.138471175812101e-08,0.0476,24.9 deg
0.079742,7.40856351641018e-08,0.0452,24.9 deg
0.0838305,8.344999899642374e-08,0.0437,24.9 deg
0.088129,8.347027518281088e-08,0.044,24.9 deg
0.0926475,8.733924290893662e-08,0.042,24.9 deg
0.0973975,9.002136764164853e-08,0.042,24.9 deg
0.102391,1.0188431470350548e-07,0.0396,24.9 deg
0.10764,1.128336509059263e-07,0.0369,24.9 deg
0.11316,1.1545153857245062e-07,0.0368,24.9 deg
0.11896,1.133840226952068e-07,0.0372,24.9 deg
0.12506,1.2743989163018943e-07,0.0356,24.9 deg
0.131475,1.2713467055528783e-07,0.0338,24.9 deg
0.138215,1.2969407837451934e-07,0.0341,24.9 deg
0.1453,1.3807786545647316e-07,0.0345,24.9 deg
0.15275,1.4679884737876594e-07,0.0329,24.9 deg
0.16058,1.4164008350701285e-07,0.0337,24.9 deg
0.16881,1.5854706785642114e-07,0.0318,24.9 deg
0.17747,1.624264259381909e-07,0.0309,24.9 deg
0.18657,1.848218015677569e-07,0.0296,24.9 deg
0.196135,1.835455365454402e-07,0.0293,24.9 deg
0.20619,1.878828536415475e-07,0.0291,24.9 deg
0.21676,1.9325890510009867e-07,0.0284,24.9 deg
0.227875,2.1299238638518318e-07,0.0282,24.9 deg
0.23956,2.261018181321019e-07,0.0276,24.9 deg
0.251845,2.4030836361940666e-07,0.0267,24.9 deg
0.264755,2.5544371861674693e-07,0.0256,24.9 deg
0.278325,2.618125043587356e-07,0.0257,24.9 deg
0.292595,2.59650495152115e-07,0.0252,24.9 deg
0.3076,2.824387821483498e-07,0.0247,24.9 deg
0.32337,2.942380024804715e-07,0.0243,24.9 deg
0.33995,3.0936552641127366e-07,0.0234,24.9 deg
0.35738,3.144631228295739e-07,0.0229,24.9 deg
0.3757,3.1849734764475106e-07,0.0227,24.9 deg
0.394965,3.5080449462714736e-07,0.0215,24.9 deg
0.415215,3.684851220431425e-07,0.0217,24.9 deg
0.436505,2.829129226099415e-07,0.0246,24.9 deg
0.458885,3.706774527671991e-07,0.0221,24.9 deg
0.48241,4.2833105291941665e-07,0.0209,24.9 deg
0.507145,4.534365675380715e-07,0.0202,24.9 deg
0.533145,4.924487330088006e-07,0.02,24.9 deg
0.56048,5.161486863734272e-07,0.0193,24.9 deg
0.58922,5.982653838100597e-07,0.0186,24.9 deg
0.61943,7.155309697656859e-07,0.017,24.9 deg
0.65119,6.264119757245985e-07,0.0175,24.9 deg
0.68458,5.323268471941898e-07,0.0184,24.9 deg
0.719675,5.942288154418946e-07,0.0177,24.9 deg
0.75657,6.533669051949173e-07,0.0174,24.9 deg
0.79536,7.239451563409827e-07,0.0165,24.9 deg
0.83614,8.029143955182622e-07,0.0163,24.9 deg
0.87901,8.619483624786601e-07,0.0159,24.9 deg
0.92408,9.086288620145985e-07,0.0154,24.9 deg
0.97146,1.1618203874605473e-06,0.0142,24.9 deg
1.02127,8.755646081542222e-07,0.0151,24.9 deg
1.07365,8.488435666905521e-07,0.0149,24.9 deg
1.1287,8.331068520454717e-07,0.0155,24.9 deg
1.18655,1.1029199758376165e-06,0.0139,24.9 deg
1.2474,1.1190637712360725e-06,0.0136,24.9 deg
1.31135,1.2343387751602454e-06,0.0133,24.9 deg
1.37855,8.959165031915979e-07,0.0152,24.9 deg
1.44925,8.596060133985854e-07,0.0145,24.9 deg
1.52355,1.0624106618448089e-06,0.014,24.9 deg
1.60165,9.947868874889173e-07,0.0146,24.9 deg
1.6838,1.008155013385733e-06,0.0141,24.9 deg
