Energy,Value,Error
0.01,0.0,0.0
0.02,1.69895e-13,0.5007
0.05,8.4104e-13,0.2311
0.1,6.54108e-10,0.0099
0.2,4.40526e-12,0.1089
0.3,1.10801e-11,0.0705
0.4,9.2447e-10,0.0071
0.6,1.63378e-11,0.0668
0.8,4.19189e-10,0.0114
1.0,1.11914e-10,0.0218
1.22,1.92768e-11,0.0542
1.44,1.61009e-08,0.0018
1.66,4.36588e-10,0.0115
2.0,3.43465e-10,0.0126
2.5,4.50103e-09,0.0035
3.0,8.44759e-10,0.0081
4.0,3.11961e-09,0.0042
5.0,2.63441e-09,0.0046
6.5,1.94997e-09,0.0055
8.0,1.23245e-09,0.0068
10.0,5.12021e-10,0.0105
12.0,3.20708e-11,0.0377
14.0,4.92428e-13,0.3199
20.0,3.05695e-14,1.0
