Energy,Value,Error
1e-07,1.004598414352418e-11,0.0362
4.14e-07,3.8575323773874085e-10,0.0152
5.316e-07,9.369409828894144e-10,0.025
6.826e-07,1.2553750710702623e-09,0.0225
8.764e-07,1.6425118409896175e-09,0.0198
1.125e-06,2.0797690558254946e-09,0.0185
1.445e-06,2.6838611756772647e-09,0.0161
1.855e-06,3.3249434684227223e-09,0.0145
2.382e-06,4.22293786469565e-09,0.013
3.059e-06,5.427755578256353e-09,0.0118
3.928e-06,6.670950599432554e-09,0.0123
5.043e-06,8.550940747355581e-09,0.0099
6.476e-06,1.0568372639029502e-08,0.009
8.315e-06,1.3178649963157352e-08,0.008
1.068e-05,1.6371306886773284e-08,0.0073
1.371e-05,2.0205270282798415e-08,0.0066
1.76e-05,2.4969711700723376e-08,0.0063
2.26e-05,3.0510655309572033e-08,0.0055
2.902e-05,3.768831220262962e-08,0.0052
3.727e-05,4.5816311746819236e-08,0.0044
4.785e-05,5.62884771071987e-08,0.004
6.144e-05,6.867675505306358e-08,0.0036
7.889e-05,8.323380127848888e-08,0.0034
0.0001013,1.0082792058519143e-07,0.003
0.0001301,1.2188741427207662e-07,0.0028
0.000167,1.4665840599053412e-07,0.0026
0.0002145,1.7657046722866544e-07,0.0024
0.0002754,2.111467183235264e-07,0.0021
0.0003536,2.518026755943627e-07,0.002
0.000454,2.9792238474177494e-07,0.0018
0.0005829,3.537970128167722e-07,0.0016
0.0007485,4.173112587353001e-07,0.0015
0.0009611,4.907297531935651e-07,0.0014
0.001234,5.759554298671623e-07,0.0013
0.001585,6.727015730132894e-07,0.0012
0.002035,7.877871553238223e-07,0.0011
0.002249,8.742326989273383e-07,0.0017
0.002485,9.268723625981926e-07,0.0016
0.002613,9.718409233833028e-07,0.0022
0.002747,9.96948224531854e-07,0.0022
0.003035,1.0425265477300817e-06,0.0015
0.003355,1.1099622511026946e-06,0.0015
0.003707,1.1796195150841075e-06,0.0014
0.004307,1.2701018138708842e-06,0.0011
0.005531,1.4272867959183033e-06,0.0008
0.007102,1.6605921662206258e-06,0.0008
0.009119,1.924413360669108e-06,0.0007
0.01059,2.1634234499100024e-06,0.0008
0.01171,2.3298713663265863e-06,0.001
0.01503,2.5838702446593995e-06,0.0006
0.0193,2.9736312949373855e-06,0.0005
0.02187,3.2864216627830913e-06,0.0007
0.02358,3.4547346846304726e-06,0.0009
0.02418,3.5460212928931367e-06,0.0016
