Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,1.1264334249373381e-11,0.5112
1.125e-06,8.113706682742792e-11,0.2067
1.445e-06,1.5404574817272834e-10,0.1624
1.855e-06,1.616496425303438e-10,0.2051
2.382e-06,2.059360557699886e-10,0.1513
3.059e-06,2.147492170138267e-10,0.1496
3.928e-06,3.2640073993242794e-10,0.1154
5.043e-06,3.806587966354024e-10,0.1103
6.476e-06,5.777445281523958e-10,0.0949
8.315e-06,5.719999202007175e-10,0.092
1.068e-05,8.718169457928727e-10,0.0752
1.371e-05,1.0828152939565609e-09,0.0687
1.76e-05,1.4939020221802019e-09,0.0587
2.26e-05,2.0490859517614228e-09,0.0508
2.902e-05,2.686656201621947e-09,0.0456
3.727e-05,3.221426196737204e-09,0.0426
4.785e-05,4.005364052631045e-09,0.036
6.144e-05,5.212049087802647e-09,0.0326
7.889e-05,7.002425192646614e-09,0.0281
0.0001013,9.287693621682622e-09,0.0245
0.0001301,1.1557928907535924e-08,0.0222
0.000167,1.417407164529206e-08,0.0201
0.0002145,1.8811987220165253e-08,0.0175
0.0002754,2.347747662326169e-08,0.0152
0.0003536,3.073188120824182e-08,0.0136
0.000454,3.765013142429721e-08,0.0123
0.0005829,4.930008227643677e-08,0.0107
0.0007485,6.296920602384537e-08,0.0094
0.0009611,7.844172268945931e-08,0.0083
0.001234,9.752108562286434e-08,0.0076
0.001585,1.269357543514117e-07,0.0064
0.002035,1.6228910775208913e-07,0.0059
0.002249,1.9253053398890895e-07,0.0082
0.002485,2.1185528019598735e-07,0.0078
0.002613,2.2495572894023853e-07,0.0107
0.002747,2.344271426891389e-07,0.0103
0.003035,2.57570515322707e-07,0.0073
0.003355,2.729968631989122e-07,0.0068
0.003707,3.0966866514324324e-07,0.0064
0.004307,3.505963346210121e-07,0.0049
0.005531,4.271429687591183e-07,0.0034
0.007102,5.398151501918611e-07,0.003
0.009119,9.749635113435793e-07,0.0023
0.01059,5.085883957040391e-07,0.0042
0.01171,9.496601405470932e-07,0.0036
0.01503,1.1327376069107457e-06,0.0021
0.0193,1.4340096644514657e-06,0.0018
0.02187,1.7035336490448475e-06,0.0023
0.02358,2.053303879205845e-06,0.0027
0.02418,2.9188222117694343e-06,0.004
0.02479,3.3814925882673265e-06,0.0038
0.02606,1.7342268704069285e-06,0.0039
0.027,1.8248303355018758e-06,0.0045
0.0285,2.2347181371872205e-06,0.0031
0.03183,2.5492385626696964e-06,0.002
0.03431,2.5636560421441994e-06,0.0024
0.04087,4.760057511845151e-06,0.0012
0.04631,2.9339247638057406e-06,0.002
0.05248,5.80135519505124e-06,0.0014
0.05656,7.274207226834953e-06,0.0016
0.06738,6.90274845648369e-06,0.0011
0.07202,1.477465029111182e-06,0.0046
0.0795,6.03313343332703e-06,0.0015
0.0825,8.194454084065062e-06,0.0021
0.08652,8.499114791738121e-06,0.0018
0.09804,6.281658131992069e-06,0.0012
0.1111,1.8892146600731236e-06,0.0023
0.1168,9.643296207069476e-07,0.0053
0.1228,1.2061238062873353e-06,0.0047
0.1291,1.325609154371848e-06,0.0044
0.1357,1.577337606344981e-06,0.004
0.1426,1.925711501675262e-06,0.0037
0.15,1.91077064917684e-06,0.0037
0.1576,1.2319098377333787e-06,0.0046
0.1657,1.5857000572289543e-06,0.004
0.1742,2.107860168502315e-06,0.0035
0.1832,1.634892324480843e-06,0.0041
0.1925,2.1953361471505986e-06,0.0033
0.2024,1.6625734723588583e-06,0.0038
0.2128,2.4711007377063403e-06,0.0031
0.2237,3.0828710530530608e-06,0.0028
0.2352,2.677639526117136e-06,0.0031
0.2472,2.16307746597278e-06,0.0034
0.2732,4.487042734449326e-06,0.0017
0.2872,2.568739295182215e-06,0.0034
0.2945,4.648774051262772e-06,0.0034
0.2972,5.030872416983827e-06,0.0054
0.2985,4.0270859878033075e-06,0.009
0.302,2.3877668467793402e-06,0.0073
0.3337,2.8635169576775313e-06,0.0022
0.3688,3.5514700616940113e-06,0.0019
0.3877,4.979935612589671e-06,0.0023
0.4076,4.312862717019825e-06,0.0024
0.4505,5.320511165876535e-06,0.0015
0.4979,5.454583987783625e-06,0.0016
0.5234,7.181630382880015e-06,0.0019
0.5502,6.401832476272523e-06,0.002
0.5784,7.5152515815816155e-06,0.0019
0.6081,6.043315623868532e-06,0.0021
0.6393,8.050247640094074e-06,0.0018
0.6721,8.174613875515845e-06,0.0018
0.7065,9.329541847341846e-06,0.0017
0.7427,8.575137863055954e-06,0.0018
0.7808,9.809234319906964e-06,0.0016
0.8209,1.0125001485849491e-05,0.0016
0.8629,1.016838311917045e-05,0.0016
0.9072,7.996245062116005e-06,0.0018
0.9617,8.666254783226168e-06,0.0016
1.003,8.461020765288381e-06,0.0018
1.108,2.728244830070131e-06,0.0022
1.165,3.7241476516073347e-06,0.0026
1.225,4.0149736304818795e-06,0.0025
1.287,4.11461024918059e-06,0.0025
1.353,5.188218715590289e-06,0.0022
1.423,5.295465362737205e-06,0.0023
1.496,4.362135552098172e-06,0.0025
1.572,4.493660123852447e-06,0.0026
1.653,4.580706330869029e-06,0.0024
1.738,4.681172372932521e-06,0.0024
1.827,4.7690789966865704e-06,0.0024
1.921,4.809828251257748e-06,0.0023
2.019,4.851692054012224e-06,0.0023
2.122,4.913649734988485e-06,0.0023
2.231,4.912391702673102e-06,0.0023
2.307,4.955510302994866e-06,0.0028
2.346,4.943857787361284e-06,0.0039
2.365,4.9545442335534534e-06,0.0056
2.385,4.9280602522659e-06,0.0055
2.466,4.984807540893242e-06,0.0028
2.592,4.672324083496528e-06,0.0023
2.725,4.413248591921999e-06,0.0024
2.865,4.293639414825774e-06,0.0024
3.012,4.133786999327447e-06,0.0024
3.166,3.9712701073608315e-06,0.0025
3.329,3.825707845431951e-06,0.0025
3.679,3.684491546497281e-06,0.0018
4.066,3.496764738335272e-06,0.0018
4.493,3.3012815914012644e-06,0.0018
4.724,3.2237186645425357e-06,0.0025
4.966,3.198896610503839e-06,0.0025
5.22,3.1833271426660924e-06,0.0025
5.488,3.207934183497846e-06,0.0025
5.77,3.2103534310547915e-06,0.0025
6.065,3.255234376586363e-06,0.0024
6.376,3.3387327028520615e-06,0.0024
6.592,3.3452544736454877e-06,0.0029
6.703,3.3980571657419632e-06,0.0041
7.047,3.4335457226315633e-06,0.0023
7.408,3.5091724026145095e-06,0.0023
7.788,3.591065723264044e-06,0.0023
8.187,3.7219412687474986e-06,0.0022
8.607,3.884161931553367e-06,0.0022
9.048,4.078057040377847e-06,0.0022
9.512,4.365270227513539e-06,0.0021
10.0,4.986954710200485e-06,0.0019
10.51,9.941922045533407e-06,0.0014
11.05,1.0486965867947974e-05,0.0013
11.62,1.1113613241160025e-05,0.0013
12.21,1.1748171598720588e-05,0.0013
12.52,1.2218532724188891e-05,0.0018
12.84,1.249868620881816e-05,0.0018
13.5,1.2636344015399135e-05,0.0012
13.84,1.2175361903755527e-05,0.0018
14.19,5.045418055477336e-06,0.0028
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
