Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,7.498767028863946e-13,1.0
3.059e-06,5.479844825965546e-13,1.0
3.928e-06,1.862948600391647e-12,1.0
5.043e-06,0.0,0.0
6.476e-06,6.936173017837078e-12,0.3736
8.315e-06,1.3841361094964431e-11,0.3681
1.068e-05,2.8468742792961237e-11,0.2208
1.371e-05,3.572654640992916e-11,0.1665
1.76e-05,6.296747158293427e-11,0.1544
2.26e-05,9.395323194944002e-11,0.1296
2.902e-05,1.1275805998941342e-10,0.0979
3.727e-05,1.7260152580754942e-10,0.0835
4.785e-05,1.3460291483793093e-10,0.0938
6.144e-05,1.1284532693001337e-10,0.101
7.889e-05,2.0711187747325807e-11,0.2774
0.0001013,0.0,0.0
0.0001301,2.3512913211862186e-11,0.5259
0.000167,1.839137389864965e-11,0.2461
0.0002145,1.1732174007063227e-10,0.1108
0.0002754,8.458961192341318e-10,0.0552
0.0003536,9.153492966375471e-09,0.0121
0.000454,1.541190186691768e-08,0.0107
0.0005829,2.6665738682863934e-08,0.0088
0.0007485,7.475178751910477e-08,0.0056
0.0009611,2.1840005943607064e-07,0.003
0.001234,5.488086695242122e-07,0.0018
0.001585,7.375376797992348e-07,0.0016
0.002035,1.1296402922609969e-06,0.0013
0.002249,1.3899610242971331e-06,0.0019
0.002485,8.271780002187806e-07,0.0026
0.002613,1.318230975029012e-06,0.0028
0.002747,1.2291518306315738e-06,0.0031
0.003035,1.638773259193303e-06,0.0018
0.003355,1.6914247298042546e-06,0.0018
0.003707,2.2898101447640445e-06,0.0016
0.004307,2.721661027944316e-06,0.0011
0.005531,2.2159860580107316e-06,0.0009
0.007102,1.9271678453184692e-06,0.001
0.009119,1.971024397018171e-06,0.001
0.01059,5.811266720438076e-07,0.0025
0.01171,6.982740735245415e-07,0.0027
0.01503,9.030547319980421e-07,0.0016
0.0193,1.2346990212922712e-06,0.0013
0.02187,1.5328043164398315e-06,0.0017
0.02358,1.6851466889272871e-06,0.0021
0.02418,1.7683761802801139e-06,0.0035
0.02479,1.811166125813386e-06,0.0036
0.02606,1.8726862438521713e-06,0.0024
0.027,1.9361600161798933e-06,0.0029
0.0285,2.0176920033427774e-06,0.0023
0.03183,2.162867443794049e-06,0.0016
0.03431,2.3075503422310183e-06,0.002
0.04087,2.495749862016198e-06,0.0013
0.04631,2.710488165045635e-06,0.0015
0.05248,2.8743412358766418e-06,0.0015
0.05656,2.9903481762376946e-06,0.0019
0.06738,3.0969935322217735e-06,0.0013
0.07202,3.165328278841315e-06,0.0021
0.0795,3.194291013596303e-06,0.0017
0.0825,3.229829716226215e-06,0.0029
0.08652,3.254576758156363e-06,0.0024
0.09804,3.3559131389954763e-06,0.0015
0.1111,3.5381273182929292e-06,0.0015
0.1168,3.670223622067307e-06,0.0023
0.1228,3.750313512021601e-06,0.0023
0.1291,3.834777494654917e-06,0.0023
0.1357,3.904750389460622e-06,0.0024
0.1426,3.971252973979137e-06,0.0024
0.15,4.060204546421275e-06,0.0023
0.1576,4.1065549645309e-06,0.0023
0.1657,4.175742860521046e-06,0.0023
0.1742,4.2239561960170445e-06,0.0023
0.1832,4.254543018148302e-06,0.0022
0.1925,4.305430050150604e-06,0.0022
0.2024,4.373638007606049e-06,0.0022
0.2128,4.381978336733199e-06,0.0022
0.2237,4.402989032536895e-06,0.0022
0.2352,4.430270503794808e-06,0.0022
0.2472,4.457722484015682e-06,0.0022
0.2732,4.430406360374049e-06,0.0016
0.2872,4.4074493339367605e-06,0.0023
0.2945,4.3909271501206135e-06,0.0031
0.2972,4.345962505981116e-06,0.0051
0.2985,4.356026423305376e-06,0.0076
0.302,4.357633318695721e-06,0.0047
0.3337,4.291253009844869e-06,0.0016
0.3688,4.136569230026871e-06,0.0016
0.3877,4.002732998328994e-06,0.0023
0.4076,3.867547724466754e-06,0.0024
0.4505,3.6689565807379753e-06,0.0017
0.4979,3.3618956856696857e-06,0.0018
0.5234,3.097619804676524e-06,0.0027
0.5502,2.8996798023633205e-06,0.0028
0.5784,2.6787467163176775e-06,0.0028
0.6081,2.5029121450953307e-06,0.003
0.6393,2.35545541194083e-06,0.0031
0.6721,2.2172228327918135e-06,0.0031
0.7065,2.0822555595069227e-06,0.0032
0.7427,1.9649585670641276e-06,0.0033
0.7808,1.8483417944643972e-06,0.0033
0.8209,1.7517139311577761e-06,0.0035
0.8629,1.6444087036973726e-06,0.0042
0.9072,1.5134150917814101e-06,0.0037
0.9617,1.410484020468941e-06,0.0037
1.003,1.318126631496193e-06,0.0043
1.108,1.2304707904494088e-06,0.0029
1.165,1.1568001577297351e-06,0.0042
1.225,1.1086811914134282e-06,0.0042
1.287,1.0778038360875434e-06,0.0043
1.353,1.0347783403009375e-06,0.0043
1.423,9.962458610314145e-07,0.0044
1.496,9.694496307437653e-07,0.0045
1.572,9.303017438166224e-07,0.0046
1.653,8.871920317289504e-07,0.0045
1.738,8.521692508449875e-07,0.0046
1.827,8.153002748165774e-07,0.0047
1.921,7.740289144146076e-07,0.0047
2.019,7.295937703539384e-07,0.0049
2.122,6.917580829181496e-07,0.0051
2.231,6.429554251893008e-07,0.0053
2.307,6.030617218971113e-07,0.0066
2.346,5.790516929055323e-07,0.0094
2.365,5.569214824459462e-07,0.0131
2.385,5.656052825140309e-07,0.0136
2.466,5.462287213742431e-07,0.0067
2.592,5.110894401470426e-07,0.0057
2.725,4.636975652581261e-07,0.0062
2.865,4.2198668449562833e-07,0.0065
3.012,3.832203896513403e-07,0.0066
3.166,3.465340571499383e-07,0.007
3.329,3.1343148613177436e-07,0.0076
3.679,2.6737483933005313e-07,0.0054
4.066,2.2861915886488325e-07,0.0061
4.493,1.9075030528744585e-07,0.0065
4.724,1.7552992748792744e-07,0.0095
4.966,1.6641436287538215e-07,0.0095
5.22,1.62410968029506e-07,0.0105
5.488,1.607460446388695e-07,0.0094
5.77,1.5945956109419032e-07,0.0095
6.065,1.645241669053585e-07,0.0095
6.376,1.6982806509208365e-07,0.009
6.592,1.7760464767415016e-07,0.0108
6.703,1.8049878696475647e-07,0.0148
7.047,1.9091587612984019e-07,0.0094
7.408,1.9876816565540774e-07,0.008
7.788,2.1755335760327956e-07,0.0076
8.187,2.330463900766404e-07,0.0074
8.607,2.5081606182102784e-07,0.0071
9.048,2.6959901167992705e-07,0.0067
9.512,2.918611727771661e-07,0.0063
10.0,3.807804217725204e-07,0.0056
10.51,6.691194264684725e-07,0.004
11.05,7.171711409235986e-07,0.0039
11.62,7.579150813127104e-07,0.0038
12.21,7.970353995198397e-07,0.0036
12.52,8.333653227931591e-07,0.0049
12.84,8.456794122896127e-07,0.0049
13.5,8.871230652264971e-07,0.0034
13.84,8.444046334570541e-07,0.0047
14.19,2.449366338426028e-07,0.0085
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
