Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,8.464494430782102e-13,1.0
1.76e-05,5.0422100883964015e-12,0.6573
2.26e-05,1.3662652587474149e-12,1.0
2.902e-05,1.0446243269836968e-12,1.0
3.727e-05,1.6784899372298963e-12,1.0
4.785e-05,0.0,0.0
6.144e-05,5.955958930667092e-11,0.3298
7.889e-05,2.227506910718615e-10,0.0944
0.0001013,3.1123264420315925e-10,0.0887
0.0001301,3.102743138366897e-10,0.0699
0.000167,4.047812375328594e-10,0.0655
0.0002145,6.856455471130491e-10,0.0542
0.0002754,7.966753542333321e-10,0.0515
0.0003536,9.850935485912929e-10,0.0469
0.000454,7.10604504094933e-10,0.0529
0.0005829,9.831927292266448e-10,0.043
0.0007485,1.0955845225186782e-09,0.0398
0.0009611,1.4576456818080741e-09,0.0346
0.001234,2.2716056967300447e-09,0.0376
0.001585,3.314235619773912e-09,0.023
0.002035,3.344104996108118e-09,0.027
0.002249,7.226383182867264e-09,0.0258
0.002485,8.663554534551524e-09,0.0234
0.002613,9.903909559227649e-09,0.0328
0.002747,1.0771455104957334e-08,0.0283
0.003035,1.2592724126975351e-08,0.0201
0.003355,1.5802718811323132e-08,0.0179
0.003707,1.8722144927531666e-08,0.0161
0.004307,2.5556550366635783e-08,0.0122
0.005531,4.0165192075454943e-08,0.0075
0.007102,7.101458334842201e-08,0.0056
0.009119,1.2751070633781268e-07,0.0042
0.01059,1.9645735811042173e-07,0.0043
0.01171,2.5792023871153964e-07,0.0044
0.01503,3.6749860935469797e-07,0.0024
0.0193,5.811397508498932e-07,0.0019
0.02187,7.668845167803845e-07,0.0024
0.02358,8.746350059651358e-07,0.0029
0.02418,9.269529301500493e-07,0.0047
0.02479,9.48748687858349e-07,0.0049
0.02606,9.91600973672205e-07,0.0036
0.027,1.0340622454519928e-06,0.0039
0.0285,1.0744458219815533e-06,0.0031
0.03183,1.1530412416567913e-06,0.0021
0.03431,1.235758317624277e-06,0.0026
0.04087,1.3307541397064213e-06,0.0016
0.04631,1.4067358913664083e-06,0.0018
0.05248,1.4397610797398597e-06,0.0018
0.05656,1.4381618400192676e-06,0.0023
0.06738,1.412661210848087e-06,0.0015
0.07202,1.3597861191245526e-06,0.0025
0.0795,1.308884317615363e-06,0.0022
0.0825,1.261209399157425e-06,0.0037
0.08652,1.2286130252315095e-06,0.0033
0.09804,1.1510723906734743e-06,0.0021
0.1111,1.0301775846647723e-06,0.0024
0.1168,9.458515847727253e-07,0.0039
0.1228,8.960024951967933e-07,0.0044
0.1291,8.408287581240987e-07,0.0043
0.1357,7.886537608340204e-07,0.0044
0.1426,7.457717986288742e-07,0.0047
0.15,6.876254560413051e-07,0.0049
0.1576,6.432185138269557e-07,0.0053
0.1657,5.884205364283774e-07,0.0054
0.1742,5.53481709552682e-07,0.006
0.1832,5.021460526640852e-07,0.0062
0.1925,4.552614382868742e-07,0.0067
0.2024,4.1114434569282705e-07,0.009
0.2128,3.6926510163673673e-07,0.0093
0.2237,3.314568333996678e-07,0.0078
0.2352,2.961998217066319e-07,0.0083
0.2472,2.7339001811937696e-07,0.0085
0.2732,2.42594468827733e-07,0.0067
0.2872,2.2210234168568686e-07,0.0099
0.2945,2.1605873115776364e-07,0.0155
0.2972,2.1587476795605016e-07,0.0237
0.2985,2.2481659399011926e-07,0.0448
0.302,2.1438808228164145e-07,0.0212
0.3337,1.9960653677757072e-07,0.008
0.3688,1.8851317873575892e-07,0.0078
0.3877,1.8242622815604978e-07,0.011
0.4076,1.7372399139273391e-07,0.0115
0.4505,1.6255432549528333e-07,0.009
0.4979,1.617124123272389e-07,0.0094
0.5234,1.585845355133646e-07,0.0137
0.5502,1.53971719866496e-07,0.0138
0.5784,1.5271161028717962e-07,0.0121
0.6081,1.481413247751876e-07,0.0154
0.6393,1.4039976446674954e-07,0.0138
0.6721,1.3488153867304144e-07,0.0133
0.7065,1.2923695486135156e-07,0.0136
0.7427,1.2217316556481794e-07,0.0141
0.7808,1.1174161615370222e-07,0.0163
0.8209,9.669890273549005e-08,0.0177
0.8629,8.554434853180794e-08,0.0173
0.9072,7.630753793405335e-08,0.0207
0.9617,7.043069681280337e-08,0.0175
1.003,6.503863762948655e-08,0.0234
1.108,6.31674550070783e-08,0.0141
1.165,5.871781990788987e-08,0.0216
1.225,5.5221692951604456e-08,0.0223
1.287,5.4112883987481064e-08,0.0212
1.353,4.647371434379774e-08,0.0228
1.423,4.247212254626381e-08,0.0237
1.496,3.642252358115468e-08,0.025
1.572,3.382423771900037e-08,0.025
1.653,3.295077695784131e-08,0.0275
1.738,3.4167538699411235e-08,0.0302
1.827,2.819248971358527e-08,0.028
1.921,2.6275145844127163e-08,0.0301
2.019,2.270117490573202e-08,0.0325
2.122,2.08174975847322e-08,0.0326
2.231,2.083852587145009e-08,0.032
2.307,1.9485574003394792e-08,0.0384
2.346,2.2699964053407618e-08,0.0614
2.365,1.7558049746644128e-08,0.084
2.385,1.841445367843317e-08,0.0707
2.466,1.8753181075913714e-08,0.0403
2.592,1.8492817634224846e-08,0.0343
2.725,1.844845947912e-08,0.0314
2.865,1.7495596082945113e-08,0.0335
3.012,1.6871246276966766e-08,0.0352
3.166,1.7374732873288427e-08,0.042
3.329,1.7257415880696138e-08,0.0346
3.679,1.6710577349656065e-08,0.0257
4.066,1.648631061648462e-08,0.0254
4.493,1.529767679183735e-08,0.0249
4.724,1.5753979735528772e-08,0.0346
4.966,1.6428300615792833e-08,0.0363
5.22,1.6163615053714774e-08,0.0364
5.488,1.6206109592236055e-08,0.0321
5.77,1.607779084516359e-08,0.0328
6.065,1.6266284685600365e-08,0.0313
6.376,1.653088434703732e-08,0.0318
6.592,1.84669753084708e-08,0.043
6.703,1.7932621916579892e-08,0.0552
7.047,1.8233211172973488e-08,0.0305
7.408,1.7653691505083316e-08,0.0308
7.788,1.8100660048467813e-08,0.031
8.187,2.0426134411155818e-08,0.0297
8.607,2.117361773410518e-08,0.0311
9.048,2.2874879658256692e-08,0.029
9.512,2.280964620757387e-08,0.025
10.0,2.89466914892612e-08,0.0229
10.51,4.204286390733868e-08,0.0192
11.05,4.4439039538247425e-08,0.0176
11.62,4.740689635097831e-08,0.0179
12.21,5.0505237423975745e-08,0.0159
12.52,5.378333715450524e-08,0.0246
12.84,5.499222232479809e-08,0.0219
13.5,5.52832693975292e-08,0.0153
13.84,5.247119802618685e-08,0.0207
14.19,1.0900060192959615e-08,0.0436
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
