Energy,Value,Error
0.01,0.0,0.0
0.02,4.20286e-10,0.0834
0.05,1.52869e-11,0.5649
0.1,6.56014e-10,0.1194
0.2,3.78844e-08,0.0113
0.3,1.0303e-07,0.0075
0.4,1.02918e-07,0.0082
0.6,2.03932e-07,0.0048
0.8,1.12178e-07,0.0058
1.0,8.34206e-08,0.0064
1.22,7.744e-08,0.0065
1.44,6.79119e-08,0.0072
1.66,6.07674e-08,0.0079
2.0,8.09373e-08,0.0071
2.5,9.11552e-08,0.0063
3.0,6.28123e-08,0.0071
4.0,7.24364e-08,0.0068
5.0,4.9146e-08,0.0083
6.5,4.51351e-08,0.009
8.0,3.97423e-11,0.1868
10.0,1.41931e-12,1.0
12.0,0.0,0.0
14.0,4.16393e-12,0.7196
20.0,3.32335e-12,0.5928
