Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,3.156820043101445e-13,1.0
6.476e-06,1.0124353608258032e-11,0.2389
8.315e-06,5.718158893400889e-11,0.1159
1.068e-05,1.2739435407571446e-10,0.0638
1.371e-05,1.047792643953462e-10,0.1084
1.76e-05,2.2079772357612575e-11,0.1843
2.26e-05,6.831206318214112e-10,0.0353
2.902e-05,1.789607012721474e-09,0.027
3.727e-05,1.2220134470762144e-09,0.0302
4.785e-05,5.603595832681662e-10,0.0406
6.144e-05,1.138501672404266e-10,0.082
7.889e-05,1.1212656540338974e-10,0.1031
0.0001013,7.156765819134844e-11,0.0899
0.0001301,5.923898665792136e-10,0.0441
0.000167,4.683038971599365e-10,0.0395
0.0002145,3.2280966419897494e-10,0.0453
0.0002754,6.679435070984872e-10,0.0352
0.0003536,2.427301614978555e-09,0.0188
0.000454,1.422945488380276e-09,0.0233
0.0005829,1.9241076669320794e-09,0.0191
0.0007485,3.772045718541926e-09,0.0161
0.0009611,6.484171752315313e-09,0.0112
0.001234,8.990798973774046e-09,0.013
0.001585,1.1022417791779218e-08,0.009
0.002035,1.604980730922612e-08,0.0073
0.002249,2.2016433769180146e-08,0.0096
0.002485,2.7962664229800074e-08,0.0093
0.002613,3.131525027336368e-08,0.0114
0.002747,2.4677456934351234e-08,0.0125
0.003035,3.138251443297851e-08,0.008
0.003355,3.386590468247171e-08,0.0077
0.003707,3.3381191606883375e-08,0.0073
0.004307,2.184821222540144e-08,0.0079
0.005531,1.223986092957147e-08,0.0089
0.007102,1.3265745922563425e-08,0.0083
0.009119,1.9850013075059523e-08,0.0061
0.01059,2.9013304517996243e-08,0.0075
0.01171,3.681288072079771e-08,0.0093
0.01503,5.2983708716562066e-08,0.0039
0.0193,8.895975555441083e-08,0.003
0.02187,1.3185187257626465e-07,0.0035
0.02358,1.628453988389371e-07,0.004
0.02418,1.7943045161104706e-07,0.0067
0.02479,1.9306788552346056e-07,0.0069
0.02606,2.0518912149790496e-07,0.0045
0.027,2.26136403170062e-07,0.005
0.0285,2.4628600632969194e-07,0.0038
0.03183,2.9176919652399805e-07,0.0024
0.03431,3.4999912763154654e-07,0.0028
0.04087,4.4192413789206127e-07,0.0016
0.04631,5.635546206619858e-07,0.0017
0.05248,6.729116296868428e-07,0.0016
0.05656,7.670427992882517e-07,0.0019
0.06738,8.888395488267686e-07,0.0012
0.07202,1.0104117921742399e-06,0.0018
0.0795,1.098517608601789e-06,0.0014
0.0825,1.174228044202777e-06,0.0022
0.08652,1.217363965009833e-06,0.0019
0.09804,1.319296447768647e-06,0.0012
0.1111,1.6440108204394963e-06,0.001
0.1168,1.8800007465714247e-06,0.0016
0.1228,2.0074881177711386e-06,0.0015
0.1291,2.138384902599159e-06,0.0014
0.1357,2.257634383419859e-06,0.0014
0.1426,2.3977486769964406e-06,0.0014
0.15,2.5172861007089865e-06,0.0013
0.1576,2.6392778539420293e-06,0.0014
0.1657,2.7445418772344214e-06,0.0014
0.1742,2.840012042746628e-06,0.0013
0.1832,2.9177327279974773e-06,0.0013
0.1925,2.970735627464783e-06,0.0013
0.2024,2.9875702144534847e-06,0.0013
0.2128,2.972709101055351e-06,0.0013
0.2237,2.923821900029297e-06,0.0013
0.2352,2.843746493464302e-06,0.0014
0.2472,2.7293987100369483e-06,0.0014
0.2732,2.4953502448551003e-06,0.001
0.2872,2.186786099263805e-06,0.0016
0.2945,1.9926999751417506e-06,0.0024
0.2972,1.922244639595657e-06,0.0044
0.2985,1.8785690439409212e-06,0.0061
0.302,1.8365655599796976e-06,0.0039
0.3337,1.5766710332319622e-06,0.0015
0.3688,1.2130931438524854e-06,0.0017
0.3877,1.008012569325147e-06,0.0028
0.4076,9.074177010434392e-07,0.0029
0.4505,7.848007038026304e-07,0.0022
0.4979,7.013662012465698e-07,0.0024
0.5234,6.63114396564081e-07,0.0037
0.5502,6.376179567897908e-07,0.004
0.5784,6.144087937583017e-07,0.0042
0.6081,5.87482388391665e-07,0.0039
0.6393,5.601716423739235e-07,0.0039
0.6721,5.332507355274299e-07,0.0043
0.7065,5.092949723275895e-07,0.0042
0.7427,4.848326684880462e-07,0.0042
0.7808,4.613743303504093e-07,0.0044
0.8209,4.4348633853216503e-07,0.0046
0.8629,4.2573066134693925e-07,0.0046
0.9072,4.116241047700288e-07,0.0048
0.9617,3.9158123572718953e-07,0.0048
1.003,3.7138537534768124e-07,0.0055
1.108,3.5737157766843614e-07,0.0035
1.165,3.4535778192806765e-07,0.005
1.225,3.3925094474501853e-07,0.0052
1.287,3.30348004918559e-07,0.0052
1.353,3.224148050490408e-07,0.0052
1.423,3.1257874041315895e-07,0.0052
1.496,3.04414204183984e-07,0.0053
1.572,2.922620621512581e-07,0.0054
1.653,2.869327902721292e-07,0.0054
1.738,2.711852819394864e-07,0.0054
1.827,2.610099039501773e-07,0.0056
1.921,2.4621388674956735e-07,0.006
2.019,2.344941952228971e-07,0.0059
2.122,2.230372956394745e-07,0.0065
2.231,2.0662246260554625e-07,0.0061
2.307,1.9208214688785606e-07,0.0076
2.346,1.8461657539206343e-07,0.0111
2.365,1.804117257449365e-07,0.0158
2.385,1.7538915102492707e-07,0.0165
2.466,1.7103425479606104e-07,0.0083
2.592,1.5715707302291294e-07,0.0075
2.725,1.4146265043167944e-07,0.0072
2.865,1.2550079406385652e-07,0.0076
3.012,1.1134791908669073e-07,0.0081
3.166,9.912192002186698e-08,0.0085
3.329,8.768360957104758e-08,0.009
3.679,7.618760480199246e-08,0.0066
4.066,6.52911650340547e-08,0.0073
4.493,5.8504070455504965e-08,0.0075
4.724,5.589478421036461e-08,0.0107
4.966,5.384738235779882e-08,0.011
5.22,5.380320638721097e-08,0.0108
5.488,5.6353862291813477e-08,0.0105
5.77,5.7761216169062224e-08,0.0101
6.065,6.092258355702666e-08,0.0102
6.376,6.419458425911617e-08,0.0095
6.592,6.873514927782825e-08,0.0114
6.703,7.097568457448808e-08,0.0156
7.047,7.431403170833492e-08,0.0088
7.408,8.117376935977749e-08,0.0089
7.788,8.61635477519785e-08,0.0082
8.187,9.358442353186718e-08,0.0078
8.607,1.0351362107659393e-07,0.0074
9.048,1.1554855178910932e-07,0.007
9.512,1.387210889307137e-07,0.0065
10.0,1.7747699992974637e-07,0.0057
10.51,2.885081719190061e-07,0.0043
11.05,3.073373908547148e-07,0.0041
11.62,3.299420099997296e-07,0.0038
12.21,3.4788727944954903e-07,0.0038
12.52,3.5872695361207214e-07,0.0052
12.84,3.6222895704507916e-07,0.0053
13.5,3.436151735335268e-07,0.0036
13.84,3.147455744236285e-07,0.0052
14.19,8.737417842975994e-08,0.0094
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
