Energy,Value,Error
0.01,7.298210072982101e-10,0.3229
0.02,0.0,0.0
0.05,1.2368033333333332e-07,0.0223
0.1,4.8486e-10,0.2058
0.2,8.116859999999998e-08,0.0205
0.3,5.958950000000002e-07,0.0074
0.4,9.640259999999997e-07,0.0044
0.6,1.9361250000000005e-06,0.0022
0.8,1.1198649999999995e-06,0.0028
1.0,9.522000000000002e-07,0.0028
1.22,8.118636363636365e-07,0.0029
1.44,7.032954545454546e-07,0.0031
1.66,6.243045454545455e-07,0.0033
2.0,4.850352941176469e-07,0.003
2.5,3.52856e-07,0.003
3.0,2.29714e-07,0.0034
4.0,1.17549e-07,0.0034
5.0,4.10108e-08,0.0058
6.5,5.377213333333333e-09,0.013
8.0,6.691599999999999e-11,0.1288
10.0,5.71365e-12,0.359
12.0,4.576935e-13,1.0
14.0,3.238055e-12,0.4807
20.0,2.5442166666666666e-12,0.3735
