Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,0.0,0.0
1.371e-05,0.0,0.0
1.76e-05,0.0,0.0
2.26e-05,0.0,0.0
2.902e-05,6.73127e-13,0.4816
3.727e-05,5.69878e-13,0.5774
4.785e-05,2.26094e-13,0.7428
6.144e-05,1.12585e-11,0.1193
7.889e-05,1.14487e-11,0.1105
0.0001013,1.06651e-11,0.1731
0.0001301,8.39698e-11,0.0514
0.000167,1.4756e-10,0.0357
0.0002145,2.31076e-10,0.0252
0.0002754,1.56286e-10,0.0323
0.0003536,2.10059e-10,0.0318
0.000454,8.59614e-10,0.0128
0.0005829,1.01789e-09,0.0117
0.0007485,2.08556e-10,0.0285
0.0009611,5.87936e-10,0.0194
0.001234,2.08433e-09,0.0088
0.001585,2.74789e-09,0.0078
0.002035,9.75488e-09,0.004
0.002249,7.58071e-09,0.0045
0.002485,1.77807e-10,0.0366
0.002613,1.41305e-10,0.0371
0.002747,9.3273e-10,0.0141
0.003035,2.83699e-09,0.0073
0.003355,3.18669e-09,0.0068
0.003707,3.45958e-09,0.0067
0.004307,5.93273e-09,0.005
0.005531,1.20404e-08,0.0035
0.007102,1.5878e-08,0.0031
0.009119,2.09042e-08,0.0027
0.01059,1.5493e-08,0.0031
0.01171,1.18114e-08,0.0036
0.01503,3.61033e-08,0.002
0.0193,4.92773e-08,0.0018
0.02187,3.20995e-08,0.0022
0.02358,2.14963e-08,0.0027
0.02418,7.55662e-09,0.0045
0.02479,7.84386e-09,0.0045
0.02606,1.6616e-08,0.0031
0.027,1.2415e-08,0.0045
0.0285,2.00097e-08,0.0029
0.03183,4.60829e-08,0.0019
0.03431,3.57223e-08,0.0021
0.04087,9.96994e-08,0.0013
0.04631,8.72177e-08,0.0014
0.05248,1.03849e-07,0.0013
0.05656,6.95926e-08,0.0016
0.06738,1.87109e-07,0.001
0.07202,7.91043e-08,0.0015
0.0795,1.18922e-07,0.0012
0.0825,4.42674e-08,0.002
0.08652,5.58184e-08,0.0019
0.09804,1.38745e-07,0.0012
0.1111,1.37276e-07,0.0012
0.1168,6.11372e-08,0.0018
0.1228,6.53799e-08,0.0017
0.1291,6.98011e-08,0.0017
0.1357,7.38101e-08,0.0016
0.1426,7.72889e-08,0.0016
0.15,8.31661e-08,0.0015
0.1576,8.55157e-08,0.0015
0.1657,9.08227e-08,0.0015
0.1742,9.6119e-08,0.0014
0.1832,1.00387e-07,0.0014
0.1925,1.04253e-07,0.0014
0.2024,1.10868e-07,0.0013
0.2128,1.16018e-07,0.0013
0.2237,1.2161e-07,0.0013
0.2352,1.2696e-07,0.0012
0.2472,1.29657e-07,0.0012
0.2732,2.72639e-07,0.0009
0.2872,1.41476e-07,0.0012
0.2945,7.22818e-08,0.0017
0.2972,2.63745e-08,0.0028
0.2985,1.25153e-08,0.0039
0.302,3.04135e-08,0.0026
0.3337,2.43751e-07,0.0009
0.3688,2.32912e-07,0.001
0.3877,1.09432e-07,0.0014
0.4076,1.06911e-07,0.0015
0.4505,2.05694e-07,0.0011
0.4979,1.94981e-07,0.0011
0.5234,9.35726e-08,0.0016
0.5502,9.07758e-08,0.0016
0.5784,8.68931e-08,0.0017
0.6081,8.10455e-08,0.0017
0.6393,7.36186e-08,0.0019
0.6721,6.68186e-08,0.002
0.7065,6.22439e-08,0.0021
0.7427,5.95446e-08,0.0021
0.7808,5.66972e-08,0.0022
0.8209,5.44373e-08,0.0022
0.8629,5.21772e-08,0.0023
0.9072,4.99848e-08,0.0024
0.9617,5.38366e-08,0.0023
1.003,3.42213e-08,0.003
1.108,7.10134e-08,0.0021
1.165,3.21794e-08,0.0031
1.225,3.01768e-08,0.0032
1.287,2.7924e-08,0.0035
1.353,2.64699e-08,0.0036
1.423,2.48918e-08,0.0037
1.496,2.32054e-08,0.0038
1.572,2.13952e-08,0.0039
1.653,2.03008e-08,0.0042
1.738,1.87704e-08,0.0042
1.827,1.7511e-08,0.0044
1.921,1.62814e-08,0.0045
2.019,1.50681e-08,0.0047
2.122,1.39792e-08,0.0048
2.231,1.2968e-08,0.0053
2.307,8.00741e-09,0.0062
2.346,3.88053e-09,0.0102
2.365,1.82202e-09,0.0125
2.385,1.90544e-09,0.0131
2.466,7.30609e-09,0.0065
2.592,1.02493e-08,0.0055
2.725,9.65363e-09,0.0057
2.865,9.10955e-09,0.0059
3.012,8.62769e-09,0.0059
3.166,8.21947e-09,0.0061
3.329,7.99562e-09,0.0061
3.679,1.51481e-08,0.0046
4.066,1.47845e-08,0.0044
4.493,1.47822e-08,0.0042
4.724,7.67538e-09,0.006
4.966,7.95646e-09,0.0059
5.22,8.28263e-09,0.0058
5.488,8.70142e-09,0.0055
5.77,9.22672e-09,0.0055
6.065,9.58925e-09,0.0053
6.376,1.0154e-08,0.0052
6.592,7.01651e-09,0.0063
6.703,3.63321e-09,0.0085
7.047,1.13058e-08,0.0048
7.408,1.18868e-08,0.0047
7.788,1.26682e-08,0.0046
8.187,1.31667e-08,0.0046
8.607,1.40525e-08,0.0044
9.048,1.52219e-08,0.0043
9.512,1.69189e-08,0.004
10.0,2.23328e-08,0.0036
10.51,3.74097e-08,0.0026
11.05,4.06843e-08,0.0025
11.62,4.4123e-08,0.0024
12.21,4.68946e-08,0.0024
12.52,2.50241e-08,0.0032
12.84,2.58914e-08,0.0031
13.5,5.24023e-08,0.0022
13.84,2.25795e-08,0.0031
14.19,7.06283e-09,0.0054
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
