Energy,Value,Error
0.01,1.6440000164400001e-09,0.2308
0.02,2.81189e-10,0.9198
0.05,1.2000766666666666e-07,0.025
0.1,2.56162e-08,0.0348
0.2,8.09145e-08,0.0136
0.3,3.213680000000001e-07,0.0078
0.4,6.167279999999998e-07,0.0046
0.6,1.1559150000000002e-06,0.0025
0.8,8.335799999999997e-07,0.0026
1.0,8.080200000000002e-07,0.0027
1.22,6.589772727272729e-07,0.0029
1.44,5.767000000000001e-07,0.0029
1.66,4.88009090909091e-07,0.0031
2.0,4.2007352941176465e-07,0.0028
2.5,3.32276e-07,0.0025
3.0,2.633e-07,0.0028
4.0,1.38013e-07,0.0028
5.0,5.04716e-08,0.0046
6.5,1.7736466666666665e-08,0.0075
8.0,2.6039533333333333e-10,0.0427
10.0,1.74939e-11,0.3483
12.0,7.3568e-12,0.2568
14.0,2.99952e-12,0.6221
20.0,1.19458e-12,0.2219
