Energy,Value,Error
0.01,7.8610900786109e-10,0.405
0.02,0.0,0.0
0.05,2.893903333333333e-10,0.2102
0.1,2.0086e-08,0.0272
0.2,1.40807e-08,0.028
0.3,5.7099000000000014e-08,0.0134
0.4,8.558569999999997e-08,0.0207
0.6,1.3420500000000003e-07,0.0072
0.8,8.947649999999996e-08,0.0081
1.0,9.418500000000002e-08,0.0063
1.22,1.1529045454545456e-07,0.0055
1.44,1.0675818181818183e-07,0.0056
1.66,8.101363636363637e-08,0.0064
2.0,6.36755882352941e-08,0.0061
2.5,4.55618e-08,0.0056
3.0,2.9812e-08,0.0068
4.0,1.53496e-08,0.0066
5.0,5.95105e-09,0.0115
6.5,1.9859133333333335e-09,0.0157
8.0,2.86014e-10,0.0372
10.0,4.748405e-12,0.1905
12.0,5.41785e-13,0.7155
14.0,8.1772e-13,0.5936
20.0,4.62075e-13,0.6876
