Energy,Value,Error
1e-07,0.0,0.0
4.14e-07,0.0,0.0
5.316e-07,0.0,0.0
6.826e-07,0.0,0.0
8.764e-07,0.0,0.0
1.125e-06,0.0,0.0
1.445e-06,0.0,0.0
1.855e-06,0.0,0.0
2.382e-06,0.0,0.0
3.059e-06,0.0,0.0
3.928e-06,0.0,0.0
5.043e-06,0.0,0.0
6.476e-06,0.0,0.0
8.315e-06,0.0,0.0
1.068e-05,2.13894e-12,0.6724
1.371e-05,2.76941e-12,0.2432
1.76e-05,8.04043e-13,0.4519
2.26e-05,2.8496e-13,0.8081
2.902e-05,0.0,0.0
3.727e-05,1.28946e-13,1.0
4.785e-05,0.0,0.0
6.144e-05,1.79896e-11,0.1188
7.889e-05,3.64482e-12,0.3101
0.0001013,1.99625e-12,0.3025
0.0001301,0.0,0.0
0.000167,2.76781e-12,0.4139
0.0002145,2.52016e-12,0.283
0.0002754,1.5273e-12,0.3315
0.0003536,4.70684e-13,0.524
0.000454,1.2637e-12,0.3364
0.0005829,4.32837e-12,0.2962
0.0007485,4.32825e-12,0.1953
0.0009611,1.01809e-11,0.1361
0.001234,1.5114e-11,0.1101
0.001585,2.20538e-11,0.1003
0.002035,4.16027e-11,0.0756
0.002249,2.0333e-11,0.1081
0.002485,2.53424e-11,0.0857
0.002613,1.54426e-11,0.1084
0.002747,1.89637e-11,0.124
0.003035,4.53569e-11,0.0814
0.003355,5.11276e-11,0.0695
0.003707,7.10763e-11,0.0581
0.004307,1.24028e-10,0.043
0.005531,3.30935e-10,0.0303
0.007102,5.83163e-10,0.0215
0.009119,9.99053e-10,0.0166
0.01059,9.17733e-10,0.0162
0.01171,7.7214e-10,0.019
0.01503,2.94136e-09,0.0103
0.0193,5.49986e-09,0.0074
0.02187,4.47128e-09,0.0083
0.02358,3.3846e-09,0.01
0.02418,1.25143e-09,0.0138
0.02479,1.36328e-09,0.0142
0.02606,2.95069e-09,0.0114
0.027,2.3116e-09,0.0119
0.0285,3.95217e-09,0.0083
0.03183,9.90144e-09,0.0053
0.03431,8.487e-09,0.0055
0.04087,2.65449e-08,0.0031
0.04631,2.68479e-08,0.0034
0.05248,3.30254e-08,0.0028
0.05656,2.3077e-08,0.0037
0.06738,7.02775e-08,0.002
0.07202,3.33807e-08,0.003
0.0795,5.65549e-08,0.0022
0.0825,2.33849e-08,0.0034
0.08652,3.18385e-08,0.003
0.09804,9.35601e-08,0.0018
0.1111,1.05807e-07,0.0017
0.1168,4.42614e-08,0.0026
0.1228,4.44219e-08,0.0026
0.1291,4.3895e-08,0.0026
0.1357,4.28382e-08,0.0027
0.1426,4.22891e-08,0.0027
0.15,4.24491e-08,0.0027
0.1576,4.07241e-08,0.0028
0.1657,4.06629e-08,0.0028
0.1742,4.00295e-08,0.0029
0.1832,4.00172e-08,0.0029
0.1925,3.87183e-08,0.003
0.2024,3.86869e-08,0.0032
0.2128,3.77508e-08,0.0031
0.2237,3.61087e-08,0.0032
0.2352,3.45022e-08,0.0037
0.2472,3.23614e-08,0.0034
0.2732,5.97241e-08,0.0027
0.2872,2.65554e-08,0.004
0.2945,1.29132e-08,0.0061
0.2972,4.54028e-09,0.0099
0.2985,2.18489e-09,0.0148
0.302,5.82574e-09,0.0094
0.3337,4.74824e-08,0.0031
0.3688,4.17117e-08,0.0034
0.3877,1.84319e-08,0.005
0.4076,1.74767e-08,0.0053
0.4505,3.27212e-08,0.0039
0.4979,2.88199e-08,0.0044
0.5234,1.26857e-08,0.0063
0.5502,1.21438e-08,0.0077
0.5784,1.11542e-08,0.007
0.6081,1.05924e-08,0.007
0.6393,1.00682e-08,0.0076
0.6721,9.427e-09,0.0076
0.7065,8.77689e-09,0.0083
0.7427,8.33772e-09,0.0085
0.7808,7.88487e-09,0.0094
0.8209,7.33609e-09,0.0088
0.8629,6.94529e-09,0.0105
0.9072,6.5661e-09,0.0105
0.9617,6.79604e-09,0.009
1.003,4.3835e-09,0.0108
1.108,9.76206e-09,0.0076
1.165,4.47708e-09,0.0109
1.225,4.25119e-09,0.0126
1.287,3.83088e-09,0.0116
1.353,3.67598e-09,0.0139
1.423,3.43882e-09,0.0133
1.496,3.19451e-09,0.013
1.572,2.85077e-09,0.0136
1.653,2.82643e-09,0.0221
1.738,2.52192e-09,0.0145
1.827,2.33724e-09,0.0173
1.921,2.18527e-09,0.0163
2.019,1.96167e-09,0.0162
2.122,1.77673e-09,0.0188
2.231,1.69451e-09,0.0173
2.307,1.0773e-09,0.0207
2.346,5.04855e-10,0.0351
2.365,2.6806e-10,0.0445
2.385,2.45888e-10,0.0458
2.466,9.82833e-10,0.0329
2.592,1.3803e-09,0.0192
2.725,1.2918e-09,0.0198
2.865,1.19196e-09,0.0196
3.012,1.17844e-09,0.0197
3.166,1.10509e-09,0.0208
3.329,1.09232e-09,0.0236
3.679,2.07463e-09,0.0187
4.066,2.02797e-09,0.0171
4.493,1.98744e-09,0.0145
4.724,1.05116e-09,0.0216
4.966,1.02294e-09,0.0196
5.22,1.10842e-09,0.0192
5.488,1.14113e-09,0.0195
5.77,1.2067e-09,0.0183
6.065,1.22305e-09,0.0178
6.376,1.30545e-09,0.018
6.592,8.92425e-10,0.0227
6.703,4.34495e-10,0.0283
7.047,1.40595e-09,0.0164
7.408,1.44819e-09,0.016
7.788,1.53545e-09,0.0153
8.187,1.64201e-09,0.0159
8.607,1.6687e-09,0.0149
9.048,1.70219e-09,0.0148
9.512,1.72506e-09,0.0148
10.0,2.16815e-09,0.0128
10.51,3.61396e-09,0.0095
11.05,3.89962e-09,0.0092
11.62,4.24553e-09,0.0095
12.21,4.64767e-09,0.0088
12.52,2.44e-09,0.0115
12.84,2.54296e-09,0.0112
13.5,5.35834e-09,0.0076
13.84,2.61907e-09,0.0108
14.19,7.47325e-10,0.0189
14.55,0.0,0.0
14.92,0.0,0.0
15.68,0.0,0.0
16.49,0.0,0.0
16.9,0.0,0.0
17.33,0.0,0.0
19.64,0.0,0.0
