Energy,Value,Error
0.01,7.76027e-13,1.0
0.02,0.0,0.0
0.05,8.7023e-13,1.0
0.1,5.56592e-10,0.073
0.2,3.42457e-10,0.1084
0.3,1.64944e-09,0.063
0.4,3.58686e-09,0.0344
0.6,1.86794e-08,0.0162
0.8,1.01069e-08,0.0214
1.0,1.25326e-08,0.0209
1.22,1.32357e-08,0.0193
1.44,1.3223e-08,0.018
1.66,1.2247e-08,0.0196
2.0,1.96215e-08,0.0707
2.5,2.24907e-08,0.018
3.0,1.64308e-08,0.0176
4.0,1.99707e-08,0.0176
5.0,7.28186e-09,0.0304
6.5,2.0033e-09,0.0457
8.0,1.20909e-12,1.0
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
