Energy,Value,Error
0.01,0.0,0.0
0.02,1.36269e-09,1.0
0.05,0.0,0.0
0.1,2.6600999999999998e-08,0.1693
0.2,2.8233599999999996e-09,0.4332
0.3,1.9967300000000006e-08,0.1105
0.4,5.4253899999999985e-08,0.1058
0.6,3.440475000000001e-07,0.0244
0.8,5.600849999999998e-08,0.1003
1.0,1.7347700000000004e-07,0.0376
1.22,5.8291363636363646e-08,0.0715
1.44,2.517486363636364e-08,0.0707
1.66,3.639077272727273e-08,0.0621
2.0,4.240999999999999e-08,0.0687
2.5,1.972336e-08,0.065
3.0,3.41916e-08,0.0442
4.0,6.19644e-09,0.1256
5.0,3.38059e-09,0.104
6.5,1.77014e-09,0.2391
8.0,4.038986666666667e-11,0.6041
10.0,0.0,0.0
12.0,0.0,0.0
14.0,0.0,0.0
20.0,0.0,0.0
