Energy,Value,Error
1e-07,3.32382e-10,0.2308
4.14e-07,1.47087e-09,0.1483
5.316e-07,5.59177e-10,0.3412
6.826e-07,4.42947e-10,0.2693
8.764e-07,6.89302e-10,0.1892
1.125e-06,1.36085e-09,0.1473
1.445e-06,1.44942e-09,0.1401
1.855e-06,1.75879e-09,0.1189
2.382e-06,1.98439e-09,0.1064
3.059e-06,2.37887e-09,0.0968
3.928e-06,3.43881e-09,0.0875
5.043e-06,4.40635e-09,0.0952
6.476e-06,4.70019e-09,0.0726
8.315e-06,4.91682e-09,0.0698
1.068e-05,8.27454e-09,0.0643
1.371e-05,9.38355e-09,0.0572
1.76e-05,1.18832e-08,0.0543
2.26e-05,1.25445e-08,0.0476
2.902e-05,1.672e-08,0.0425
3.727e-05,1.97723e-08,0.0373
4.785e-05,2.53948e-08,0.0336
6.144e-05,3.18521e-08,0.0339
7.889e-05,3.78968e-08,0.0363
0.0001013,4.87738e-08,0.0279
0.0001301,5.51728e-08,0.0237
0.000167,6.8617e-08,0.0222
0.0002145,8.16322e-08,0.0191
0.0002754,9.95486e-08,0.0184
0.0003536,1.19832e-07,0.0166
0.000454,1.45371e-07,0.0163
0.0005829,1.76366e-07,0.0143
0.0007485,2.12976e-07,0.0134
0.0009611,2.47846e-07,0.0117
0.001234,2.92392e-07,0.0112
0.001585,3.56457e-07,0.0127
0.002035,4.09994e-07,0.0092
0.002249,1.8591e-07,0.0135
0.002485,1.99209e-07,0.0134
0.002613,1.01806e-07,0.0195
0.002747,1.04916e-07,0.0181
0.003035,2.20435e-07,0.0123
0.003355,2.37301e-07,0.0124
0.003707,2.49038e-07,0.0116
0.004307,4.06475e-07,0.0095
0.005531,7.5468e-07,0.007
0.007102,8.63118e-07,0.0064
0.009119,9.83159e-07,0.0062
0.01059,6.41432e-07,0.0075
0.01171,4.56604e-07,0.0089
0.01503,1.20426e-06,0.006
0.0193,1.28554e-06,0.0051
0.02187,6.74787e-07,0.0071
0.02358,4.07151e-07,0.0089
0.02418,1.42449e-07,0.0156
0.02479,1.36255e-07,0.0151
0.02606,2.82012e-07,0.0111
0.027,1.9844e-07,0.0129
0.0285,3.04994e-07,0.0109
0.03183,6.20356e-07,0.0078
0.03431,4.16028e-07,0.0093
0.04087,9.46834e-07,0.0061
0.04631,6.44223e-07,0.0084
0.05248,5.80809e-07,0.0087
0.05656,3.15087e-07,0.0105
0.06738,6.4882e-07,0.0072
0.07202,2.00359e-07,0.0131
0.0795,2.09569e-07,0.0124
0.0825,8.56854e-08,0.02
0.08652,1.50783e-07,0.0156
0.09804,4.39266e-07,0.0092
0.1111,5.00016e-07,0.0089
0.1168,2.06843e-07,0.0127
0.1228,1.74108e-07,0.0139
0.1291,2.16806e-07,0.0128
0.1357,2.25051e-07,0.0127
0.1426,2.39675e-07,0.0118
0.15,2.50843e-07,0.0114
0.1576,2.33134e-07,0.0122
0.1657,2.59256e-07,0.0127
0.1742,2.66497e-07,0.011
0.1832,2.84024e-07,0.0116
0.1925,2.84922e-07,0.0111
0.2024,3.0053e-07,0.0106
0.2128,3.14876e-07,0.0105
0.2237,3.15765e-07,0.0108
0.2352,3.26045e-07,0.0102
0.2472,3.38939e-07,0.0105
0.2732,6.91913e-07,0.007
0.2872,3.33062e-07,0.0093
0.2945,1.78423e-07,0.0141
0.2972,6.68144e-08,0.0211
0.2985,3.03164e-08,0.0351
0.302,8.21142e-08,0.0195
0.3337,6.76276e-07,0.0071
0.3688,4.3824e-07,0.0085
0.3877,2.89981e-07,0.0105
0.4076,2.97233e-07,0.0102
0.4505,6.1679e-07,0.0087
0.4979,1.54615e-06,0.0044
0.5234,3.4796e-06,0.0025
0.5502,7.7961e-07,0.0065
0.5784,9.98806e-07,0.0054
0.6081,1.0036e-06,0.0055
0.6393,9.61014e-07,0.0056
0.6721,1.167e-06,0.0052
0.7065,1.24903e-06,0.0048
0.7427,9.61955e-07,0.0054
0.7808,1.21416e-06,0.0049
0.8209,1.02151e-06,0.0052
0.8629,6.38162e-07,0.0071
0.9072,1.05514e-06,0.0051
0.9617,1.17281e-06,0.0052
1.003,7.43487e-07,0.0061
1.108,2.09263e-06,0.0037
1.165,8.87539e-07,0.0058
1.225,1.17287e-06,0.0049
1.287,7.37298e-07,0.0066
1.353,9.90336e-07,0.0055
1.423,9.30883e-07,0.0055
1.496,8.90144e-07,0.0063
1.572,1.05348e-06,0.0053
1.653,1.27475e-06,0.0046
1.738,6.0186e-07,0.0072
1.827,7.90834e-07,0.0062
1.921,1.06109e-06,0.0052
2.019,8.35471e-07,0.0059
2.122,6.56327e-07,0.0067
2.231,5.90344e-07,0.0068
2.307,2.87464e-07,0.0106
2.346,1.10639e-07,0.0182
2.365,5.35258e-08,0.0251
2.385,7.22228e-08,0.0213
2.466,2.22385e-07,0.0124
2.592,2.54314e-07,0.0104
2.725,1.49456e-07,0.0139
2.865,1.12998e-07,0.0158
3.012,7.14728e-08,0.02
3.166,5.57797e-08,0.022
3.329,3.86107e-08,0.0286
