Energy,Value,Error
0.01,2.3376200233762e-08,0.1143
0.02,2.24174e-09,0.2913
0.05,1.3100566666666664e-05,0.0026
0.1,1.82378e-05,0.0017
0.2,7.55902e-06,0.0019
0.3,3.830620000000001e-06,0.0025
0.4,2.740479999999999e-06,0.0029
0.6,2.1935750000000004e-06,0.0022
0.8,7.662749999999998e-07,0.0035
1.0,5.604750000000001e-07,0.0036
1.22,4.5146181818181824e-07,0.0036
1.44,3.81459090909091e-07,0.0038
1.66,3.2679500000000006e-07,0.004
2.0,2.947999999999999e-07,0.0033
2.5,3.68958e-07,0.0026
3.0,1.810498e-07,0.0034
4.0,1.44179e-07,0.0027
5.0,3.49034e-07,0.0018
6.5,8.4234e-08,0.0029
8.0,8.655733333333333e-08,0.0029
10.0,2.204855e-08,0.0049
12.0,8.74815e-11,0.0765
14.0,1.62347e-11,0.1726
20.0,4.3877e-12,0.191
