Energy,Value,Error,Offset
5 - 10,347.59777429513076,0.0019213086391946697,on-axis
10 - 20,923.6753213733653,0.0018771610606362545,on-axis
20 - 30,1689.6229799558998,0.00195673658733787,on-axis
30 - 40,3108.083500802642,0.001762929923389132,on-axis
40 - 50,8893.040613762689,0.0011524173298856158,on-axis
5 - 10,114.54459104083388,0.0032081652632751484,20 cm
10 - 20,226.2156154566606,0.003649647434047241,20 cm
20 - 30,373.33487412582576,0.00409073328154883,20 cm
30 - 40,711.7462402814945,0.003643488625311149,20 cm
40 - 50,951.6434063647382,0.003435159332762653,20 cm
5 - 10,27.48617464631758,0.006368646242388912,40 cm
10 - 20,48.44253068073293,0.0077221376536710015,40 cm
20 - 30,73.72093101996197,0.009008872294485411,40 cm
30 - 40,132.30687355747398,0.008295791890119567,40 cm
40 - 50,81.53745503217148,0.011353537003062932,40 cm
